Registry,Country,ASN,Value,Date,Status
ripencc,IL,378,1,19930901,allocated
ripencc,IL,1680,1,19930901,allocated
ripencc,IL,3288,1,19950105,allocated
arin,IL,4516,1,19950407,assigned
ripencc,IL,5486,1,19951205,allocated
ripencc,IL,5540,1,19960209,allocated
ripencc,IL,5585,1,19960318,allocated
ripencc,IL,6810,1,19961101,allocated
ripencc,IL,8203,1,19970211,allocated
ripencc,IL,8551,1,19971117,allocated
ripencc,IL,8584,1,19971216,allocated
ripencc,IL,8738,1,19980331,allocated
ripencc,IL,8867,1,19980702,allocated
ripencc,IL,8894,1,19980721,allocated
ripencc,IL,8948,1,20151008,allocated
ripencc,IL,8958,1,19980901,allocated
ripencc,IL,9071,1,19981126,allocated
ripencc,IL,9116,1,19981223,allocated
ripencc,IL,9117,1,19981223,allocated
ripencc,IL,12400,1,19990503,allocated
ripencc,IL,12491,1,19990614,allocated
ripencc,IL,12517,1,20150928,allocated
ripencc,IL,12619,1,19990824,allocated
ripencc,IL,12736,1,19991018,allocated
ripencc,IL,12753,1,19991027,allocated
ripencc,IL,12802,1,19991115,allocated
ripencc,IL,12849,1,19991208,allocated
ripencc,IL,12988,1,20000211,allocated
ripencc,IL,13035,1,20100125,allocated
ripencc,IL,13073,1,20000310,allocated
ripencc,IL,13074,1,20000310,allocated
ripencc,IL,13093,1,20000316,allocated
ripencc,IL,13150,1,20150918,allocated
ripencc,IL,13240,1,20000512,allocated
ripencc,IL,13264,1,20000517,allocated
ripencc,IL,15526,1,20000727,allocated
ripencc,IL,15643,1,20110727,allocated
ripencc,IL,15823,1,20050427,allocated
ripencc,IL,15976,1,20001116,allocated
ripencc,IL,16061,1,20001211,allocated
ripencc,IL,16116,1,20001227,allocated
ripencc,IL,16158,1,20010109,allocated
ripencc,IL,16370,1,20010309,allocated
ripencc,IL,20598,1,20010418,allocated
ripencc,IL,20623,1,20010420,allocated
ripencc,IL,20645,1,20070529,allocated
ripencc,IL,20800,1,20010531,allocated
ripencc,IL,20841,1,20010614,allocated
ripencc,IL,21145,1,20150723,allocated
ripencc,IL,21350,1,20011107,allocated
ripencc,IL,21363,1,20011112,allocated
ripencc,IL,21450,1,20011214,allocated
ripencc,IL,21486,1,20011228,allocated
ripencc,IL,25003,1,20020620,allocated
ripencc,IL,25046,1,20020709,allocated
ripencc,IL,25052,1,20150701,allocated
ripencc,IL,25125,1,20020801,allocated
ripencc,IL,25228,1,20020906,allocated
ripencc,IL,25235,1,20020909,allocated
ripencc,IL,25237,1,20020909,allocated
ripencc,IL,25565,1,20030114,allocated
ripencc,IL,28783,1,20030221,allocated
ripencc,IL,29149,1,20030616,allocated
ripencc,IL,29165,1,20030619,allocated
ripencc,IL,29410,1,20030901,allocated
ripencc,IL,29585,1,20150527,allocated
ripencc,IL,30744,1,20031125,allocated
ripencc,IL,30866,1,20031224,allocated
ripencc,IL,31162,1,20040311,allocated
ripencc,IL,31391,1,20040504,allocated
ripencc,IL,31417,1,20040511,allocated
ripencc,IL,31578,1,20040615,allocated
ripencc,IL,33802,1,20040803,allocated
ripencc,IL,33914,1,20040906,allocated
ripencc,IL,34380,1,20050103,allocated
ripencc,IL,34825,1,20150415,allocated
ripencc,IL,34852,1,20070510,allocated
ripencc,IL,34886,1,20050425,allocated
ripencc,IL,34919,1,20190802,allocated
ripencc,IL,34935,1,20190624,allocated
ripencc,IL,35016,1,20050518,allocated
ripencc,IL,35091,1,20050602,allocated
ripencc,IL,35142,1,20190405,allocated
ripencc,IL,35243,1,20050630,allocated
ripencc,IL,35392,1,20050728,allocated
ripencc,IL,35435,1,20050808,allocated
ripencc,IL,35438,1,20050809,allocated
ripencc,IL,35532,1,20050830,allocated
ripencc,IL,35553,1,20050902,allocated
ripencc,IL,35560,1,20050905,allocated
ripencc,IL,35758,1,20181126,allocated
ripencc,IL,38992,1,20051124,allocated
ripencc,IL,39076,1,20051207,allocated
ripencc,IL,39159,1,20051223,allocated
ripencc,IL,39213,1,20060110,allocated
ripencc,IL,39274,1,20060123,allocated
ripencc,IL,39343,1,20060203,allocated
ripencc,IL,39768,1,20060421,allocated
ripencc,IL,41042,1,20060606,allocated
ripencc,IL,41116,1,20060615,allocated
ripencc,IL,41304,1,20150713,allocated
ripencc,IL,41346,1,20060727,allocated
ripencc,IL,41394,1,20060809,allocated
ripencc,IL,41714,1,20061012,allocated
ripencc,IL,41923,1,20061116,allocated
ripencc,IL,41924,1,20061116,allocated
ripencc,IL,41927,1,20090817,allocated
ripencc,IL,42243,1,20070123,allocated
ripencc,IL,42316,1,20170512,allocated
ripencc,IL,42475,1,20141223,allocated
ripencc,IL,42647,1,20070327,allocated
ripencc,IL,42793,1,20070417,allocated
ripencc,IL,42925,1,20070510,allocated
ripencc,IL,42994,1,20170224,allocated
ripencc,IL,43165,1,20070618,allocated
ripencc,IL,43181,1,20170206,allocated
ripencc,IL,43194,1,20070621,allocated
ripencc,IL,43381,1,20070724,allocated
ripencc,IL,43423,1,20070730,allocated
ripencc,IL,43438,1,20070731,allocated
ripencc,IL,43514,1,20070815,allocated
ripencc,IL,43739,1,20090128,allocated
ripencc,IL,43842,1,20071008,allocated
ripencc,IL,43871,1,20071011,allocated
ripencc,IL,44060,1,20170109,allocated
ripencc,IL,44282,1,20071217,allocated
ripencc,IL,44367,1,20080107,allocated
ripencc,IL,44427,1,20080118,allocated
ripencc,IL,44435,1,20080121,allocated
ripencc,IL,44576,1,20080207,allocated
ripencc,IL,44669,1,20080221,allocated
ripencc,IL,44709,1,20080227,allocated
ripencc,IL,44846,1,20080319,allocated
ripencc,IL,47135,1,20080502,allocated
ripencc,IL,47665,1,20080729,allocated
ripencc,IL,47766,1,20080815,allocated
ripencc,IL,47770,1,20080815,allocated
ripencc,IL,47956,1,20080922,allocated
ripencc,IL,47961,1,20080922,allocated
ripencc,IL,47962,1,20160314,allocated
ripencc,IL,47997,1,20080925,allocated
ripencc,IL,48068,1,20081007,allocated
ripencc,IL,48851,1,20160223,allocated
ripencc,IL,49069,1,20090403,allocated
ripencc,IL,49076,1,20090407,allocated
ripencc,IL,49157,1,20160929,allocated
ripencc,IL,49308,1,20090515,allocated
ripencc,IL,49391,1,20090602,allocated
ripencc,IL,49456,1,20090611,allocated
ripencc,IL,49484,1,20090617,allocated
ripencc,IL,49501,1,20090618,allocated
ripencc,IL,49771,1,20090908,allocated
ripencc,IL,50006,1,20091023,allocated
ripencc,IL,50079,1,20091110,allocated
ripencc,IL,50081,1,20091110,allocated
ripencc,IL,50237,1,20091208,allocated
ripencc,IL,50318,1,20210615,allocated
ripencc,IL,50365,1,20091228,allocated
ripencc,IL,50440,1,20151117,allocated
ripencc,IL,50454,1,20100120,allocated
ripencc,IL,50463,1,20100121,allocated
ripencc,IL,50549,1,20220311,allocated
ripencc,IL,50744,1,20100318,allocated
ripencc,IL,50865,1,20100412,allocated
ripencc,IL,50995,1,20100511,allocated
ripencc,IL,51385,1,20100810,allocated
ripencc,IL,51587,1,20190724,allocated
ripencc,IL,51617,1,20101008,allocated
ripencc,IL,51651,1,20101014,allocated
ripencc,IL,51825,1,20101111,allocated
ripencc,IL,51902,1,20211109,allocated
ripencc,IL,56473,1,20110301,allocated
ripencc,IL,56596,1,20110407,allocated
ripencc,IL,56804,1,20110519,allocated
ripencc,IL,56839,1,20110524,allocated
ripencc,IL,56914,1,20110610,allocated
ripencc,IL,57035,1,20110706,allocated
ripencc,IL,57666,1,20120102,allocated
ripencc,IL,57721,1,20150217,allocated
ripencc,IL,57727,1,20120125,allocated
ripencc,IL,57731,1,20120125,allocated
ripencc,IL,57862,1,20120228,allocated
ripencc,IL,58182,1,20171108,allocated
ripencc,IL,59648,1,20120904,allocated
ripencc,IL,59651,1,20210407,allocated
ripencc,IL,60636,1,20130610,allocated
ripencc,IL,60886,1,20130418,allocated
ripencc,IL,60960,1,20210804,allocated
ripencc,IL,61102,1,20130215,allocated
ripencc,IL,61149,1,20130130,allocated
ripencc,IL,61365,1,20170102,allocated
ripencc,IL,197012,1,20110208,allocated
ripencc,IL,197538,1,20110126,allocated
ripencc,IL,197797,1,20110506,allocated
ripencc,IL,197819,1,20110516,allocated
ripencc,IL,197850,1,20230711,allocated
ripencc,IL,198114,1,20111004,allocated
ripencc,IL,198256,1,20230607,allocated
ripencc,IL,198425,1,20120125,allocated
ripencc,IL,198492,1,20230522,allocated
ripencc,IL,198521,1,20120223,allocated
ripencc,IL,198773,1,20120509,allocated
ripencc,IL,198949,1,20120628,allocated
ripencc,IL,198986,1,20120706,allocated
ripencc,IL,199115,1,20230328,allocated
ripencc,IL,199267,1,20130404,allocated
ripencc,IL,199270,1,20130403,allocated
ripencc,IL,199391,1,20130208,allocated
ripencc,IL,199393,1,20230316,allocated
ripencc,IL,199836,1,20230215,allocated
ripencc,IL,199989,1,20131112,allocated
ripencc,IL,200309,1,20180810,allocated
ripencc,IL,200343,1,20221221,allocated
ripencc,IL,200433,1,20150703,allocated
ripencc,IL,200478,1,20150624,allocated
ripencc,IL,200495,1,20150622,allocated
ripencc,IL,200742,1,20150424,allocated
ripencc,IL,201025,1,20221130,allocated
ripencc,IL,201073,1,20150205,allocated
ripencc,IL,201076,1,20180711,allocated
ripencc,IL,201088,1,20230628,allocated
ripencc,IL,201156,1,20150113,allocated
ripencc,IL,201397,1,20221114,allocated
ripencc,IL,201415,1,20141103,allocated
ripencc,IL,201418,1,20221110,allocated
ripencc,IL,201833,1,20140701,allocated
ripencc,IL,201857,1,20140624,allocated
ripencc,IL,202001,1,20180625,allocated
ripencc,IL,202102,1,20140409,allocated
ripencc,IL,202122,1,20140402,allocated
ripencc,IL,202320,1,20180604,allocated
ripencc,IL,202356,1,20180528,allocated
ripencc,IL,202369,1,20180523,allocated
ripencc,IL,202447,1,20221006,allocated
ripencc,IL,202597,1,20160715,allocated
ripencc,IL,202769,1,20160607,allocated
ripencc,IL,202940,1,20160429,allocated
ripencc,IL,203009,1,20160415,allocated
ripencc,IL,203077,1,20160404,allocated
ripencc,IL,203110,1,20160329,allocated
ripencc,IL,203124,1,20160324,allocated
ripencc,IL,204257,1,20150716,allocated
ripencc,IL,204395,1,20180320,allocated
ripencc,IL,204528,1,20220720,allocated
ripencc,IL,204763,1,20180115,allocated
ripencc,IL,204814,1,20180102,allocated
ripencc,IL,204831,1,20171228,allocated
ripencc,IL,205203,1,20171016,allocated
ripencc,IL,205209,1,20171016,allocated
ripencc,IL,205303,1,20220429,allocated
ripencc,IL,205564,1,20170720,allocated
ripencc,IL,205577,1,20170719,allocated
ripencc,IL,205650,1,20170703,allocated
ripencc,IL,205870,1,20170516,allocated
ripencc,IL,206020,1,20220412,allocated
ripencc,IL,206056,1,20170404,allocated
ripencc,IL,206106,1,20200330,allocated
ripencc,IL,206400,1,20170126,allocated
ripencc,IL,206446,1,20170118,allocated
ripencc,IL,206531,1,20161228,allocated
ripencc,IL,206604,1,20250715,allocated
ripencc,IL,206614,1,20161212,allocated
ripencc,IL,206815,1,20230307,allocated
ripencc,IL,206875,1,20161018,allocated
ripencc,IL,206950,1,20220322,allocated
ripencc,IL,207007,1,20160922,allocated
ripencc,IL,207052,1,20160913,allocated
ripencc,IL,207106,1,20160831,allocated
ripencc,IL,207260,1,20200311,allocated
ripencc,IL,207285,1,20200306,allocated
ripencc,IL,207331,1,20200225,allocated
ripencc,IL,207444,1,20200130,allocated
ripencc,IL,207588,1,20250602,allocated
ripencc,IL,207591,1,20200108,allocated
