Registry,Country,ASN,Value,Date,Status
ripencc,IM,926,1,20220616,allocated
ripencc,IM,13122,1,20000327,allocated
ripencc,IM,15766,1,20001006,allocated
ripencc,IM,24851,1,20020422,allocated
ripencc,IM,35691,1,20190121,allocated
ripencc,IM,42455,1,20070222,allocated
ripencc,IM,43338,1,20070717,allocated
ripencc,IM,43745,1,20070921,allocated
ripencc,IM,44168,1,20071128,allocated
ripencc,IM,44481,1,20080125,allocated
ripencc,IM,47856,1,20080905,allocated
ripencc,IM,48536,1,20081208,allocated
ripencc,IM,50328,1,20200626,allocated
ripencc,IM,50763,1,20100319,allocated
ripencc,IM,57198,1,20161207,allocated
ripencc,IM,64480,1,20160810,allocated
apnic,IM,132227,1,20160809,allocated
ripencc,IM,197385,1,20230804,allocated
ripencc,IM,200348,1,20221221,allocated
ripencc,IM,200835,1,20150401,allocated
ripencc,IM,201898,1,20140610,allocated
ripencc,IM,207092,1,20170306,allocated
ripencc,IM,208400,1,20220217,allocated
ripencc,IM,208770,1,20190607,allocated
ripencc,IM,210607,1,20211021,allocated
ripencc,IM,211911,1,20210201,allocated
ripencc,IM,212873,1,20200724,allocated
ripencc,IM,215324,1,20240313,allocated
