Registry,Country,ASN,Value,Date,Status
apnic,IN,2697,1,20020801,allocated
apnic,IN,3969,1,20020801,allocated
apnic,IN,4754,1,20080206,allocated
apnic,IN,4755,1,19960513,allocated
apnic,IN,4758,1,20100408,allocated
apnic,IN,4797,1,20030828,allocated
apnic,IN,7487,1,20070504,allocated
apnic,IN,7494,1,20230921,allocated
apnic,IN,7593,1,20160721,allocated
apnic,IN,7633,1,19970926,allocated
apnic,IN,9223,1,20090904,allocated
apnic,IN,9227,1,20090814,allocated
apnic,IN,9238,1,20000524,allocated
apnic,IN,9285,1,20061122,allocated
apnic,IN,9347,1,20040324,allocated
apnic,IN,9396,1,20050630,allocated
apnic,IN,9414,1,20070601,allocated
apnic,IN,9430,1,19981019,allocated
apnic,IN,9437,1,20230811,allocated
apnic,IN,9442,1,20230811,allocated
apnic,IN,9498,1,19990309,allocated
apnic,IN,9501,1,20010614,allocated
apnic,IN,9540,1,20181017,allocated
apnic,IN,9558,1,20160727,allocated
apnic,IN,9580,1,20090119,allocated
apnic,IN,9583,1,19990723,allocated
apnic,IN,9653,1,20091001,allocated
apnic,IN,9666,1,20071105,allocated
apnic,IN,9730,1,20070917,allocated
apnic,IN,9752,1,20110721,allocated
apnic,IN,9796,1,20000104,allocated
apnic,IN,9829,1,20000119,allocated
apnic,IN,9830,1,20000120,allocated
apnic,IN,9836,1,20090119,allocated
apnic,IN,9885,1,20090903,allocated
apnic,IN,9941,1,20051024,allocated
apnic,IN,10029,1,20000614,allocated
apnic,IN,10077,1,20000620,allocated
apnic,IN,10121,1,20160826,allocated
apnic,IN,10123,1,20190522,allocated
apnic,IN,10125,1,20080107,allocated
apnic,IN,10199,1,20000901,allocated
apnic,IN,10201,1,20041110,allocated
apnic,IN,10215,1,20050131,allocated
apnic,IN,10225,1,20000929,allocated
apnic,IN,10239,1,20001012,allocated
apnic,IN,17423,1,20041126,allocated
apnic,IN,17426,1,20001018,allocated
apnic,IN,17436,1,20050617,allocated
apnic,IN,17439,1,20001030,allocated
apnic,IN,17443,1,20001031,allocated
apnic,IN,17446,1,20100803,allocated
apnic,IN,17447,1,20001102,allocated
apnic,IN,17453,1,20001108,allocated
apnic,IN,17465,1,20001116,allocated
apnic,IN,17466,1,20050131,allocated
apnic,IN,17483,1,20001124,allocated
apnic,IN,17488,1,20001128,allocated
apnic,IN,17495,1,20001208,allocated
apnic,IN,17566,1,20100803,allocated
apnic,IN,17624,1,20050303,allocated
apnic,IN,17625,1,20010122,allocated
apnic,IN,17648,1,20010223,allocated
apnic,IN,17665,1,20010314,allocated
apnic,IN,17729,1,20200923,allocated
apnic,IN,17747,1,20010504,allocated
apnic,IN,17748,1,20080526,allocated
apnic,IN,17753,1,20010515,allocated
apnic,IN,17754,1,20010521,allocated
apnic,IN,17762,1,20010528,allocated
apnic,IN,17771,1,20010601,allocated
apnic,IN,17783,1,20010606,allocated
apnic,IN,17786,1,20010608,allocated
apnic,IN,17803,1,20010627,allocated
apnic,IN,17810,1,20010705,allocated
apnic,IN,17813,1,20010709,allocated
apnic,IN,17820,1,20010712,allocated
apnic,IN,17825,1,20050504,allocated
apnic,IN,17891,1,20011106,allocated
apnic,IN,17903,1,20050112,allocated
apnic,IN,17908,1,20010814,allocated
apnic,IN,17912,1,20081127,allocated
apnic,IN,17913,1,20010822,allocated
apnic,IN,17917,1,20010824,allocated
apnic,IN,18002,1,20020215,allocated
apnic,IN,18008,1,20071115,allocated
apnic,IN,18061,1,20020228,allocated
apnic,IN,18101,1,20020117,allocated
apnic,IN,18105,1,20020124,allocated
apnic,IN,18120,1,20050909,allocated
apnic,IN,18166,1,20110805,allocated
apnic,IN,18167,1,20021210,allocated
apnic,IN,18196,1,20020419,allocated
apnic,IN,18207,1,20020507,allocated
apnic,IN,18209,1,20070205,allocated
apnic,IN,18211,1,20090909,allocated
apnic,IN,18223,1,20071119,allocated
apnic,IN,18225,1,20020529,allocated
apnic,IN,18229,1,20050406,allocated
apnic,IN,18404,1,20210512,allocated
apnic,IN,23664,1,20041214,allocated
apnic,IN,23682,1,20030324,allocated
apnic,IN,23726,1,20200611,allocated
apnic,IN,23770,1,20090925,allocated
apnic,IN,23772,1,20030616,allocated
apnic,IN,23860,1,20050831,allocated
apnic,IN,23870,1,20090910,allocated
apnic,IN,23872,1,20030801,allocated
apnic,IN,23901,1,20030926,allocated
apnic,IN,23903,1,20050907,allocated
apnic,IN,23941,1,20050920,allocated
apnic,IN,23957,1,20031121,allocated
apnic,IN,23976,1,20031216,allocated
apnic,IN,23984,1,20040107,allocated
apnic,IN,23994,1,20050921,allocated
apnic,IN,24003,1,20050429,allocated
apnic,IN,24029,1,20040305,allocated
apnic,IN,24041,1,20040406,allocated
apnic,IN,24044,1,20070917,allocated
apnic,IN,24049,1,20040408,allocated
apnic,IN,24055,1,20070704,allocated
apnic,IN,24084,1,20110715,allocated
apnic,IN,24103,1,20040721,allocated
apnic,IN,24109,1,20040728,allocated
apnic,IN,24118,1,20051018,allocated
apnic,IN,24127,1,20040810,allocated
apnic,IN,24178,1,20051024,allocated
apnic,IN,24185,1,20040727,allocated
apnic,IN,24186,1,20051028,allocated
apnic,IN,24193,1,20040826,allocated
apnic,IN,24216,1,20051102,allocated
apnic,IN,24222,1,20040910,allocated
apnic,IN,24232,1,20051102,allocated
apnic,IN,24309,1,20041208,allocated
apnic,IN,24327,1,20160216,allocated
apnic,IN,24332,1,20070129,allocated
apnic,IN,24374,1,20050308,allocated
apnic,IN,24391,1,20050330,allocated
apnic,IN,24392,1,20080226,allocated
apnic,IN,24397,1,20050415,allocated
apnic,IN,24448,1,20050512,allocated
apnic,IN,24457,1,20190830,allocated
apnic,IN,24468,1,20050610,allocated
apnic,IN,24470,1,20190830,allocated
apnic,IN,24471,1,20050616,allocated
apnic,IN,24485,1,20080303,allocated
apnic,IN,24486,1,20051123,allocated
apnic,IN,24501,1,20051201,allocated
apnic,IN,24508,1,20190830,allocated
apnic,IN,24515,1,20051223,allocated
apnic,IN,24539,1,20060113,allocated
apnic,IN,24554,1,20060202,allocated
apnic,IN,24558,1,20060208,allocated
apnic,IN,24560,1,20060213,allocated
apnic,IN,24571,1,20060227,allocated
apnic,IN,24574,1,20060302,allocated
ripencc,IN,35672,1,20190913,allocated
apnic,IN,37934,1,20060308,allocated
apnic,IN,37986,1,20060321,allocated
apnic,IN,37991,1,20060327,allocated
apnic,IN,38000,1,20070716,allocated
apnic,IN,38015,1,20060511,allocated
apnic,IN,38021,1,20060519,allocated
apnic,IN,38029,1,20060523,allocated
apnic,IN,38039,1,20060530,allocated
apnic,IN,38053,1,20090918,allocated
apnic,IN,38058,1,20060613,allocated
apnic,IN,38139,1,20060711,allocated
apnic,IN,38174,1,20060717,allocated
apnic,IN,38185,1,20060726,allocated
apnic,IN,38188,1,20060727,allocated
apnic,IN,38191,1,20060731,allocated
apnic,IN,38204,1,20060818,allocated
apnic,IN,38205,1,20091005,allocated
apnic,IN,38207,1,20060828,allocated
apnic,IN,38224,1,20060915,allocated
apnic,IN,38233,1,20091203,allocated
apnic,IN,38241,1,20061002,allocated
apnic,IN,38261,1,20061016,allocated
apnic,IN,38266,1,20061017,allocated
apnic,IN,38271,1,20090107,allocated
apnic,IN,38275,1,20090107,allocated
apnic,IN,38304,1,20061214,allocated
