Registry,Country,ASN,Value,Date,Status
ripencc,IQ,3178,1,20120426,allocated
ripencc,IQ,3194,1,20120502,allocated
ripencc,IQ,12952,1,20150922,allocated
ripencc,IQ,21277,1,20081009,allocated
ripencc,IQ,34515,1,20150421,allocated
ripencc,IQ,34929,1,20190624,allocated
ripencc,IQ,35160,1,20050615,allocated
ripencc,IQ,39216,1,20100526,allocated
ripencc,IQ,41032,1,20171002,allocated
ripencc,IQ,41805,1,20200930,allocated
ripencc,IQ,43836,1,20200817,allocated
ripencc,IQ,44217,1,20071205,allocated
ripencc,IQ,48175,1,20180412,allocated
ripencc,IQ,48407,1,20081124,allocated
ripencc,IQ,48492,1,20200716,allocated
ripencc,IQ,48980,1,20220204,allocated
ripencc,IQ,49110,1,20160314,allocated
ripencc,IQ,49571,1,20090707,allocated
ripencc,IQ,49760,1,20220104,allocated
ripencc,IQ,50597,1,20100216,allocated
ripencc,IQ,51018,1,20100518,allocated
ripencc,IQ,51020,1,20211210,allocated
ripencc,IQ,51539,1,20100923,allocated
ripencc,IQ,51684,1,20101019,allocated
ripencc,IQ,52059,1,20150224,allocated
ripencc,IQ,56484,1,20110301,allocated
ripencc,IQ,57053,1,20230103,allocated
ripencc,IQ,57324,1,20110926,allocated
ripencc,IQ,57588,1,20111206,allocated
ripencc,IQ,57761,1,20120202,allocated
ripencc,IQ,57908,1,20120309,allocated
ripencc,IQ,57958,1,20120320,allocated
ripencc,IQ,58322,1,20120625,allocated
ripencc,IQ,59422,1,20221229,allocated
ripencc,IQ,59458,1,20120716,allocated
ripencc,IQ,59588,1,20120814,allocated
ripencc,IQ,59625,1,20150317,allocated
ripencc,IQ,59924,1,20220510,allocated
ripencc,IQ,60145,1,20140429,allocated
ripencc,IQ,60540,1,20240119,allocated
ripencc,IQ,60663,1,20130603,allocated
ripencc,IQ,60815,1,20130506,allocated
ripencc,IQ,61271,1,20210804,allocated
ripencc,IQ,62223,1,20131217,allocated
ripencc,IQ,62368,1,20131018,allocated
ripencc,IQ,62419,1,20210614,allocated
ripencc,IQ,197305,1,20110117,allocated
ripencc,IQ,197390,1,20230804,allocated
ripencc,IQ,197421,1,20230803,allocated
ripencc,IQ,197882,1,20110620,allocated
ripencc,IQ,197893,1,20110614,allocated
ripencc,IQ,198169,1,20111025,allocated
ripencc,IQ,198183,1,20111028,allocated
ripencc,IQ,198589,1,20130410,allocated
ripencc,IQ,198666,1,20120410,allocated
ripencc,IQ,198735,1,20120426,allocated
ripencc,IQ,199618,1,20121105,allocated
ripencc,IQ,199826,1,20140114,allocated
ripencc,IQ,200004,1,20131106,allocated
ripencc,IQ,200178,1,20230123,allocated
ripencc,IQ,200179,1,20230123,allocated
ripencc,IQ,200200,1,20230119,allocated
ripencc,IQ,200485,1,20150623,allocated
ripencc,IQ,200654,1,20150513,allocated
ripencc,IQ,200865,1,20150324,allocated
ripencc,IQ,201031,1,20150213,allocated
ripencc,IQ,201089,1,20221130,allocated
ripencc,IQ,201145,1,20150115,allocated
ripencc,IQ,201320,1,20221117,allocated
ripencc,IQ,201668,1,20140819,allocated
ripencc,IQ,201749,1,20180627,allocated
ripencc,IQ,202055,1,20140424,allocated
ripencc,IQ,202201,1,20230201,allocated
ripencc,IQ,202316,1,20180604,allocated
ripencc,IQ,202354,1,20180528,allocated
ripencc,IQ,202366,1,20180524,allocated
ripencc,IQ,202651,1,20220928,allocated
ripencc,IQ,202672,1,20160629,allocated
ripencc,IQ,202699,1,20160621,allocated
ripencc,IQ,202777,1,20160606,allocated
ripencc,IQ,203091,1,20220829,allocated
ripencc,IQ,203214,1,20160307,allocated
ripencc,IQ,203217,1,20160307,allocated
ripencc,IQ,203257,1,20160229,allocated
ripencc,IQ,203409,1,20160125,allocated
ripencc,IQ,203459,1,20160113,allocated
ripencc,IQ,203653,1,20151124,allocated
ripencc,IQ,203735,1,20180417,allocated
ripencc,IQ,203764,1,20151103,allocated
ripencc,IQ,203811,1,20151026,allocated
ripencc,IQ,203904,1,20151006,allocated
ripencc,IQ,203982,1,20150918,allocated
ripencc,IQ,204149,1,20150812,allocated
ripencc,IQ,204152,1,20150812,allocated
ripencc,IQ,204249,1,20150717,allocated
ripencc,IQ,204331,1,20180403,allocated
ripencc,IQ,204473,1,20180306,allocated
ripencc,IQ,204583,1,20220617,allocated
ripencc,IQ,204798,1,20180105,allocated
ripencc,IQ,205049,1,20171114,allocated
ripencc,IQ,205169,1,20171025,allocated
ripencc,IQ,205254,1,20171006,allocated
ripencc,IQ,205371,1,20170913,allocated
ripencc,IQ,205470,1,20170814,allocated
ripencc,IQ,205473,1,20170814,allocated
ripencc,IQ,205800,1,20170601,allocated
ripencc,IQ,205814,1,20220613,allocated
ripencc,IQ,205889,1,20170512,allocated
ripencc,IQ,205906,1,20170509,allocated
ripencc,IQ,206190,1,20170310,allocated
ripencc,IQ,206206,1,20170308,allocated
ripencc,IQ,206391,1,20170130,allocated
ripencc,IQ,206471,1,20170116,allocated
ripencc,IQ,206611,1,20161212,allocated
ripencc,IQ,206641,1,20161205,allocated
ripencc,IQ,206706,1,20200319,allocated
ripencc,IQ,206736,1,20250711,allocated
ripencc,IQ,206893,1,20161013,allocated
ripencc,IQ,207097,1,20160901,allocated
ripencc,IQ,207138,1,20160824,allocated
ripencc,IQ,207264,1,20200311,allocated
ripencc,IQ,207281,1,20200309,allocated
ripencc,IQ,207442,1,20200131,allocated
ripencc,IQ,207462,1,20200128,allocated
ripencc,IQ,207484,1,20200124,allocated
ripencc,IQ,207565,1,20200113,allocated
ripencc,IQ,207786,1,20191125,allocated
ripencc,IQ,207811,1,20191120,allocated
ripencc,IQ,207928,1,20191031,allocated
ripencc,IQ,208023,1,20191015,allocated
ripencc,IQ,208115,1,20190930,allocated
ripencc,IQ,208131,1,20190927,allocated
ripencc,IQ,208293,1,20190902,allocated
ripencc,IQ,208306,1,20190829,allocated
ripencc,IQ,208324,1,20220222,allocated
ripencc,IQ,208365,1,20190819,allocated
ripencc,IQ,208570,1,20190711,allocated
ripencc,IQ,208859,1,20190523,allocated
ripencc,IQ,208866,1,20190523,allocated
ripencc,IQ,209193,1,20220201,allocated
ripencc,IQ,209253,1,20190311,allocated
ripencc,IQ,209273,1,20220131,allocated
ripencc,IQ,209348,1,20190222,allocated
ripencc,IQ,209565,1,20190116,allocated
ripencc,IQ,209733,1,20220118,allocated
ripencc,IQ,210001,1,20220106,allocated
ripencc,IQ,210016,1,20220106,allocated
ripencc,IQ,210021,1,20181023,allocated
ripencc,IQ,210022,1,20181023,allocated
ripencc,IQ,210066,1,20181015,allocated
ripencc,IQ,210095,1,20181009,allocated
ripencc,IQ,210162,1,20180927,allocated
ripencc,IQ,210194,1,20180921,allocated
ripencc,IQ,210402,1,20211202,allocated
ripencc,IQ,210413,1,20211129,allocated
ripencc,IQ,210509,1,20211110,allocated
ripencc,IQ,210513,1,20211109,allocated
ripencc,IQ,210837,1,20210826,allocated
ripencc,IQ,210885,1,20210818,allocated
ripencc,IQ,211090,1,20210630,allocated
ripencc,IQ,211100,1,20210629,allocated
ripencc,IQ,211145,1,20210617,allocated
ripencc,IQ,211181,1,20211221,allocated
ripencc,IQ,211235,1,20210602,allocated
ripencc,IQ,211341,1,20210510,allocated
ripencc,IQ,211413,1,20210428,allocated
ripencc,IQ,211513,1,20210408,allocated
ripencc,IQ,211534,1,20210331,allocated
ripencc,IQ,211732,1,20210225,allocated
ripencc,IQ,211841,1,20210209,allocated
ripencc,IQ,211888,1,20250305,allocated
ripencc,IQ,211908,1,20230220,allocated
ripencc,IQ,211970,1,20210121,allocated
ripencc,IQ,211986,1,20210118,allocated
ripencc,IQ,212088,1,20201228,allocated
ripencc,IQ,212101,1,20201223,allocated
ripencc,IQ,212203,1,20201209,allocated
ripencc,IQ,212250,1,20201130,allocated
ripencc,IQ,212280,1,20201125,allocated
ripencc,IQ,212330,1,20201119,allocated
ripencc,IQ,212338,1,20201118,allocated
ripencc,IQ,212376,1,20201111,allocated
ripencc,IQ,212460,1,20201023,allocated
ripencc,IQ,212573,1,20201001,allocated
ripencc,IQ,212648,1,20200916,allocated
ripencc,IQ,212692,1,20200908,allocated
ripencc,IQ,212756,1,20220328,allocated
ripencc,IQ,212850,1,20200729,allocated
ripencc,IQ,213098,1,20200611,allocated
ripencc,IQ,213149,1,20200602,allocated
ripencc,IQ,214359,1,20240814,allocated
ripencc,IQ,214739,1,20240610,allocated
ripencc,IQ,214774,1,20240604,allocated
ripencc,IQ,214893,1,20240516,allocated
ripencc,IQ,215160,1,20240405,allocated
ripencc,IQ,215311,1,20240314,allocated
ripencc,IQ,215369,1,20240305,allocated
ripencc,IQ,215597,1,20240201,allocated
ripencc,IQ,215668,1,20240123,allocated
ripencc,IQ,215732,1,20240111,allocated
ripencc,IQ,215801,1,20231228,allocated
ripencc,IQ,215839,1,20231214,allocated
ripencc,IQ,215917,1,20231130,allocated
ripencc,IQ,215970,1,20241007,allocated
ripencc,IQ,216098,1,20231025,allocated
ripencc,IQ,216196,1,20231009,allocated
ripencc,IQ,216346,1,20230906,allocated
ripencc,IQ,216399,1,20250310,allocated
ripencc,IQ,216461,1,20250310,allocated
