Registry,Country,ASN,Value,Date,Status
ripencc,IR,1756,1,20100512,allocated
ripencc,IR,3263,1,20151113,allocated
ripencc,IR,5484,1,20120102,allocated
ripencc,IR,5542,1,20151028,allocated
ripencc,IR,5618,1,20060710,allocated
ripencc,IR,5627,1,20151026,allocated
ripencc,IR,6736,1,19960806,allocated
ripencc,IR,8604,1,20151014,allocated
ripencc,IR,8868,1,20151009,allocated
ripencc,IR,9147,1,20151005,allocated
ripencc,IR,12660,1,20020815,allocated
ripencc,IR,12697,1,20150924,allocated
ripencc,IR,12880,1,19991222,allocated
ripencc,IR,13231,1,20120531,allocated
ripencc,IR,13235,1,20150916,allocated
ripencc,IR,15402,1,20150915,allocated
ripencc,IR,15611,1,20000822,allocated
ripencc,IR,15907,1,20150827,allocated
ripencc,IR,16018,1,20111004,allocated
ripencc,IR,16235,1,20120831,allocated
ripencc,IR,16286,1,20150818,allocated
ripencc,IR,16292,1,20150818,allocated
ripencc,IR,16320,1,20120823,allocated
ripencc,IR,16322,1,20010227,allocated
ripencc,IR,20744,1,20150803,allocated
ripencc,IR,20749,1,20150803,allocated
ripencc,IR,20801,1,20150803,allocated
ripencc,IR,21005,1,20150727,allocated
ripencc,IR,21071,1,20150724,allocated
ripencc,IR,21112,1,20150724,allocated
ripencc,IR,21121,1,20150724,allocated
ripencc,IR,21170,1,20150723,allocated
ripencc,IR,21341,1,20011105,allocated
ripencc,IR,21419,1,20120925,allocated
ripencc,IR,24631,1,20020124,allocated
ripencc,IR,24707,1,20151123,allocated
ripencc,IR,24737,1,20150709,allocated
ripencc,IR,24741,1,20150709,allocated
ripencc,IR,24779,1,20150709,allocated
ripencc,IR,24988,1,20150702,allocated
ripencc,IR,25124,1,20020731,allocated
ripencc,IR,25184,1,20020826,allocated
ripencc,IR,25202,1,20150624,allocated
ripencc,IR,25207,1,20150624,allocated
ripencc,IR,25239,1,20150623,allocated
ripencc,IR,25243,1,20150623,allocated
ripencc,IR,25264,1,20150622,allocated
ripencc,IR,25306,1,20020926,allocated
ripencc,IR,29068,1,20030526,allocated
ripencc,IR,29077,1,20030527,allocated
ripencc,IR,29079,1,20030527,allocated
ripencc,IR,29350,1,20111013,allocated
ripencc,IR,29577,1,20031014,allocated
ripencc,IR,30902,1,20040109,allocated
ripencc,IR,31175,1,20150917,allocated
ripencc,IR,31182,1,20110329,allocated
ripencc,IR,31303,1,20040408,allocated
ripencc,IR,31476,1,20040526,allocated
ripencc,IR,31549,1,20040610,allocated
ripencc,IR,34078,1,20150506,allocated
ripencc,IR,34369,1,20041228,allocated
ripencc,IR,34412,1,20200103,allocated
ripencc,IR,34513,1,20050207,allocated
ripencc,IR,34592,1,20150420,allocated
ripencc,IR,34636,1,20090830,allocated
ripencc,IR,34837,1,20100302,allocated
ripencc,IR,34871,1,20190924,allocated
