Registry,Country,ASN,Value,Date,Status
ripencc,IS,1850,1,19930901,allocated
ripencc,IS,6677,1,19960624,allocated
ripencc,IS,12969,1,20000201,allocated
ripencc,IS,15474,1,20000710,allocated
ripencc,IS,21268,1,20110331,allocated
ripencc,IS,24743,1,20020312,allocated
ripencc,IS,25244,1,20020911,allocated
ripencc,IS,25509,1,20021216,allocated
ripencc,IS,29348,1,20030812,allocated
ripencc,IS,29689,1,20031113,allocated
ripencc,IS,30818,1,20031212,allocated
ripencc,IS,31236,1,20040329,allocated
ripencc,IS,31410,1,20040510,allocated
ripencc,IS,31441,1,20040519,allocated
ripencc,IS,34678,1,20050314,allocated
ripencc,IS,35834,1,20051109,allocated
ripencc,IS,39418,1,20060217,allocated
ripencc,IS,39472,1,20060302,allocated
ripencc,IS,39532,1,20060315,allocated
ripencc,IS,42888,1,20090108,allocated
ripencc,IS,43571,1,20070824,allocated
ripencc,IS,43892,1,20071016,allocated
ripencc,IS,44275,1,20080331,allocated
ripencc,IS,44515,1,20080130,allocated
ripencc,IS,44644,1,20080215,allocated
ripencc,IS,44735,1,20100503,allocated
ripencc,IS,44925,1,20080403,allocated
ripencc,IS,47545,1,20080703,allocated
ripencc,IS,47828,1,20080828,allocated
ripencc,IS,48568,1,20081210,allocated
ripencc,IS,48685,1,20081231,allocated
ripencc,IS,50613,1,20100218,allocated
ripencc,IS,51019,1,20221201,allocated
ripencc,IS,51296,1,20100716,allocated
ripencc,IS,51829,1,20101112,allocated
ripencc,IS,51896,1,20101125,allocated
ripencc,IS,56704,1,20110428,allocated
ripencc,IS,57508,1,20111115,allocated
ripencc,IS,57729,1,20120125,allocated
ripencc,IS,57759,1,20120202,allocated
ripencc,IS,59396,1,20120704,allocated
ripencc,IS,60259,1,20130823,allocated
ripencc,IS,60300,1,20130816,allocated
ripencc,IS,60690,1,20130528,allocated
ripencc,IS,62199,1,20140102,allocated
ripencc,IS,197403,1,20101117,allocated
ripencc,IS,197973,1,20110727,allocated
ripencc,IS,198815,1,20120820,allocated
ripencc,IS,199844,1,20140108,allocated
ripencc,IS,200432,1,20150703,allocated
ripencc,IS,200651,1,20150515,allocated
ripencc,IS,200868,1,20150323,allocated
ripencc,IS,201849,1,20140626,allocated
ripencc,IS,201885,1,20140612,allocated
ripencc,IS,202030,1,20140429,allocated
ripencc,IS,202247,1,20180618,allocated
ripencc,IS,202868,1,20160517,allocated
ripencc,IS,203176,1,20160316,allocated
ripencc,IS,203322,1,20160212,allocated
ripencc,IS,203566,1,20221124,allocated
ripencc,IS,203590,1,20151204,allocated
ripencc,IS,203715,1,20151112,allocated
ripencc,IS,204588,1,20180214,allocated
ripencc,IS,205436,1,20170824,allocated
ripencc,IS,206010,1,20170412,allocated
ripencc,IS,206440,1,20220404,allocated
ripencc,IS,206669,1,20161128,allocated
ripencc,IS,206743,1,20161114,allocated
ripencc,IS,206842,1,20161025,allocated
ripencc,IS,208181,1,20250730,allocated
ripencc,IS,208548,1,20220211,allocated
ripencc,IS,209214,1,20190318,allocated
ripencc,IS,209356,1,20250501,allocated
ripencc,IS,209933,1,20181107,allocated
ripencc,IS,210080,1,20181011,allocated
ripencc,IS,210747,1,20210917,allocated
ripencc,IS,211589,1,20210322,allocated
ripencc,IS,211734,1,20210225,allocated
ripencc,IS,211757,1,20210222,allocated
ripencc,IS,211815,1,20210212,allocated
ripencc,IS,212771,1,20200819,allocated
ripencc,IS,212926,1,20200715,allocated
ripencc,IS,213364,1,20200415,allocated
ripencc,IS,214144,1,20240925,allocated
ripencc,IS,214185,1,20240916,allocated
ripencc,IS,214215,1,20240912,allocated
ripencc,IS,214718,1,20240612,allocated
ripencc,IS,215608,1,20240131,allocated
ripencc,IS,215793,1,20240102,allocated
ripencc,IS,215823,1,20231219,allocated
ripencc,IS,216017,1,20231108,allocated
ripencc,IS,216293,1,20230915,allocated
