Registry,Country,ASN,Value,Date,Status
ripencc,IT,137,1,19930901,allocated
ripencc,IT,1267,1,19930901,allocated
ripencc,IT,1268,1,19930901,allocated
ripencc,IT,1269,1,19930901,allocated
ripencc,IT,2038,1,19930901,allocated
ripencc,IT,2039,1,19930901,allocated
ripencc,IT,2040,1,19930901,allocated
ripencc,IT,2593,1,19930721,allocated
ripencc,IT,2594,1,19930721,allocated
ripencc,IT,2595,1,19930721,allocated
ripencc,IT,2596,1,19930721,allocated
ripencc,IT,2597,1,19930726,allocated
ripencc,IT,2598,1,19930726,allocated
ripencc,IT,3242,1,19940728,allocated
ripencc,IT,3269,1,19941114,allocated
ripencc,IT,3275,1,19941206,allocated
ripencc,IT,3302,1,19941028,allocated
ripencc,IT,3313,1,19950206,allocated
ripencc,IT,5382,1,19950622,allocated
ripencc,IT,5392,1,19950808,allocated
ripencc,IT,5394,1,19950813,allocated
ripencc,IT,5396,1,19950813,allocated
ripencc,IT,5397,1,19950813,allocated
ripencc,IT,5398,1,19950815,allocated
ripencc,IT,5502,1,19951215,allocated
ripencc,IT,5535,1,19960130,allocated
ripencc,IT,5602,1,19960423,allocated
ripencc,IT,5609,1,19960424,allocated
ripencc,IT,6665,1,19960610,allocated
ripencc,IT,6691,1,19960628,allocated
ripencc,IT,6734,1,19960801,allocated
ripencc,IT,6762,1,19960912,allocated
ripencc,IT,6831,1,20050307,allocated
ripencc,IT,6836,1,20100503,allocated
ripencc,IT,6882,1,19961224,allocated
ripencc,IT,8217,1,19970219,allocated
ripencc,IT,8224,1,19970303,allocated
ripencc,IT,8234,1,19970311,allocated
ripencc,IT,8244,1,19970320,allocated
ripencc,IT,8265,1,19970919,allocated
ripencc,IT,8463,1,19970905,allocated
ripencc,IT,8612,1,19980106,allocated
ripencc,IT,8660,1,19980212,allocated
ripencc,IT,8671,1,19980217,allocated
ripencc,IT,8816,1,19980604,allocated
ripencc,IT,8822,1,19980609,allocated
ripencc,IT,8855,1,19980625,allocated
ripencc,IT,8884,1,19980714,allocated
ripencc,IT,8911,1,19980803,allocated
ripencc,IT,8968,1,19980907,allocated
ripencc,IT,9026,1,19981026,allocated
ripencc,IT,9076,1,19981130,allocated
