Registry,Country,ASN,Value,Date,Status
arin,JM,3586,1,19940512,assigned
arin,JM,10292,1,19970613,assigned
arin,JM,11580,1,20050921,assigned
arin,JM,18505,1,20180501,assigned
arin,JM,22306,1,20010904,assigned
arin,JM,26999,1,20181003,assigned
arin,JM,30689,1,20031205,assigned
arin,JM,33576,1,20050126,assigned
arin,JM,35878,1,20240109,assigned
arin,JM,40143,1,20110412,assigned
arin,JM,40786,1,20180924,assigned
arin,JM,63094,1,20140715,assigned
arin,JM,399567,1,20210414,assigned
arin,JM,401520,1,20241126,assigned
