Registry,Country,ASN,Value,Date,Status
ripencc,JO,8376,1,19970710,allocated
ripencc,JO,8697,1,19980305,allocated
ripencc,JO,8934,1,19980818,allocated
ripencc,JO,9038,1,19981103,allocated
ripencc,JO,9079,1,19981201,allocated
ripencc,JO,21088,1,20010824,allocated
ripencc,JO,28730,1,20090805,allocated
ripencc,JO,33831,1,20040811,allocated
ripencc,JO,35282,1,20050711,allocated
ripencc,JO,35656,1,20050927,allocated
ripencc,JO,38968,1,20150311,allocated
ripencc,JO,39526,1,20201015,allocated
ripencc,JO,42912,1,20070509,allocated
ripencc,JO,44290,1,20071218,allocated
ripencc,JO,44702,1,20080226,allocated
ripencc,JO,47887,1,20080911,allocated
ripencc,JO,48701,1,20090107,allocated
ripencc,JO,48832,1,20090216,allocated
ripencc,JO,50670,1,20100305,allocated
ripencc,JO,51958,1,20101207,allocated
ripencc,JO,59451,1,20120713,allocated
ripencc,JO,60302,1,20130815,allocated
ripencc,JO,60838,1,20130429,allocated
ripencc,JO,197921,1,20110627,allocated
ripencc,JO,198799,1,20120516,allocated
ripencc,JO,200666,1,20150511,allocated
ripencc,JO,201982,1,20140513,allocated
ripencc,JO,203357,1,20160208,allocated
ripencc,JO,203931,1,20160714,allocated
ripencc,JO,204327,1,20180404,allocated
ripencc,JO,204719,1,20220613,allocated
ripencc,JO,205579,1,20170717,allocated
ripencc,JO,206060,1,20170403,allocated
ripencc,JO,206553,1,20161221,allocated
ripencc,JO,206608,1,20161212,allocated
ripencc,JO,207332,1,20200225,allocated
ripencc,JO,207515,1,20200120,allocated
ripencc,JO,208148,1,20250521,allocated
ripencc,JO,208212,1,20250519,allocated
ripencc,JO,208336,1,20190823,allocated
ripencc,JO,209029,1,20190423,allocated
ripencc,JO,209560,1,20190117,allocated
ripencc,JO,210084,1,20220704,allocated
ripencc,JO,210432,1,20211124,allocated
ripencc,JO,210813,1,20210902,allocated
ripencc,JO,210844,1,20210825,allocated
ripencc,JO,211260,1,20210527,allocated
ripencc,JO,211826,1,20210211,allocated
ripencc,JO,211842,1,20220517,allocated
ripencc,JO,211917,1,20210128,allocated
ripencc,JO,212042,1,20210108,allocated
ripencc,JO,212507,1,20201014,allocated
ripencc,JO,214137,1,20240926,allocated
ripencc,JO,214244,1,20240909,allocated
ripencc,JO,215270,1,20240321,allocated
ripencc,JO,396076,1,20240312,allocated
