Registry,Country,ASN,Value,Date,Status
apnic,JP,173,1,20020801,allocated
ripencc,JP,945,1,20220621,allocated
apnic,JP,1233,1,20020801,allocated
apnic,JP,2497,32,20020405,allocated
apnic,JP,2554,1,20020801,allocated
apnic,JP,2907,1,20020801,allocated
apnic,JP,2915,1,20020801,allocated
ripencc,JP,3258,1,20110617,allocated
apnic,JP,3391,1,20020801,allocated
apnic,JP,3488,1,20020801,allocated
apnic,JP,3510,1,20020801,allocated
apnic,JP,3775,1,20020801,allocated
apnic,JP,4251,1,20020801,allocated
apnic,JP,4629,1,19950912,allocated
apnic,JP,4672,10,19950830,allocated
apnic,JP,4683,53,19950830,allocated
apnic,JP,4774,1,19960228,allocated
apnic,JP,4777,1,19960809,allocated
apnic,JP,4785,1,20180222,allocated
apnic,JP,7500,32,19970303,allocated
apnic,JP,7603,1,20211202,allocated
apnic,JP,7660,32,19971113,allocated
apnic,JP,9222,1,20000510,allocated
apnic,JP,9349,32,19980817,allocated
apnic,JP,9409,1,20230929,allocated
apnic,JP,9434,1,20250311,allocated
apnic,JP,9466,1,19981211,allocated
apnic,JP,9591,32,19990805,allocated
apnic,JP,9625,1,19990810,allocated
apnic,JP,9743,1,20231115,allocated
apnic,JP,9824,1,20000112,allocated
apnic,JP,9904,1,20000316,allocated
apnic,JP,9909,1,20000321,allocated
apnic,JP,9928,1,20231221,allocated
apnic,JP,9935,1,20091110,allocated
apnic,JP,9990,32,20000427,allocated
apnic,JP,10026,1,20000609,allocated
apnic,JP,10033,1,20000921,allocated
apnic,JP,10124,1,20110721,allocated
apnic,JP,10209,1,20070925,allocated
apnic,JP,10807,1,20020801,allocated
apnic,JP,17503,32,20001212,allocated
apnic,JP,17661,1,20011203,allocated
apnic,JP,17673,32,20010326,allocated
apnic,JP,17707,1,20010329,allocated
apnic,JP,17795,1,20010621,allocated
apnic,JP,17801,1,20010627,allocated
apnic,JP,17905,1,20011113,allocated
apnic,JP,17930,32,20010921,allocated
apnic,JP,17977,1,20011017,allocated
apnic,JP,18050,1,20011113,allocated
apnic,JP,18067,17,20011227,allocated
apnic,JP,18084,1,20011227,allocated
apnic,JP,18085,14,20011227,allocated
apnic,JP,18121,32,20020321,allocated
apnic,JP,18193,1,20020417,allocated
apnic,JP,18258,1,20021230,allocated
apnic,JP,18259,30,20020701,allocated
apnic,JP,18289,1,20020701,allocated
apnic,JP,18290,1,20020701,allocated
apnic,JP,18383,1,20021017,allocated
arin,JP,18526,1,20200219,assigned
apnic,JP,23612,32,20030131,allocated
apnic,JP,23661,1,20030304,allocated
apnic,JP,23663,1,20050811,allocated
apnic,JP,23720,1,20030416,allocated
apnic,JP,23748,1,20180314,allocated
apnic,JP,23761,1,20030602,allocated
apnic,JP,23773,64,20030616,allocated
apnic,JP,23885,1,20030823,allocated
apnic,JP,23929,1,20050914,allocated
apnic,JP,23967,1,20031202,allocated
apnic,JP,24047,1,20040408,allocated
apnic,JP,24056,1,20040421,allocated
apnic,JP,24121,1,20040809,allocated
apnic,JP,24229,1,20040923,allocated
apnic,JP,24248,50,20041019,allocated
apnic,JP,24336,1,20050210,allocated
apnic,JP,24477,1,20051109,allocated
apnic,JP,24512,1,20051221,allocated
apnic,JP,24567,1,20191219,allocated
apnic,JP,24572,1,20060227,allocated
arin,JP,26132,1,20240111,assigned
apnic,JP,37888,40,20060130,allocated
apnic,JP,37981,1,20200414,allocated
apnic,JP,37982,1,20200430,allocated
apnic,JP,37984,1,20060320,allocated
apnic,JP,38033,1,20060525,allocated
apnic,JP,38043,1,20060531,allocated
apnic,JP,38074,1,20210204,allocated
apnic,JP,38080,1,20060706,allocated
apnic,JP,38215,1,20210325,allocated
apnic,JP,38222,1,20210406,allocated
apnic,JP,38462,1,20070223,allocated
apnic,JP,38610,1,20070716,allocated
apnic,JP,38627,30,20070820,allocated
apnic,JP,38715,1,20070829,allocated
apnic,JP,38895,1,20080206,allocated
apnic,JP,45217,1,20080522,allocated
apnic,JP,45436,1,20080916,allocated
apnic,JP,45672,20,20090402,allocated
apnic,JP,45846,1,20090710,allocated
arin,JP,46953,1,20240813,assigned
ripencc,JP,49671,1,20220701,allocated
ripencc,JP,51044,1,20190903,allocated
apnic,JP,54415,1,20120215,allocated
apnic,JP,55372,25,20100118,allocated
apnic,JP,55569,1,20100707,allocated
apnic,JP,55748,1,20100902,allocated
apnic,JP,55817,1,20101015,allocated
apnic,JP,55873,1,20101118,allocated
apnic,JP,55888,25,20101129,allocated
apnic,JP,55949,1,20101223,allocated
apnic,JP,56023,1,20110105,allocated
apnic,JP,56024,2,20110105,allocated
apnic,JP,56033,1,20110113,allocated
apnic,JP,56218,1,20110421,allocated
apnic,JP,56291,1,20110518,allocated
apnic,JP,58535,1,20120228,allocated
apnic,JP,58645,10,20120713,allocated
apnic,JP,58784,10,20121227,allocated
apnic,JP,59091,26,20130909,allocated
apnic,JP,59118,13,20130909,allocated
apnic,JP,59349,1,20140424,allocated
ripencc,JP,60445,1,20220523,allocated
ripencc,JP,62184,1,20171016,allocated
arin,JP,63000,1,20241216,assigned
apnic,JP,63524,1,20140811,allocated
apnic,JP,63770,40,20140825,allocated
apnic,JP,63917,1,20141201,allocated
apnic,JP,63978,1,20150508,allocated
apnic,JP,63997,1,20150622,allocated
apnic,JP,131073,1,20070110,allocated
apnic,JP,131077,10,20070323,allocated
apnic,JP,131106,1,20080328,allocated
apnic,JP,131152,10,20081003,allocated
apnic,JP,131893,11,20110804,allocated
apnic,JP,131904,1,20110804,allocated
apnic,JP,131905,88,20110804,allocated
apnic,JP,132024,1,20110908,allocated
