Registry,Country,ASN,Value,Date,Status
afrinic,KE,12455,1,20070917,allocated
afrinic,KE,12556,1,20090115,allocated
afrinic,KE,15399,1,20070919,allocated
ripencc,KE,15808,1,20001018,allocated
afrinic,KE,16907,1,20070927,allocated
afrinic,KE,30896,1,20090928,allocated
afrinic,KE,30994,1,20050124,allocated
afrinic,KE,33770,1,20050324,allocated
afrinic,KE,33771,1,20050411,allocated
afrinic,KE,36866,1,20050809,allocated
afrinic,KE,36904,1,20121005,allocated
afrinic,KE,36914,1,20060915,allocated
afrinic,KE,36915,1,20080312,allocated
afrinic,KE,36926,1,20061204,allocated
afrinic,KE,36948,1,20070427,allocated
afrinic,KE,36967,1,20070806,allocated
afrinic,KE,36975,1,20210520,allocated
afrinic,KE,36987,1,20071116,allocated
afrinic,KE,37019,1,20080514,allocated
afrinic,KE,37044,1,20080813,allocated
afrinic,KE,37052,1,20080917,allocated
afrinic,KE,37061,1,20081017,allocated
afrinic,KE,37109,1,20090626,allocated
afrinic,KE,37129,1,20090819,allocated
afrinic,KE,37156,1,20091123,allocated
afrinic,KE,37165,1,20100112,allocated
afrinic,KE,37166,1,20100120,allocated
afrinic,KE,37210,1,20100506,allocated
afrinic,KE,37219,1,20140722,allocated
afrinic,KE,37244,1,20100729,allocated
afrinic,KE,37247,1,20100810,allocated
afrinic,KE,37261,1,20100923,allocated
afrinic,KE,37274,1,20101104,allocated
afrinic,KE,37298,1,20110308,allocated
afrinic,KE,37305,1,20110318,allocated
afrinic,KE,37307,1,20110322,allocated
afrinic,KE,37319,1,20110419,allocated
afrinic,KE,37346,1,20110612,allocated
afrinic,KE,37354,1,20110707,allocated
afrinic,KE,37421,1,20120220,allocated
afrinic,KE,37470,1,20120704,allocated
afrinic,KE,37499,1,20120924,allocated
afrinic,KE,37535,1,20121207,allocated
afrinic,KE,37578,1,20130322,allocated
afrinic,KE,37579,1,20130322,allocated
afrinic,KE,37601,1,20130724,allocated
afrinic,KE,37684,1,20130718,allocated
afrinic,KE,37685,1,20130718,allocated
afrinic,KE,37704,1,20160524,allocated
afrinic,KE,37732,1,20221123,allocated
afrinic,KE,37770,1,20160616,allocated
afrinic,KE,37786,1,20190415,allocated
afrinic,KE,37789,1,20210624,allocated
afrinic,KE,37804,1,20250105,allocated
apnic,KE,134398,1,20150715,allocated
ripencc,KE,207113,1,20250611,allocated
afrinic,KE,327689,1,20091215,allocated
afrinic,KE,327713,1,20131115,allocated
afrinic,KE,327748,1,20140415,allocated
afrinic,KE,327753,1,20140807,allocated
afrinic,KE,327766,1,20140611,allocated
afrinic,KE,327780,1,20140812,allocated
afrinic,KE,327789,1,20140902,allocated
afrinic,KE,327793,1,20140919,allocated
afrinic,KE,327884,1,20150520,allocated
afrinic,KE,327906,1,20150630,allocated
afrinic,KE,327927,1,20150831,allocated
afrinic,KE,327945,1,20151021,allocated
afrinic,KE,327963,1,20151211,allocated
afrinic,KE,327972,1,20160217,allocated
afrinic,KE,327977,1,20160223,allocated
afrinic,KE,327994,1,20160330,allocated
afrinic,KE,328087,1,20161025,allocated
afrinic,KE,328089,1,20161026,allocated
afrinic,KE,328090,1,20161027,allocated
afrinic,KE,328093,1,20161028,allocated
afrinic,KE,328100,1,20161114,allocated
afrinic,KE,328103,1,20161118,allocated
afrinic,KE,328132,1,20170227,allocated
afrinic,KE,328142,1,20170322,allocated
afrinic,KE,328162,1,20170510,allocated
afrinic,KE,328192,1,20170717,allocated
afrinic,KE,328201,1,20170807,allocated
afrinic,KE,328225,1,20170914,allocated
afrinic,KE,328271,1,20180124,allocated
afrinic,KE,328296,1,20180326,allocated
afrinic,KE,328298,1,20180328,allocated
afrinic,KE,328301,1,20180330,allocated
afrinic,KE,328302,1,20180330,allocated
afrinic,KE,328331,1,20180627,allocated
afrinic,KE,328354,1,20180817,allocated
afrinic,KE,328380,1,20181003,allocated
afrinic,KE,328392,1,20181024,allocated
afrinic,KE,328465,1,20190412,allocated
afrinic,KE,328466,1,20190412,allocated
afrinic,KE,328475,1,20190422,allocated
afrinic,KE,328477,1,20190426,allocated
afrinic,KE,328479,1,20230213,allocated
afrinic,KE,328482,1,20190513,allocated
afrinic,KE,328490,1,20190522,allocated
afrinic,KE,328578,1,20191120,allocated
afrinic,KE,328592,1,20191223,allocated
afrinic,KE,328606,1,20200123,allocated
afrinic,KE,328636,1,20200403,allocated
afrinic,KE,328637,1,20200408,allocated
afrinic,KE,328652,1,20200507,allocated
afrinic,KE,328705,1,20200717,allocated
afrinic,KE,328724,1,20200903,allocated
afrinic,KE,328734,1,20200914,allocated
afrinic,KE,328739,1,20200918,allocated
afrinic,KE,328753,1,20201028,allocated
afrinic,KE,328782,1,20210106,allocated
afrinic,KE,328784,1,20210111,allocated
afrinic,KE,328793,1,20210203,allocated
afrinic,KE,328800,1,20210223,allocated
afrinic,KE,328804,1,20210225,allocated
afrinic,KE,328808,1,20210301,allocated
afrinic,KE,328815,1,20210318,allocated
afrinic,KE,328835,1,20210417,allocated
afrinic,KE,328836,1,20210418,allocated
afrinic,KE,328846,1,20210430,allocated
afrinic,KE,328847,1,20210505,allocated
afrinic,KE,328856,1,20210521,allocated
