Registry,Country,ASN,Value,Date,Status
ripencc,KG,8449,1,19970828,allocated
ripencc,KG,8511,1,19971016,allocated
ripencc,KG,12764,1,19991029,allocated
ripencc,KG,12997,1,20000215,allocated
ripencc,KG,25035,1,20020704,allocated
ripencc,KG,29061,1,20030522,allocated
ripencc,KG,39036,1,20190925,allocated
ripencc,KG,39160,1,20180807,allocated
ripencc,KG,39214,1,20060110,allocated
ripencc,KG,39438,1,20171212,allocated
ripencc,KG,39659,1,20171102,allocated
ripencc,KG,39819,1,20090923,allocated
ripencc,KG,41271,1,20150120,allocated
ripencc,KG,41329,1,20060725,allocated
ripencc,KG,41409,1,20170803,allocated
ripencc,KG,41750,1,20061019,allocated
ripencc,KG,42581,1,20170420,allocated
ripencc,KG,42837,1,20210423,allocated
ripencc,KG,43680,1,20161230,allocated
ripencc,KG,44343,1,20141126,allocated
ripencc,KG,44359,1,20190912,allocated
ripencc,KG,44536,1,20080201,allocated
ripencc,KG,44836,1,20231103,allocated
ripencc,KG,45001,1,20161121,allocated
ripencc,KG,47237,1,20080522,allocated
ripencc,KG,47782,1,20080819,allocated
ripencc,KG,48271,1,20081031,allocated
ripencc,KG,50223,1,20091203,allocated
ripencc,KG,50251,1,20091209,allocated
ripencc,KG,50915,1,20160711,allocated
ripencc,KG,51787,1,20200727,allocated
ripencc,KG,51898,1,20170720,allocated
ripencc,KG,52214,1,20110126,allocated
ripencc,KG,56464,1,20210928,allocated
ripencc,KG,56988,1,20110629,allocated
ripencc,KG,59430,1,20120710,allocated
ripencc,KG,59527,1,20120801,allocated
ripencc,KG,59684,1,20120919,allocated
ripencc,KG,60515,1,20150216,allocated
ripencc,KG,60842,1,20230804,allocated
ripencc,KG,61010,1,20130315,allocated
ripencc,KG,61196,1,20130123,allocated
ripencc,KG,61399,1,20170710,allocated
ripencc,KG,197119,1,20100615,allocated
ripencc,KG,198629,1,20230505,allocated
ripencc,KG,199011,1,20230331,allocated
ripencc,KG,201591,1,20221104,allocated
ripencc,KG,202773,1,20220921,allocated
ripencc,KG,204532,1,20180221,allocated
ripencc,KG,204674,1,20180129,allocated
ripencc,KG,205204,1,20220506,allocated
ripencc,KG,205342,1,20220428,allocated
ripencc,KG,206351,1,20170207,allocated
ripencc,KG,207192,1,20160815,allocated
ripencc,KG,207250,1,20160803,allocated
ripencc,KG,207369,1,20200218,allocated
ripencc,KG,209918,1,20181109,allocated
ripencc,KG,212243,1,20250620,allocated
ripencc,KG,212409,1,20201105,allocated
ripencc,KG,213173,1,20200526,allocated
ripencc,KG,215326,1,20241007,allocated
ripencc,KG,215490,1,20240214,allocated
ripencc,KG,216287,1,20230919,allocated
ripencc,KG,216358,1,20250121,allocated
