Registry,Country,ASN,Value,Date,Status
apnic,KH,7712,1,20070906,allocated
apnic,KH,9900,1,20000308,allocated
apnic,KH,9902,1,20070926,allocated
apnic,KH,17726,1,20010412,allocated
apnic,KH,17976,1,20011011,allocated
apnic,KH,17981,1,20050404,allocated
apnic,KH,18014,1,20090127,allocated
apnic,KH,23673,1,20030318,allocated
apnic,KH,24325,1,20041230,allocated
apnic,KH,24441,1,20050506,allocated
apnic,KH,24478,1,20051109,allocated
apnic,KH,24492,1,20051125,allocated
apnic,KH,37971,1,20200102,allocated
apnic,KH,38209,1,20060830,allocated
apnic,KH,38235,1,20060929,allocated
apnic,KH,38286,1,20061116,allocated
apnic,KH,38600,1,20070626,allocated
apnic,KH,38623,1,20070806,allocated
apnic,KH,38901,1,20080212,allocated
apnic,KH,45348,1,20080814,allocated
apnic,KH,45498,1,20081028,allocated
apnic,KH,55329,1,20091208,allocated
apnic,KH,55440,1,20100305,allocated
apnic,KH,55559,1,20100628,allocated
apnic,KH,55582,1,20100716,allocated
apnic,KH,55636,1,20100722,allocated
apnic,KH,55769,1,20130912,allocated
apnic,KH,55928,1,20101209,allocated
apnic,KH,58424,1,20110921,allocated
apnic,KH,58465,1,20111206,allocated
apnic,KH,59318,1,20140219,allocated
apnic,KH,131178,1,20090505,allocated
apnic,KH,131186,1,20090623,allocated
apnic,KH,131203,1,20090818,allocated
apnic,KH,131207,1,20090819,allocated
apnic,KH,131238,1,20091002,allocated
apnic,KH,131241,1,20220801,allocated
apnic,KH,131309,1,20160711,allocated
apnic,KH,132025,1,20200224,allocated
apnic,KH,132080,1,20111116,allocated
apnic,KH,132098,1,20111212,allocated
apnic,KH,132213,1,20120321,allocated
apnic,KH,132350,1,20120803,allocated
apnic,KH,132590,1,20130125,allocated
apnic,KH,132599,1,20130201,allocated
apnic,KH,132730,1,20130409,allocated
apnic,KH,132820,1,20130508,allocated
apnic,KH,133200,1,20131224,allocated
apnic,KH,133378,1,20140218,allocated
apnic,KH,133416,1,20140318,allocated
apnic,KH,133588,1,20140715,allocated
apnic,KH,133941,1,20150130,allocated
apnic,KH,134136,1,20210415,allocated
apnic,KH,135286,1,20160329,allocated
apnic,KH,135295,1,20170419,allocated
apnic,KH,135333,1,20160411,allocated
apnic,KH,135375,1,20160426,allocated
apnic,KH,135380,1,20231021,allocated
apnic,KH,135429,1,20160518,allocated
apnic,KH,135664,1,20161102,allocated
apnic,KH,136379,1,20190503,allocated
apnic,KH,136583,1,20170518,allocated
apnic,KH,136764,1,20170621,allocated
apnic,KH,136967,1,20170911,allocated
apnic,KH,136998,1,20170928,allocated
apnic,KH,137066,1,20181123,allocated
apnic,KH,137206,1,20171130,allocated
apnic,KH,137236,1,20171212,allocated
apnic,KH,137281,1,20180102,allocated
apnic,KH,137413,1,20241209,allocated
apnic,KH,137440,1,20180205,allocated
apnic,KH,137499,1,20180308,allocated
apnic,KH,137503,1,20220613,allocated
apnic,KH,137537,1,20180328,allocated
apnic,KH,137551,1,20180405,allocated
apnic,KH,137811,1,20180424,allocated
apnic,KH,137820,1,20180509,allocated
apnic,KH,137829,1,20230914,allocated
apnic,KH,137853,1,20180517,allocated
apnic,KH,137952,1,20180706,allocated
apnic,KH,137966,1,20180711,allocated
apnic,KH,137989,1,20180720,allocated
apnic,KH,138010,1,20180726,allocated
apnic,KH,138160,1,20180828,allocated
apnic,KH,138340,1,20181008,allocated
apnic,KH,138429,1,20181114,allocated
apnic,KH,138528,1,20181227,allocated
apnic,KH,138579,1,20230731,allocated
apnic,KH,138580,1,20240722,allocated
apnic,KH,138629,1,20190219,allocated
apnic,KH,138643,1,20190225,allocated
apnic,KH,138666,1,20190304,allocated
apnic,KH,138682,1,20190307,allocated
apnic,KH,138690,1,20190311,allocated
apnic,KH,138930,1,20190326,allocated
apnic,KH,138999,1,20190416,allocated
apnic,KH,139044,1,20190508,allocated
apnic,KH,139056,1,20190513,allocated
apnic,KH,139060,1,20190513,allocated
apnic,KH,139258,1,20190626,allocated
apnic,KH,139285,1,20190708,allocated
apnic,KH,139314,1,20190715,allocated
apnic,KH,139353,1,20190728,allocated
apnic,KH,139588,1,20190813,allocated
apnic,KH,139628,1,20190903,allocated
apnic,KH,139821,1,20191126,allocated
apnic,KH,139844,1,20191203,allocated
apnic,KH,139871,1,20230321,allocated
apnic,KH,140659,1,20200518,allocated
apnic,KH,140974,1,20230616,allocated
apnic,KH,141370,1,20201022,allocated
apnic,KH,141761,1,20210301,allocated
apnic,KH,141993,1,20210310,allocated
apnic,KH,142024,1,20210329,allocated
apnic,KH,142296,1,20210528,allocated
apnic,KH,146995,1,20210830,allocated
apnic,KH,147011,1,20210906,allocated
apnic,KH,147023,1,20240320,allocated
apnic,KH,147056,1,20210927,allocated
apnic,KH,149177,1,20211208,allocated
apnic,KH,149294,1,20211214,allocated
apnic,KH,149448,1,20230215,allocated
apnic,KH,149634,1,20220304,allocated
apnic,KH,149828,1,20220510,allocated
apnic,KH,150158,1,20220808,allocated
apnic,KH,150295,1,20220902,allocated
apnic,KH,150381,1,20221024,allocated
apnic,KH,150444,1,20221124,allocated
apnic,KH,150796,1,20230307,allocated
apnic,KH,151622,1,20230721,allocated
apnic,KH,151654,1,20230807,allocated
apnic,KH,151795,1,20230911,allocated
apnic,KH,151816,1,20230919,allocated
apnic,KH,151977,1,20231018,allocated
apnic,KH,152301,1,20240103,allocated
apnic,KH,152452,1,20240130,allocated
apnic,KH,152901,1,20240605,allocated
apnic,KH,153715,1,20250319,allocated
apnic,KH,153864,1,20250506,allocated
