Registry,Country,ASN,Value,Date,Status
apnic,KR,1237,1,20020801,allocated
apnic,KR,1704,1,20020801,allocated
apnic,KR,1781,1,20020801,allocated
apnic,KR,2385,1,20020801,allocated
apnic,KR,2563,1,20020801,allocated
apnic,KR,3357,1,20020801,allocated
apnic,KR,3559,1,20020801,allocated
apnic,KR,3608,1,20020801,allocated
apnic,KR,3748,1,20020801,allocated
apnic,KR,3757,1,20020801,allocated
apnic,KR,3784,1,20020801,allocated
apnic,KR,3786,1,20020801,allocated
apnic,KR,3813,1,20020801,allocated
apnic,KR,3825,1,20020801,allocated
apnic,KR,3976,1,20020801,allocated
apnic,KR,4040,1,20020801,allocated
apnic,KR,4060,1,20020801,allocated
apnic,KR,4202,1,20020801,allocated
apnic,KR,4660,1,19960222,allocated
apnic,KR,4663,1,19951228,allocated
apnic,KR,4664,1,19951226,allocated
apnic,KR,4665,1,20041217,allocated
apnic,KR,4666,1,19951028,allocated
apnic,KR,4668,1,19950921,allocated
apnic,KR,4669,1,19951004,allocated
apnic,KR,4670,1,19950616,allocated
apnic,KR,4671,1,19950530,allocated
apnic,KR,4745,1,19960308,allocated
apnic,KR,4753,1,19960417,allocated
apnic,KR,4756,1,19960517,allocated
apnic,KR,4757,1,19960527,allocated
apnic,KR,4766,1,19960422,allocated
apnic,KR,4790,4,19961008,allocated
apnic,KR,4861,1,19961206,allocated
apnic,KR,4961,1,20020801,allocated
apnic,KR,5051,1,20020801,allocated
apnic,KR,6068,1,20020801,allocated
apnic,KR,6619,1,20020801,allocated
apnic,KR,7557,8,19970513,allocated
apnic,KR,7620,8,19970911,allocated
apnic,KR,9270,8,19980122,allocated
apnic,KR,9286,1,20020906,allocated
apnic,KR,9316,8,19980603,allocated
apnic,KR,9452,8,19981130,allocated
apnic,KR,9487,8,19990222,allocated
apnic,KR,9521,12,19990513,allocated
apnic,KR,9568,12,19990721,allocated
apnic,KR,9628,20,19990818,allocated
apnic,KR,9683,30,19991005,allocated
apnic,KR,9753,32,19991210,allocated
