Registry,Country,ASN,Value,Date,Status
ripencc,KW,3225,1,19940527,allocated
ripencc,KW,9155,1,19990118,allocated
ripencc,KW,16060,1,20090112,allocated
ripencc,KW,21050,1,20010808,allocated
ripencc,KW,24627,1,20020124,allocated
ripencc,KW,25122,1,20020731,allocated
ripencc,KW,25242,1,20020911,allocated
ripencc,KW,29029,1,20030514,allocated
ripencc,KW,29237,1,20150602,allocated
ripencc,KW,29357,1,20030815,allocated
ripencc,KW,35181,1,20050617,allocated
ripencc,KW,35512,1,20050824,allocated
ripencc,KW,39504,1,20060308,allocated
ripencc,KW,39682,1,20060410,allocated
ripencc,KW,41576,1,20080715,allocated
ripencc,KW,41669,1,20061004,allocated
ripencc,KW,41890,1,20061109,allocated
ripencc,KW,42606,1,20070321,allocated
ripencc,KW,42642,1,20070326,allocated
ripencc,KW,42781,1,20070416,allocated
ripencc,KW,42961,1,20070515,allocated
ripencc,KW,43080,1,20070604,allocated
ripencc,KW,43158,1,20070615,allocated
ripencc,KW,43184,1,20070620,allocated
ripencc,KW,43216,1,20170202,allocated
ripencc,KW,43852,1,20071009,allocated
ripencc,KW,47316,1,20220221,allocated
ripencc,KW,47442,1,20080620,allocated
ripencc,KW,47519,1,20080701,allocated
ripencc,KW,47589,1,20080717,allocated
ripencc,KW,49104,1,20090414,allocated
ripencc,KW,49205,1,20090428,allocated
ripencc,KW,50475,1,20100122,allocated
ripencc,KW,50774,1,20100323,allocated
ripencc,KW,51080,1,20100527,allocated
ripencc,KW,51914,1,20101129,allocated
ripencc,KW,52081,1,20101223,allocated
ripencc,KW,56680,1,20110426,allocated
ripencc,KW,56753,1,20110510,allocated
ripencc,KW,57278,1,20110913,allocated
ripencc,KW,57714,1,20120123,allocated
ripencc,KW,57719,1,20120124,allocated
ripencc,KW,60661,1,20130603,allocated
ripencc,KW,60992,1,20130321,allocated
ripencc,KW,61089,1,20130221,allocated
ripencc,KW,196659,1,20090209,allocated
ripencc,KW,196820,1,20090714,allocated
ripencc,KW,196921,1,20100203,allocated
ripencc,KW,197456,1,20230731,allocated
ripencc,KW,198019,1,20110829,allocated
ripencc,KW,198392,1,20120109,allocated
ripencc,KW,199526,1,20121206,allocated
ripencc,KW,199616,1,20121106,allocated
ripencc,KW,199729,1,20140224,allocated
ripencc,KW,199869,1,20131231,allocated
ripencc,KW,201378,1,20141112,allocated
ripencc,KW,201756,1,20140724,allocated
ripencc,KW,202414,1,20180517,allocated
ripencc,KW,203147,1,20180424,allocated
ripencc,KW,203308,1,20160217,allocated
ripencc,KW,204367,1,20220627,allocated
ripencc,KW,204638,1,20180202,allocated
ripencc,KW,205554,1,20170724,allocated
ripencc,KW,205780,1,20170606,allocated
ripencc,KW,206879,1,20161017,allocated
ripencc,KW,207450,1,20200130,allocated
ripencc,KW,208125,1,20190930,allocated
ripencc,KW,208233,1,20190911,allocated
ripencc,KW,208710,1,20190617,allocated
ripencc,KW,208899,1,20190515,allocated
ripencc,KW,209068,1,20190411,allocated
ripencc,KW,210245,1,20180910,allocated
ripencc,KW,210270,1,20180905,allocated
ripencc,KW,211372,1,20210505,allocated
ripencc,KW,211394,1,20210503,allocated
ripencc,KW,212090,1,20201228,allocated
ripencc,KW,213397,1,20200406,allocated
ripencc,KW,213749,1,20241206,allocated
ripencc,KW,214059,1,20241010,allocated
ripencc,KW,215053,1,20240424,allocated
ripencc,KW,215696,1,20240118,allocated
ripencc,KW,215713,1,20240115,allocated
