Registry,Country,ASN,Value,Date,Status
arin,KY,3402,1,20241203,assigned
arin,KY,3962,1,20090911,assigned
arin,KY,4935,1,20090929,assigned
arin,KY,6639,1,19960612,assigned
arin,KY,13771,1,20170810,assigned
arin,KY,16437,1,20150630,assigned
arin,KY,16705,1,20070925,assigned
arin,KY,21682,1,20250204,assigned
arin,KY,21744,1,20121005,assigned
arin,KY,36549,1,20060130,assigned
arin,KY,53891,1,20240912,assigned
ripencc,KY,209321,1,20250502,allocated
ripencc,KY,214434,1,20240801,allocated
arin,KY,397343,1,20190227,assigned
arin,KY,398132,1,20191106,assigned
arin,KY,398831,1,20200917,assigned
arin,KY,399548,1,20210412,assigned
