Registry,Country,ASN,Value,Date,Status
ripencc,KZ,8200,1,20151112,allocated
ripencc,KZ,8393,1,19970724,allocated
ripencc,KZ,8430,1,19970818,allocated
ripencc,KZ,8720,1,20090105,allocated
ripencc,KZ,9198,1,19990223,allocated
ripencc,KZ,13082,1,20000313,allocated
ripencc,KZ,15549,1,20000802,allocated
ripencc,KZ,15736,1,20001002,allocated
ripencc,KZ,20578,1,20010409,allocated
ripencc,KZ,21282,1,20011015,allocated
ripencc,KZ,21299,1,20011024,allocated
ripencc,KZ,25349,1,20021011,allocated
ripencc,KZ,25534,1,20021227,allocated
ripencc,KZ,25548,1,20150616,allocated
ripencc,KZ,25559,1,20030110,allocated
ripencc,KZ,29046,1,20061123,allocated
ripencc,KZ,29355,1,20030815,allocated
ripencc,KZ,29555,1,20031009,allocated
ripencc,KZ,31253,1,20040331,allocated
ripencc,KZ,31465,1,20040525,allocated
ripencc,KZ,31525,1,20121001,allocated
ripencc,KZ,33878,1,20040827,allocated
ripencc,KZ,35104,1,20050603,allocated
ripencc,KZ,35168,1,20050615,allocated
ripencc,KZ,35566,1,20050906,allocated
ripencc,KZ,35673,1,20050930,allocated
ripencc,KZ,35794,1,20181122,allocated
ripencc,KZ,39188,1,20051230,allocated
ripencc,KZ,39221,1,20091016,allocated
ripencc,KZ,39318,1,20210210,allocated
ripencc,KZ,39433,1,20060222,allocated
ripencc,KZ,39510,1,20190607,allocated
ripencc,KZ,39725,1,20060418,allocated
ripencc,KZ,39786,1,20060425,allocated
ripencc,KZ,39824,1,20060428,allocated
ripencc,KZ,41007,1,20060530,allocated
ripencc,KZ,41124,1,20060616,allocated
ripencc,KZ,41284,1,20060714,allocated
ripencc,KZ,41371,1,20060802,allocated
ripencc,KZ,41413,1,20060815,allocated
ripencc,KZ,41419,1,20060816,allocated
ripencc,KZ,41520,1,20100713,allocated
ripencc,KZ,41798,1,20061026,allocated
ripencc,KZ,41800,1,20061026,allocated
ripencc,KZ,42447,1,20190911,allocated
ripencc,KZ,42588,1,20210205,allocated
ripencc,KZ,42770,1,20070413,allocated
ripencc,KZ,43215,1,20170203,allocated
ripencc,KZ,43370,1,20070720,allocated
ripencc,KZ,43601,1,20070830,allocated
ripencc,KZ,43606,1,20200817,allocated
ripencc,KZ,43873,1,20071012,allocated
ripencc,KZ,43934,1,20071019,allocated
ripencc,KZ,43994,1,20071031,allocated
ripencc,KZ,43999,1,20071101,allocated
ripencc,KZ,44025,1,20180928,allocated
ripencc,KZ,44173,1,20161124,allocated
ripencc,KZ,44256,1,20071212,allocated
ripencc,KZ,44653,1,20080219,allocated
ripencc,KZ,44877,1,20231031,allocated
ripencc,KZ,48007,1,20080929,allocated
ripencc,KZ,48334,1,20210723,allocated
ripencc,KZ,48450,1,20081127,allocated
ripencc,KZ,48502,1,20081203,allocated
ripencc,KZ,48503,1,20081204,allocated
ripencc,KZ,48716,1,20090119,allocated
ripencc,KZ,49089,1,20090408,allocated
ripencc,KZ,49108,1,20090414,allocated
ripencc,KZ,49393,1,20141112,allocated
ripencc,KZ,50107,1,20190212,allocated
ripencc,KZ,50386,1,20091231,allocated
ripencc,KZ,50482,1,20100126,allocated
ripencc,KZ,50756,1,20221222,allocated
ripencc,KZ,51162,1,20100610,allocated
ripencc,KZ,51192,1,20100617,allocated
ripencc,KZ,51340,1,20160701,allocated
ripencc,KZ,51363,1,20100730,allocated
ripencc,KZ,51833,1,20101112,allocated
ripencc,KZ,51878,1,20101122,allocated
ripencc,KZ,51979,1,20101209,allocated
ripencc,KZ,51997,1,20101213,allocated
ripencc,KZ,56549,1,20161227,allocated
ripencc,KZ,56568,1,20120216,allocated
ripencc,KZ,57008,1,20221118,allocated
ripencc,KZ,57013,1,20110701,allocated
ripencc,KZ,57466,1,20111102,allocated
ripencc,KZ,57784,1,20230619,allocated
ripencc,KZ,57826,1,20120217,allocated
ripencc,KZ,57950,1,20120319,allocated
ripencc,KZ,58033,1,20181119,allocated
ripencc,KZ,58172,1,20120521,allocated
ripencc,KZ,58289,1,20221013,allocated
ripencc,KZ,59443,1,20120712,allocated
ripencc,KZ,59583,1,20120814,allocated
ripencc,KZ,59937,1,20230502,allocated
ripencc,KZ,60186,1,20130909,allocated
ripencc,KZ,60286,1,20130819,allocated
ripencc,KZ,60411,1,20130723,allocated
ripencc,KZ,60708,1,20130524,allocated
ripencc,KZ,60757,1,20180403,allocated
ripencc,KZ,60930,1,20230608,allocated
ripencc,KZ,61185,1,20130118,allocated
ripencc,KZ,61367,1,20121107,allocated
ripencc,KZ,61392,1,20121026,allocated
ripencc,KZ,62062,1,20140227,allocated
ripencc,KZ,62394,1,20201123,allocated
ripencc,KZ,197079,1,20100521,allocated
ripencc,KZ,197487,1,20230728,allocated
ripencc,KZ,197556,1,20110201,allocated
ripencc,KZ,197686,1,20110325,allocated
ripencc,KZ,197968,1,20230703,allocated
ripencc,KZ,198084,1,20230619,allocated
ripencc,KZ,198200,1,20111108,allocated
ripencc,KZ,198229,1,20230608,allocated
ripencc,KZ,198483,1,20230523,allocated
ripencc,KZ,198803,1,20230420,allocated
ripencc,KZ,200067,1,20230202,allocated
ripencc,KZ,200218,1,20230113,allocated
ripencc,KZ,200349,1,20180802,allocated
ripencc,KZ,200532,1,20150612,allocated
ripencc,KZ,200590,1,20150528,allocated
ripencc,KZ,200688,1,20150506,allocated
ripencc,KZ,200721,1,20150429,allocated
ripencc,KZ,200962,1,20150303,allocated
ripencc,KZ,201179,1,20221124,allocated
ripencc,KZ,201242,1,20221118,allocated
ripencc,KZ,201817,1,20221028,allocated
ripencc,KZ,202293,1,20180608,allocated
ripencc,KZ,202299,1,20221013,allocated
ripencc,KZ,202527,1,20221003,allocated
ripencc,KZ,202927,1,20180621,allocated
ripencc,KZ,202958,1,20160426,allocated
ripencc,KZ,203087,1,20160401,allocated
ripencc,KZ,203167,1,20180424,allocated
ripencc,KZ,203481,1,20160105,allocated
ripencc,KZ,203886,1,20151012,allocated
ripencc,KZ,204514,1,20180226,allocated
ripencc,KZ,204706,1,20180124,allocated
ripencc,KZ,204804,1,20180104,allocated
ripencc,KZ,205231,1,20220504,allocated
ripencc,KZ,205516,1,20170801,allocated
ripencc,KZ,205559,1,20170721,allocated
ripencc,KZ,205667,1,20170628,allocated
ripencc,KZ,206026,1,20170407,allocated
ripencc,KZ,206528,1,20161229,allocated
ripencc,KZ,206768,1,20161109,allocated
ripencc,KZ,207304,1,20250711,allocated
ripencc,KZ,207333,1,20200224,allocated
ripencc,KZ,207383,1,20250604,allocated
ripencc,KZ,207446,1,20200130,allocated
ripencc,KZ,207507,1,20200121,allocated
ripencc,KZ,207966,1,20191024,allocated
ripencc,KZ,208077,1,20220228,allocated
ripencc,KZ,208167,1,20250520,allocated
ripencc,KZ,208295,1,20220222,allocated
ripencc,KZ,208356,1,20190820,allocated
ripencc,KZ,208448,1,20190801,allocated
ripencc,KZ,208450,1,20190801,allocated
ripencc,KZ,208602,1,20250513,allocated
ripencc,KZ,208664,1,20190626,allocated
ripencc,KZ,208795,1,20230425,allocated
ripencc,KZ,208946,1,20190508,allocated
ripencc,KZ,209120,1,20190403,allocated
ripencc,KZ,209416,1,20190213,allocated
ripencc,KZ,209614,1,20190108,allocated
ripencc,KZ,209665,1,20181227,allocated
ripencc,KZ,209702,1,20250425,allocated
ripencc,KZ,209939,1,20181107,allocated
ripencc,KZ,210006,1,20250514,allocated
ripencc,KZ,210195,1,20180920,allocated
ripencc,KZ,210273,1,20211227,allocated
ripencc,KZ,210399,1,20211203,allocated
ripencc,KZ,210435,1,20250415,allocated
ripencc,KZ,210459,1,20211118,allocated
ripencc,KZ,210512,1,20250414,allocated
ripencc,KZ,210531,1,20250411,allocated
ripencc,KZ,210581,1,20211026,allocated
ripencc,KZ,210663,1,20250410,allocated
ripencc,KZ,210686,1,20250409,allocated
ripencc,KZ,210976,1,20250402,allocated
ripencc,KZ,211004,1,20250328,allocated
ripencc,KZ,211028,1,20210716,allocated
ripencc,KZ,211160,1,20210615,allocated
ripencc,KZ,211553,1,20230109,allocated
ripencc,KZ,211644,1,20210311,allocated
ripencc,KZ,211792,1,20210216,allocated
ripencc,KZ,211806,1,20210215,allocated
ripencc,KZ,211849,1,20210208,allocated
ripencc,KZ,211971,1,20210120,allocated
ripencc,KZ,212013,1,20250304,allocated
ripencc,KZ,212086,1,20201229,allocated
ripencc,KZ,212189,1,20211229,allocated
ripencc,KZ,212314,1,20250623,allocated
ripencc,KZ,212735,1,20250224,allocated
ripencc,KZ,212835,1,20250709,allocated
ripencc,KZ,212940,1,20211221,allocated
ripencc,KZ,212999,1,20200702,allocated
ripencc,KZ,213048,1,20200623,allocated
ripencc,KZ,213146,1,20200602,allocated
ripencc,KZ,213217,1,20200519,allocated
ripencc,KZ,213662,1,20241227,allocated
ripencc,KZ,213841,1,20241118,allocated
ripencc,KZ,214193,1,20240913,allocated
ripencc,KZ,214200,1,20240913,allocated
ripencc,KZ,214461,1,20240726,allocated
ripencc,KZ,214500,1,20240719,allocated
ripencc,KZ,214706,1,20240613,allocated
ripencc,KZ,214748,1,20240606,allocated
ripencc,KZ,214750,1,20240606,allocated
ripencc,KZ,214789,1,20240531,allocated
ripencc,KZ,214830,1,20240524,allocated
ripencc,KZ,215040,1,20250623,allocated
ripencc,KZ,215094,1,20240416,allocated
ripencc,KZ,215183,1,20250626,allocated
ripencc,KZ,215360,1,20240306,allocated
ripencc,KZ,215670,1,20240123,allocated
ripencc,KZ,215735,1,20240111,allocated
ripencc,KZ,215802,1,20231228,allocated
