Registry,Country,ASN,Value,Date,Status
apnic,LA,9873,1,20000207,allocated
apnic,LA,10104,1,20240209,allocated
apnic,LA,10226,1,20030708,allocated
apnic,LA,17804,1,20161230,allocated
apnic,LA,18385,1,20021021,allocated
apnic,LA,23900,1,20050418,allocated
apnic,LA,24337,1,20050218,allocated
apnic,LA,24566,1,20060221,allocated
apnic,LA,38528,1,20070328,allocated
apnic,LA,45906,1,20090901,allocated
apnic,LA,55508,1,20100506,allocated
apnic,LA,58808,1,20130130,allocated
apnic,LA,131267,1,20091208,allocated
apnic,LA,131297,1,20210317,allocated
apnic,LA,132513,1,20160826,allocated
apnic,LA,132861,1,20130611,allocated
apnic,LA,133500,1,20140526,allocated
apnic,LA,133630,1,20140812,allocated
apnic,LA,134989,1,20151221,allocated
apnic,LA,135059,1,20180404,allocated
apnic,LA,135068,1,20230125,allocated
apnic,LA,135274,1,20160322,allocated
apnic,LA,136486,1,20180430,allocated
apnic,LA,136748,1,20170614,allocated
apnic,LA,137838,1,20241212,allocated
apnic,LA,137905,1,20180611,allocated
apnic,LA,138327,1,20240530,allocated
apnic,LA,138668,1,20241105,allocated
apnic,LA,138934,1,20190325,allocated
apnic,LA,139011,1,20190424,allocated
apnic,LA,139297,1,20190709,allocated
apnic,LA,139348,1,20190725,allocated
apnic,LA,140631,1,20200508,allocated
apnic,LA,140635,1,20200511,allocated
apnic,LA,147065,1,20211001,allocated
apnic,LA,150716,1,20230111,allocated
apnic,LA,151953,1,20231010,allocated
apnic,LA,152145,1,20231206,allocated
apnic,LA,153347,1,20240926,allocated
apnic,LA,153526,1,20250115,allocated
apnic,LA,153966,1,20250611,allocated
apnic,LA,153977,1,20250617,allocated
