Registry,Country,ASN,Value,Date,Status
ripencc,LB,3176,1,20120426,allocated
ripencc,LB,3290,1,20151110,allocated
ripencc,LB,8699,1,20151012,allocated
ripencc,LB,9051,1,19981106,allocated
ripencc,LB,12376,1,19990420,allocated
ripencc,LB,12590,1,20150924,allocated
ripencc,LB,12812,1,19991119,allocated
ripencc,LB,13044,1,20150921,allocated
ripencc,LB,15511,1,20150914,allocated
ripencc,LB,15739,1,20150902,allocated
ripencc,LB,16130,1,20010102,allocated
ripencc,LB,16169,1,20150824,allocated
ripencc,LB,20874,1,20150730,allocated
ripencc,LB,24634,1,20020125,allocated
ripencc,LB,24892,1,20150703,allocated
ripencc,LB,24982,1,20050531,allocated
ripencc,LB,25281,1,20150622,allocated
ripencc,LB,25471,1,20150616,allocated
ripencc,LB,25491,1,20150616,allocated
ripencc,LB,28958,1,20030422,allocated
ripencc,LB,29027,1,20150608,allocated
ripencc,LB,29070,1,20150605,allocated
ripencc,LB,29099,1,20150605,allocated
ripencc,LB,29623,1,20150526,allocated
ripencc,LB,31037,1,20150520,allocated
ripencc,LB,31126,1,20040304,allocated
ripencc,LB,31390,1,20150518,allocated
ripencc,LB,31587,1,20150707,allocated
ripencc,LB,34032,1,20150506,allocated
ripencc,LB,34062,1,20150506,allocated
ripencc,LB,34113,1,20150501,allocated
ripencc,LB,34370,1,20041228,allocated
ripencc,LB,34447,1,20150424,allocated
ripencc,LB,34458,1,20150518,allocated
ripencc,LB,34741,1,20050329,allocated
ripencc,LB,34763,1,20191010,allocated
ripencc,LB,34884,1,20150414,allocated
ripencc,LB,35197,1,20050622,allocated
ripencc,LB,35732,1,20181128,allocated
ripencc,LB,38999,1,20051125,allocated
ripencc,LB,39010,1,20051125,allocated
ripencc,LB,39190,1,20180803,allocated
ripencc,LB,39275,1,20060123,allocated
ripencc,LB,39402,1,20120615,allocated
ripencc,LB,39868,1,20060508,allocated
ripencc,LB,39918,1,20060517,allocated
ripencc,LB,41068,1,20170922,allocated
ripencc,LB,41211,1,20060703,allocated
ripencc,LB,41833,1,20061031,allocated
ripencc,LB,41956,1,20150224,allocated
ripencc,LB,42003,1,20061201,allocated
ripencc,LB,42020,1,20061205,allocated
ripencc,LB,42183,1,20141224,allocated
ripencc,LB,42334,1,20070205,allocated
ripencc,LB,42828,1,20150205,allocated
ripencc,LB,42835,1,20150216,allocated
ripencc,LB,42852,1,20070426,allocated
ripencc,LB,43004,1,20190816,allocated
ripencc,LB,43019,1,20070524,allocated
ripencc,LB,43056,1,20141218,allocated
ripencc,LB,43791,1,20170713,allocated
ripencc,LB,43824,1,20071004,allocated
ripencc,LB,44189,1,20071203,allocated
ripencc,LB,44870,1,20171204,allocated
ripencc,LB,44979,1,20150908,allocated
ripencc,LB,47701,1,20160318,allocated
ripencc,LB,47719,1,20150204,allocated
ripencc,LB,47760,1,20080814,allocated
ripencc,LB,48206,1,20160307,allocated
ripencc,LB,48253,1,20160307,allocated
ripencc,LB,48418,1,20180406,allocated
ripencc,LB,48629,1,20150224,allocated
ripencc,LB,48740,1,20090128,allocated
ripencc,LB,48847,1,20141209,allocated
ripencc,LB,49020,1,20160216,allocated
ripencc,LB,50500,1,20160119,allocated
ripencc,LB,50770,1,20200131,allocated
ripencc,LB,51104,1,20221125,allocated
ripencc,LB,51938,1,20101202,allocated
ripencc,LB,52100,1,20101228,allocated
ripencc,LB,56337,1,20170303,allocated
ripencc,LB,56530,1,20110311,allocated
ripencc,LB,56902,1,20180612,allocated
ripencc,LB,57133,1,20151208,allocated
ripencc,LB,57256,1,20110907,allocated
ripencc,LB,57513,1,20111118,allocated
ripencc,LB,57778,1,20151201,allocated
ripencc,LB,57852,1,20170816,allocated
ripencc,LB,57914,1,20120313,allocated
ripencc,LB,57937,1,20120315,allocated
ripencc,LB,59931,1,20140804,allocated
ripencc,LB,59989,1,20140716,allocated
ripencc,LB,60372,1,20130731,allocated
ripencc,LB,60398,1,20130725,allocated
ripencc,LB,60406,1,20130724,allocated
ripencc,LB,60524,1,20160523,allocated
ripencc,LB,60972,1,20160518,allocated
ripencc,LB,60999,1,20130319,allocated
ripencc,LB,61113,1,20130212,allocated
ripencc,LB,61172,1,20200227,allocated
ripencc,LB,61252,1,20121219,allocated
ripencc,LB,62100,1,20151123,allocated
ripencc,LB,62144,1,20140128,allocated
ripencc,LB,64443,1,20160824,allocated
ripencc,LB,197674,1,20110322,allocated
