Registry,Country,ASN,Value,Date,Status
ripencc,LI,13190,1,20150918,allocated
ripencc,LI,15955,1,20070529,allocated
ripencc,LI,20634,1,20010524,allocated
ripencc,LI,20914,1,20010705,allocated
ripencc,LI,21113,1,20010830,allocated
ripencc,LI,25581,1,20150615,allocated
ripencc,LI,35223,1,20050627,allocated
ripencc,LI,35535,1,20050830,allocated
ripencc,LI,39145,1,20051220,allocated
ripencc,LI,39430,1,20171213,allocated
ripencc,LI,42162,1,20070102,allocated
ripencc,LI,43119,1,20070611,allocated
ripencc,LI,48491,1,20141117,allocated
ripencc,LI,48576,1,20141117,allocated
ripencc,LI,49652,1,20090721,allocated
ripencc,LI,56653,1,20110420,allocated
ripencc,LI,57210,1,20110823,allocated
ripencc,LI,58171,1,20120521,allocated
ripencc,LI,59748,1,20141017,allocated
ripencc,LI,61150,1,20200525,allocated
ripencc,LI,61363,1,20200106,allocated
ripencc,LI,198288,1,20111205,allocated
ripencc,LI,202405,1,20180518,allocated
ripencc,LI,202908,1,20220907,allocated
ripencc,LI,204342,1,20180329,allocated
ripencc,LI,206478,1,20170113,allocated
ripencc,LI,211493,1,20210412,allocated
ripencc,LI,213571,1,20250116,allocated
