Registry,Country,ASN,Value,Date,Status
apnic,LK,5087,1,20020801,allocated
apnic,LK,9329,1,20030502,allocated
apnic,LK,17470,1,20060515,allocated
apnic,LK,17627,1,20010122,allocated
apnic,LK,17770,1,20010601,allocated
apnic,LK,17904,1,20010810,allocated
apnic,LK,18001,1,20020215,allocated
apnic,LK,18066,1,20240819,allocated
apnic,LK,38229,1,20060926,allocated
apnic,LK,45224,1,20080604,allocated
apnic,LK,45338,1,20080806,allocated
apnic,LK,45356,1,20080818,allocated
apnic,LK,45489,1,20081023,allocated
apnic,LK,45517,1,20081112,allocated
apnic,LK,131173,1,20090225,allocated
apnic,LK,131218,1,20140826,allocated
apnic,LK,132045,1,20111011,allocated
apnic,LK,132124,1,20120123,allocated
apnic,LK,132447,1,20121015,allocated
apnic,LK,133051,1,20130819,allocated
apnic,LK,134824,1,20250124,allocated
apnic,LK,136420,1,20170302,allocated
apnic,LK,136934,1,20170822,allocated
apnic,LK,138984,1,20190410,allocated
apnic,LK,139032,1,20190430,allocated
apnic,LK,139731,1,20191016,allocated
apnic,LK,151197,1,20230420,allocated
apnic,LK,151362,1,20230529,allocated
apnic,LK,151485,1,20230630,allocated
apnic,LK,152325,1,20240110,allocated
apnic,LK,153563,1,20250129,allocated
ripencc,LK,204307,1,20180405,allocated
