Registry,Country,ASN,Value,Date,Status
afrinic,LR,37094,1,20180821,allocated
afrinic,LR,37203,1,20100416,allocated
afrinic,LR,37410,1,20120118,allocated
afrinic,LR,37557,1,20130213,allocated
afrinic,LR,37560,1,20130218,allocated
afrinic,LR,37580,1,20130325,allocated
afrinic,LR,37715,1,20150820,allocated
ripencc,LR,207269,1,20200310,allocated
ripencc,LR,215964,1,20231121,allocated
afrinic,LR,327887,1,20150525,allocated
afrinic,LR,328136,1,20170308,allocated
afrinic,LR,328196,1,20170724,allocated
afrinic,LR,328279,1,20210218,allocated
afrinic,LR,328549,1,20191007,allocated
afrinic,LR,328595,1,20200106,allocated
afrinic,LR,329082,1,20220610,allocated
afrinic,LR,329496,1,20240925,allocated
afrinic,LR,329525,1,20250626,allocated
