Registry,Country,ASN,Value,Date,Status
ripencc,LT,2847,1,19931201,allocated
ripencc,LT,3266,1,20151113,allocated
ripencc,LT,5479,1,19951127,allocated
ripencc,LT,5522,1,19960124,allocated
ripencc,LT,6769,1,19960919,allocated
ripencc,LT,8314,1,19970521,allocated
ripencc,LT,8486,1,19970924,allocated
ripencc,LT,8764,1,19980424,allocated
ripencc,LT,8849,1,20090729,allocated
ripencc,LT,8892,1,20110330,allocated
ripencc,LT,12539,1,19990707,allocated
ripencc,LT,13194,1,20000428,allocated
ripencc,LT,13260,1,20150924,allocated
ripencc,LT,15419,1,20021119,allocated
ripencc,LT,15440,1,20000629,allocated
ripencc,LT,15908,1,20001031,allocated
ripencc,LT,15911,1,20001031,allocated
ripencc,LT,15995,1,20001121,allocated
ripencc,LT,16125,1,20110329,allocated
ripencc,LT,20846,1,20081117,allocated
ripencc,LT,21031,1,20010801,allocated
ripencc,LT,21211,1,20011001,allocated
ripencc,LT,21412,1,20011201,allocated
ripencc,LT,21420,1,20011205,allocated
ripencc,LT,24607,1,20020117,allocated
ripencc,LT,24645,1,20020205,allocated
ripencc,LT,24825,1,20020412,allocated
ripencc,LT,24852,1,20020422,allocated
ripencc,LT,24877,1,20020502,allocated
ripencc,LT,25190,1,20020828,allocated
ripencc,LT,25406,1,20021113,allocated
ripencc,LT,28917,1,20030403,allocated
ripencc,LT,30775,1,20031201,allocated
ripencc,LT,31114,1,20040302,allocated
ripencc,LT,33922,1,20040907,allocated
ripencc,LT,34037,1,20041006,allocated
ripencc,LT,34120,1,20041028,allocated
ripencc,LT,34842,1,20050415,allocated
ripencc,LT,34857,1,20050419,allocated
ripencc,LT,34961,1,20050509,allocated
ripencc,LT,35135,1,20050609,allocated
ripencc,LT,35384,1,20150331,allocated
ripencc,LT,35441,1,20190215,allocated
ripencc,LT,35500,1,20050822,allocated
ripencc,LT,39007,1,20051125,allocated
ripencc,LT,39067,1,20090115,allocated
ripencc,LT,41228,1,20060705,allocated
ripencc,LT,41506,1,20060904,allocated
ripencc,LT,42181,1,20070109,allocated
ripencc,LT,42549,1,20090128,allocated
ripencc,LT,42657,1,20070328,allocated
ripencc,LT,42774,1,20070413,allocated
ripencc,LT,42887,1,20070504,allocated
ripencc,LT,42979,1,20070518,allocated
ripencc,LT,43151,1,20141205,allocated
ripencc,LT,43482,1,20070808,allocated
ripencc,LT,43586,1,20070829,allocated
ripencc,LT,43627,1,20070903,allocated
ripencc,LT,43700,1,20070914,allocated
ripencc,LT,43811,1,20071002,allocated
ripencc,LT,44246,1,20071211,allocated
ripencc,LT,44358,1,20080104,allocated
ripencc,LT,44571,1,20080207,allocated
ripencc,LT,44613,1,20080213,allocated
ripencc,LT,44771,1,20160428,allocated
ripencc,LT,47205,1,20080515,allocated
ripencc,LT,47341,1,20160408,allocated
ripencc,LT,47512,1,20080630,allocated
ripencc,LT,47609,1,20080722,allocated
ripencc,LT,47929,1,20170810,allocated
ripencc,LT,49287,1,20170315,allocated
ripencc,LT,49550,1,20090630,allocated
ripencc,LT,49602,1,20090710,allocated
ripencc,LT,49912,1,20231024,allocated
ripencc,LT,50065,1,20091106,allocated
ripencc,LT,50098,1,20091117,allocated
ripencc,LT,50256,1,20091210,allocated
ripencc,LT,50297,1,20091215,allocated
ripencc,LT,50320,1,20091218,allocated
ripencc,LT,50610,1,20100218,allocated
ripencc,LT,50962,1,20100503,allocated
ripencc,LT,51107,1,20200714,allocated
ripencc,LT,51172,1,20100614,allocated
ripencc,LT,51247,1,20181019,allocated
ripencc,LT,51259,1,20220610,allocated
ripencc,LT,51388,1,20100811,allocated
ripencc,LT,51719,1,20101025,allocated
ripencc,LT,51802,1,20101108,allocated
ripencc,LT,56413,1,20110217,allocated
ripencc,LT,56630,1,20151215,allocated
ripencc,LT,56847,1,20110526,allocated
ripencc,LT,57289,1,20110915,allocated
ripencc,LT,58146,1,20180309,allocated
ripencc,LT,59642,1,20120903,allocated
ripencc,LT,59821,1,20140916,allocated
ripencc,LT,59874,1,20140826,allocated
ripencc,LT,59939,1,20140801,allocated
ripencc,LT,60099,1,20200428,allocated
ripencc,LT,61053,1,20130305,allocated
ripencc,LT,61091,1,20130220,allocated
ripencc,LT,61272,1,20121212,allocated
ripencc,LT,62179,1,20140110,allocated
ripencc,LT,62260,1,20161219,allocated
ripencc,LT,62282,1,20131127,allocated
ripencc,LT,62304,1,20220726,allocated
ripencc,LT,133944,1,20150202,allocated
apnic,LT,150445,1,20221124,allocated
ripencc,LT,196852,1,20091125,allocated
ripencc,LT,197225,1,20100816,allocated
ripencc,LT,198009,1,20110822,allocated
ripencc,LT,198345,1,20111219,allocated
ripencc,LT,198651,1,20120403,allocated
ripencc,LT,199527,1,20121206,allocated
ripencc,LT,199737,1,20230223,allocated
ripencc,LT,200009,1,20230627,allocated
ripencc,LT,200017,1,20230203,allocated
ripencc,LT,200216,1,20230113,allocated
ripencc,LT,201096,1,20150202,allocated
ripencc,LT,201201,1,20141223,allocated
ripencc,LT,201207,1,20221123,allocated
ripencc,LT,201260,1,20141209,allocated
