Registry,Country,ASN,Value,Date,Status
ripencc,LU,2602,1,19930914,allocated
ripencc,LU,3347,1,20000511,allocated
ripencc,LU,5577,1,20090515,allocated
ripencc,LU,6661,1,19960530,allocated
ripencc,LU,6891,1,19970116,allocated
ripencc,LU,8632,1,19980123,allocated
ripencc,LU,9008,1,19981008,allocated
ripencc,LU,12684,1,19990927,allocated
ripencc,LU,13088,1,20000315,allocated
ripencc,LU,15780,1,20150901,allocated
ripencc,LU,15814,1,20001018,allocated
ripencc,LU,15965,1,20001114,allocated
ripencc,LU,20501,1,20010315,allocated
ripencc,LU,21179,1,20010917,allocated
ripencc,LU,21484,1,20011228,allocated
ripencc,LU,24611,1,20020118,allocated
ripencc,LU,25094,1,20150630,allocated
ripencc,LU,25273,1,20020920,allocated
ripencc,LU,25367,1,20021024,allocated
ripencc,LU,29467,1,20120927,allocated
ripencc,LU,34655,1,20050309,allocated
ripencc,LU,34683,1,20050316,allocated
ripencc,LU,34769,1,20050331,allocated
ripencc,LU,35446,1,20050809,allocated
ripencc,LU,41273,1,20181115,allocated
ripencc,LU,41589,1,20060919,allocated
ripencc,LU,42848,1,20070425,allocated
ripencc,LU,43375,1,20070720,allocated
ripencc,LU,43719,1,20070918,allocated
ripencc,LU,44295,1,20071219,allocated
ripencc,LU,44708,1,20080227,allocated
ripencc,LU,44818,1,20180528,allocated
ripencc,LU,47137,1,20080502,allocated
ripencc,LU,47944,1,20080919,allocated
ripencc,LU,48526,1,20081205,allocated
ripencc,LU,48968,1,20090313,allocated
ripencc,LU,49624,1,20090515,allocated
ripencc,LU,49813,1,20090916,allocated
ripencc,LU,50184,1,20221230,allocated
ripencc,LU,50754,1,20160113,allocated
ripencc,LU,51405,1,20100816,allocated
ripencc,LU,51497,1,20110824,allocated
ripencc,LU,51966,1,20101207,allocated
ripencc,LU,56665,1,20110421,allocated
ripencc,LU,57205,1,20110822,allocated
ripencc,LU,57231,1,20110829,allocated
ripencc,LU,57644,1,20221212,allocated
ripencc,LU,58049,1,20200323,allocated
ripencc,LU,60288,1,20130819,allocated
ripencc,LU,60319,1,20130814,allocated
ripencc,LU,60391,1,20130726,allocated
ripencc,LU,60497,1,20130709,allocated
ripencc,LU,60525,1,20130703,allocated
ripencc,LU,60725,1,20130522,allocated
ripencc,LU,60752,1,20130517,allocated
ripencc,LU,61327,1,20121122,allocated
ripencc,LU,62192,1,20140107,allocated
ripencc,LU,62219,1,20131218,allocated
ripencc,LU,62285,1,20131122,allocated
ripencc,LU,197264,1,20100914,allocated
ripencc,LU,197415,1,20101119,allocated
ripencc,LU,197692,1,20110328,allocated
ripencc,LU,197869,1,20110603,allocated
ripencc,LU,197925,1,20110629,allocated
ripencc,LU,198095,1,20110928,allocated
ripencc,LU,198097,1,20110929,allocated
ripencc,LU,198191,1,20111103,allocated
ripencc,LU,198290,1,20111205,allocated
ripencc,LU,199245,1,20230321,allocated
ripencc,LU,199511,1,20121227,allocated
ripencc,LU,199524,1,20121210,allocated
ripencc,LU,200126,1,20230126,allocated
ripencc,LU,200129,1,20131001,allocated
ripencc,LU,200331,1,20180807,allocated
ripencc,LU,200617,1,20221212,allocated
ripencc,LU,201187,1,20221123,allocated
ripencc,LU,201441,1,20141027,allocated
ripencc,LU,201507,1,20221108,allocated
ripencc,LU,201554,1,20140926,allocated
ripencc,LU,201710,1,20140806,allocated
ripencc,LU,201740,1,20140729,allocated
ripencc,LU,201973,1,20140515,allocated
ripencc,LU,202422,1,20180517,allocated
ripencc,LU,202438,1,20180516,allocated
ripencc,LU,203055,1,20160408,allocated
ripencc,LU,203143,1,20160322,allocated
ripencc,LU,203398,1,20160126,allocated
ripencc,LU,203789,1,20151028,allocated
ripencc,LU,203793,1,20151028,allocated
ripencc,LU,203944,1,20150928,allocated
ripencc,LU,204025,1,20150911,allocated
ripencc,LU,204279,1,20150710,allocated
ripencc,LU,204299,1,20180406,allocated
ripencc,LU,204313,1,20180404,allocated
ripencc,LU,204403,1,20180316,allocated
ripencc,LU,204803,1,20180104,allocated
ripencc,LU,205267,1,20230620,allocated
ripencc,LU,206504,1,20170109,allocated
ripencc,LU,206609,1,20161212,allocated
ripencc,LU,206610,1,20161212,allocated
ripencc,LU,207188,1,20160815,allocated
ripencc,LU,207574,1,20221018,allocated
ripencc,LU,207845,1,20191118,allocated
ripencc,LU,207870,1,20191112,allocated
ripencc,LU,207917,1,20191105,allocated
ripencc,LU,208374,1,20190816,allocated
ripencc,LU,209305,1,20190301,allocated
ripencc,LU,209333,1,20190904,allocated
ripencc,LU,210103,1,20181009,allocated
ripencc,LU,210145,1,20181001,allocated
ripencc,LU,210559,1,20211028,allocated
ripencc,LU,210834,1,20210827,allocated
ripencc,LU,210872,1,20250403,allocated
ripencc,LU,211018,1,20210720,allocated
ripencc,LU,211093,1,20210630,allocated
ripencc,LU,211435,1,20210422,allocated
ripencc,LU,211719,1,20210301,allocated
ripencc,LU,211999,1,20210115,allocated
ripencc,LU,212218,1,20201207,allocated
ripencc,LU,212389,1,20230130,allocated
ripencc,LU,212541,1,20230621,allocated
ripencc,LU,212568,1,20201002,allocated
