Registry,Country,ASN,Value,Date,Status
ripencc,LV,2588,1,19930618,allocated
ripencc,LV,2877,1,20060403,allocated
ripencc,LV,3241,1,20151116,allocated
ripencc,LV,3281,1,20151111,allocated
ripencc,LV,5518,1,19960116,allocated
ripencc,LV,5528,1,20090121,allocated
ripencc,LV,5538,1,19960205,allocated
ripencc,LV,6747,1,19960822,allocated
ripencc,LV,6832,1,20151022,allocated
ripencc,LV,6851,1,19961203,allocated
ripencc,LV,6906,1,19970203,allocated
ripencc,LV,8194,1,19970204,allocated
ripencc,LV,8285,1,19970423,allocated
ripencc,LV,8538,1,20031223,allocated
ripencc,LV,8605,1,19971230,allocated
ripencc,LV,9029,1,20151007,allocated
ripencc,LV,9091,1,19981209,allocated
ripencc,LV,12443,1,19990526,allocated
ripencc,LV,12509,1,19990623,allocated
ripencc,LV,12525,1,19990701,allocated
ripencc,LV,12578,1,19990803,allocated
ripencc,LV,12587,1,19990806,allocated
ripencc,LV,12847,1,19991208,allocated
ripencc,LV,12965,1,20000128,allocated
ripencc,LV,12993,1,20000214,allocated
ripencc,LV,13070,1,20040414,allocated
ripencc,LV,13242,1,20150915,allocated
ripencc,LV,13244,1,20000515,allocated
ripencc,LV,15392,1,20090918,allocated
ripencc,LV,15483,1,20150914,allocated
ripencc,LV,15615,1,20151118,allocated
ripencc,LV,15684,1,20000911,allocated
ripencc,LV,15721,1,20000927,allocated
ripencc,LV,15818,1,20060816,allocated
ripencc,LV,15827,1,20001019,allocated
ripencc,LV,15899,1,20150827,allocated
ripencc,LV,16062,1,20001211,allocated
ripencc,LV,16279,1,20010216,allocated
ripencc,LV,20509,1,20010316,allocated
ripencc,LV,20548,1,20010330,allocated
ripencc,LV,20662,1,20010502,allocated
ripencc,LV,20777,1,20010528,allocated
ripencc,LV,20910,1,20010704,allocated
ripencc,LV,21016,1,20010727,allocated
ripencc,LV,21061,1,20010813,allocated
ripencc,LV,21178,1,20010917,allocated
ripencc,LV,21325,1,20100810,allocated
ripencc,LV,24589,1,20020110,allocated
ripencc,LV,24620,1,20020123,allocated
ripencc,LV,24651,1,20020207,allocated
ripencc,LV,24921,1,20020523,allocated
ripencc,LV,24972,1,20020612,allocated
ripencc,LV,25107,1,20020726,allocated
ripencc,LV,25241,1,20020910,allocated
ripencc,LV,25444,1,20021125,allocated
ripencc,LV,28699,1,20050721,allocated
ripencc,LV,28711,1,20110204,allocated
ripencc,LV,28803,1,20030228,allocated
ripencc,LV,28843,1,20030313,allocated
ripencc,LV,29345,1,20150528,allocated
ripencc,LV,29466,1,20050721,allocated
ripencc,LV,29569,1,20031014,allocated
ripencc,LV,29600,1,20031021,allocated
ripencc,LV,31519,1,20040604,allocated
ripencc,LV,33867,1,20040824,allocated
ripencc,LV,34001,1,20040928,allocated
ripencc,LV,34018,1,20040930,allocated
ripencc,LV,34073,1,20150506,allocated
ripencc,LV,34326,1,20041216,allocated
ripencc,LV,34354,1,20041222,allocated
ripencc,LV,34417,1,20050113,allocated
ripencc,LV,34535,1,20191126,allocated
ripencc,LV,34620,1,20050301,allocated
ripencc,LV,35036,1,20050519,allocated
ripencc,LV,35108,1,20050606,allocated
