Registry,Country,ASN,Value,Date,Status
afrinic,LY,21003,1,20090125,allocated
afrinic,LY,37284,1,20101206,allocated
afrinic,LY,37558,1,20130214,allocated
afrinic,LY,37566,1,20130226,allocated
afrinic,LY,37791,1,20220215,allocated
afrinic,LY,37795,1,20221116,allocated
afrinic,LY,327736,1,20140311,allocated
afrinic,LY,327752,1,20140429,allocated
afrinic,LY,327921,1,20150819,allocated
afrinic,LY,328073,1,20160927,allocated
afrinic,LY,328200,1,20170731,allocated
afrinic,LY,328286,1,20180314,allocated
afrinic,LY,328539,1,20190913,allocated
afrinic,LY,328611,1,20200205,allocated
afrinic,LY,328615,1,20200212,allocated
afrinic,LY,328619,1,20200217,allocated
afrinic,LY,328733,1,20200914,allocated
afrinic,LY,328743,1,20201009,allocated
afrinic,LY,328926,1,20210831,allocated
afrinic,LY,329027,1,20220317,allocated
afrinic,LY,329079,1,20220610,allocated
afrinic,LY,329090,1,20220628,allocated
afrinic,LY,329129,1,20220909,allocated
afrinic,LY,329130,1,20220909,allocated
afrinic,LY,329160,1,20221014,allocated
afrinic,LY,329252,1,20230421,allocated
afrinic,LY,329263,1,20230525,allocated
afrinic,LY,329297,1,20230728,allocated
afrinic,LY,329405,1,20240222,allocated
afrinic,LY,329435,1,20240522,allocated
afrinic,LY,329472,1,20240807,allocated
