Registry,Country,ASN,Value,Date,Status
afrinic,MA,6713,1,20070920,allocated
afrinic,MA,30983,1,20040521,allocated
afrinic,MA,36884,1,20071228,allocated
afrinic,MA,36903,1,20060523,allocated
afrinic,MA,36925,1,20061128,allocated
afrinic,MA,36941,1,20070327,allocated
afrinic,MA,36956,1,20070606,allocated
afrinic,MA,37450,1,20120522,allocated
afrinic,MA,37738,1,20231022,allocated
afrinic,MA,37787,1,20200115,allocated
afrinic,MA,37801,1,20240614,allocated
ripencc,MA,214258,1,20240904,allocated
afrinic,MA,327917,1,20150730,allocated
afrinic,MA,327989,1,20160318,allocated
afrinic,MA,328055,1,20160809,allocated
afrinic,MA,328066,1,20160830,allocated
afrinic,MA,328268,1,20180124,allocated
afrinic,MA,328272,1,20180126,allocated
afrinic,MA,328280,1,20180219,allocated
afrinic,MA,328493,1,20190529,allocated
afrinic,MA,328541,1,20190918,allocated
afrinic,MA,328577,1,20191120,allocated
afrinic,MA,328671,1,20200611,allocated
afrinic,MA,328709,1,20200724,allocated
afrinic,MA,328799,1,20210216,allocated
afrinic,MA,328867,1,20210608,allocated
afrinic,MA,328960,1,20211015,allocated
afrinic,MA,329213,1,20230208,allocated
afrinic,MA,329280,1,20230628,allocated
afrinic,MA,329337,1,20231004,allocated
afrinic,MA,329442,1,20240614,allocated
afrinic,MA,329461,1,20240724,allocated
afrinic,MA,329463,1,20240724,allocated
