Registry,Country,ASN,Value,Date,Status
ripencc,MD,1547,1,20001108,allocated
ripencc,MD,8474,1,19970916,allocated
ripencc,MD,8917,1,20110727,allocated
ripencc,MD,8923,1,19980811,allocated
ripencc,MD,8926,1,19980813,allocated
ripencc,MD,9152,1,19990114,allocated
ripencc,MD,9199,1,19990215,allocated
ripencc,MD,12450,1,20080813,allocated
ripencc,MD,15836,1,20001023,allocated
ripencc,MD,25129,1,20020801,allocated
ripencc,MD,25319,1,20021001,allocated
ripencc,MD,25454,1,20021127,allocated
ripencc,MD,25455,1,20150617,allocated
ripencc,MD,25527,1,20021224,allocated
ripencc,MD,28990,1,20030501,allocated
ripencc,MD,29616,1,20150526,allocated
ripencc,MD,29654,1,20031103,allocated
ripencc,MD,31204,1,20040322,allocated
ripencc,MD,31252,1,20040331,allocated
ripencc,MD,31557,1,20040611,allocated
ripencc,MD,31580,1,20040615,allocated
ripencc,MD,34529,1,20150420,allocated
ripencc,MD,34645,1,20050307,allocated
ripencc,MD,35210,1,20050624,allocated
ripencc,MD,35346,1,20050720,allocated
ripencc,MD,35525,1,20150326,allocated
ripencc,MD,35534,1,20150326,allocated
ripencc,MD,39279,1,20060123,allocated
ripencc,MD,39690,1,20171031,allocated
ripencc,MD,39798,1,20150324,allocated
ripencc,MD,41171,1,20181022,allocated
ripencc,MD,41221,1,20060704,allocated
ripencc,MD,41712,1,20170711,allocated
ripencc,MD,41879,1,20100723,allocated
ripencc,MD,42424,1,20070220,allocated
ripencc,MD,42694,1,20170321,allocated
ripencc,MD,42881,1,20180516,allocated
ripencc,MD,43094,1,20170221,allocated
ripencc,MD,43285,1,20141204,allocated
ripencc,MD,43289,1,20070709,allocated
ripencc,MD,43456,1,20170112,allocated
ripencc,MD,43588,1,20070829,allocated
ripencc,MD,43768,1,20161222,allocated
ripencc,MD,43783,1,20161222,allocated
ripencc,MD,43818,1,20161220,allocated
ripencc,MD,43870,1,20071011,allocated
ripencc,MD,43925,1,20071019,allocated
ripencc,MD,44388,1,20120309,allocated
ripencc,MD,44477,1,20200317,allocated
ripencc,MD,44589,1,20171229,allocated
ripencc,MD,44774,1,20080306,allocated
ripencc,MD,47500,1,20161027,allocated
ripencc,MD,48232,1,20081028,allocated
ripencc,MD,48296,1,20230810,allocated
ripencc,MD,48331,1,20081112,allocated
ripencc,MD,48480,1,20081201,allocated
ripencc,MD,48506,1,20081204,allocated
ripencc,MD,48644,1,20190604,allocated
ripencc,MD,48691,1,20090102,allocated
ripencc,MD,48753,1,20230712,allocated
ripencc,MD,48974,1,20161007,allocated
ripencc,MD,49006,1,20161006,allocated
ripencc,MD,49443,1,20160922,allocated
ripencc,MD,49527,1,20090624,allocated
ripencc,MD,49560,1,20090702,allocated
ripencc,MD,49691,1,20090824,allocated
ripencc,MD,49947,1,20091016,allocated
ripencc,MD,50084,1,20091111,allocated
ripencc,MD,50138,1,20160122,allocated
ripencc,MD,50704,1,20160405,allocated
ripencc,MD,50950,1,20100429,allocated
ripencc,MD,50968,1,20100504,allocated
ripencc,MD,50976,1,20100506,allocated
ripencc,MD,51056,1,20100525,allocated
ripencc,MD,51141,1,20100608,allocated
ripencc,MD,51150,1,20200130,allocated
ripencc,MD,51246,1,20180827,allocated
ripencc,MD,51267,1,20160104,allocated
ripencc,MD,51770,1,20101102,allocated
ripencc,MD,51846,1,20101115,allocated
ripencc,MD,51954,1,20101206,allocated
ripencc,MD,52097,1,20101227,allocated
ripencc,MD,56380,1,20210818,allocated
ripencc,MD,56491,1,20110303,allocated
ripencc,MD,56772,1,20110512,allocated
ripencc,MD,56792,1,20110517,allocated
ripencc,MD,57428,1,20170328,allocated
ripencc,MD,57713,1,20120123,allocated
ripencc,MD,57776,1,20120206,allocated
ripencc,MD,57916,1,20120313,allocated
ripencc,MD,58118,1,20120508,allocated
ripencc,MD,58311,1,20120620,allocated
ripencc,MD,59733,1,20171011,allocated
ripencc,MD,59841,1,20191206,allocated
ripencc,MD,60127,1,20140507,allocated
ripencc,MD,60405,1,20130724,allocated
ripencc,MD,60514,1,20230703,allocated
ripencc,MD,60581,1,20130621,allocated
ripencc,MD,60602,1,20130618,allocated
ripencc,MD,61077,1,20130225,allocated
ripencc,MD,61208,1,20130109,allocated
ripencc,MD,61334,1,20121119,allocated
ripencc,MD,62013,1,20140325,allocated
ripencc,MD,62071,1,20140225,allocated
ripencc,MD,62154,1,20140124,allocated
ripencc,MD,62232,1,20131216,allocated
ripencc,MD,62281,1,20131127,allocated
ripencc,MD,62337,1,20131031,allocated
ripencc,MD,64453,1,20160818,allocated
ripencc,MD,199308,1,20230320,allocated
ripencc,MD,200019,1,20131030,allocated
ripencc,MD,200189,1,20130912,allocated
ripencc,MD,200640,1,20150518,allocated
ripencc,MD,201148,1,20221125,allocated
ripencc,MD,201670,1,20221102,allocated
ripencc,MD,201813,1,20180716,allocated
ripencc,MD,202469,1,20180509,allocated
ripencc,MD,202470,1,20180509,allocated
ripencc,MD,202475,1,20180508,allocated
ripencc,MD,202511,1,20180503,allocated
ripencc,MD,202722,1,20160616,allocated
ripencc,MD,202723,1,20160616,allocated
ripencc,MD,202822,1,20160526,allocated
ripencc,MD,202931,1,20160502,allocated
ripencc,MD,202943,1,20160429,allocated
ripencc,MD,202960,1,20160425,allocated
ripencc,MD,202965,1,20160425,allocated
ripencc,MD,202966,1,20160425,allocated
ripencc,MD,203025,1,20180425,allocated
ripencc,MD,203624,1,20180503,allocated
ripencc,MD,203950,1,20180412,allocated
ripencc,MD,204421,1,20180314,allocated
ripencc,MD,204467,1,20180307,allocated
ripencc,MD,204794,1,20180105,allocated
ripencc,MD,204838,1,20171222,allocated
ripencc,MD,204868,1,20171218,allocated
ripencc,MD,204872,1,20171215,allocated
ripencc,MD,205124,1,20171106,allocated
ripencc,MD,205301,1,20170926,allocated
ripencc,MD,205606,1,20170712,allocated
ripencc,MD,205745,1,20220419,allocated
ripencc,MD,205770,1,20170607,allocated
ripencc,MD,205835,1,20170523,allocated
ripencc,MD,205884,1,20170512,allocated
ripencc,MD,205911,1,20170508,allocated
ripencc,MD,206005,1,20170413,allocated
ripencc,MD,206017,1,20170411,allocated
ripencc,MD,206068,1,20170331,allocated
ripencc,MD,206085,1,20170328,allocated
ripencc,MD,206127,1,20170322,allocated
ripencc,MD,206305,1,20170215,allocated
ripencc,MD,206340,1,20170208,allocated
ripencc,MD,206413,1,20170124,allocated
ripencc,MD,206535,1,20161227,allocated
ripencc,MD,206552,1,20161221,allocated
ripencc,MD,206560,1,20161220,allocated
ripencc,MD,206582,1,20161216,allocated
ripencc,MD,206590,1,20161214,allocated
ripencc,MD,206622,1,20161208,allocated
ripencc,MD,206623,1,20161208,allocated
ripencc,MD,206644,1,20161205,allocated
ripencc,MD,206654,1,20161201,allocated
ripencc,MD,206678,1,20161124,allocated
ripencc,MD,206698,1,20161122,allocated
ripencc,MD,206744,1,20161114,allocated
ripencc,MD,206750,1,20161111,allocated
ripencc,MD,206847,1,20170522,allocated
ripencc,MD,207159,1,20160819,allocated
ripencc,MD,207164,1,20160819,allocated
ripencc,MD,207238,1,20160804,allocated
ripencc,MD,207246,1,20160804,allocated
ripencc,MD,207636,1,20191227,allocated
ripencc,MD,208062,1,20191008,allocated
ripencc,MD,208299,1,20190902,allocated
ripencc,MD,208317,1,20250516,allocated
ripencc,MD,208343,1,20190822,allocated
ripencc,MD,208671,1,20190625,allocated
ripencc,MD,209331,1,20190226,allocated
ripencc,MD,209375,1,20190220,allocated
ripencc,MD,209396,1,20190218,allocated
