Registry,Country,ASN,Value,Date,Status
ripencc,ME,8585,1,19971216,allocated
ripencc,ME,15397,1,20041005,allocated
ripencc,ME,29453,1,20030915,allocated
ripencc,ME,40981,1,20060524,allocated
ripencc,ME,42993,1,20070522,allocated
ripencc,ME,43846,1,20071009,allocated
ripencc,ME,43940,1,20071023,allocated
ripencc,ME,47451,1,20080620,allocated
ripencc,ME,47881,1,20080910,allocated
ripencc,ME,51434,1,20100825,allocated
ripencc,ME,51924,1,20101130,allocated
ripencc,ME,60861,1,20130423,allocated
ripencc,ME,62301,1,20131118,allocated
ripencc,ME,200276,1,20180817,allocated
ripencc,ME,200608,1,20150526,allocated
ripencc,ME,201649,1,20140825,allocated
ripencc,ME,201777,1,20140716,allocated
ripencc,ME,202644,1,20160705,allocated
ripencc,ME,202799,1,20220920,allocated
ripencc,ME,203506,1,20151223,allocated
ripencc,ME,203824,1,20180416,allocated
ripencc,ME,203879,1,20151013,allocated
ripencc,ME,208568,1,20190711,allocated
ripencc,ME,208856,1,20190524,allocated
ripencc,ME,211211,1,20220831,allocated
ripencc,ME,213859,1,20241115,allocated
ripencc,ME,214642,1,20240624,allocated
ripencc,ME,214926,1,20240510,allocated
ripencc,ME,215896,1,20231205,allocated
