Registry,Country,ASN,Value,Date,Status
ripencc,MK,5379,1,19950613,allocated
ripencc,MK,5581,1,20151027,allocated
ripencc,MK,6821,1,19961107,allocated
ripencc,MK,8830,1,19980610,allocated
ripencc,MK,9172,1,19990128,allocated
ripencc,MK,16333,1,20010301,allocated
ripencc,MK,34547,1,20090227,allocated
ripencc,MK,34772,1,20050331,allocated
ripencc,MK,39766,1,20060421,allocated
ripencc,MK,41557,1,20060913,allocated
ripencc,MK,42133,1,20170609,allocated
ripencc,MK,43227,1,20091207,allocated
ripencc,MK,43452,1,20170522,allocated
ripencc,MK,43494,1,20070810,allocated
ripencc,MK,43612,1,20070831,allocated
ripencc,MK,44021,1,20071105,allocated
ripencc,MK,44118,1,20071120,allocated
ripencc,MK,44224,1,20161121,allocated
ripencc,MK,44566,1,20080206,allocated
ripencc,MK,44777,1,20080307,allocated
ripencc,MK,47212,1,20080516,allocated
ripencc,MK,48057,1,20081003,allocated
ripencc,MK,49056,1,20090401,allocated
ripencc,MK,49914,1,20160428,allocated
ripencc,MK,52188,1,20160621,allocated
ripencc,MK,56507,1,20180709,allocated
ripencc,MK,56620,1,20110412,allocated
ripencc,MK,57116,1,20110725,allocated
ripencc,MK,57134,1,20110729,allocated
ripencc,MK,57340,1,20200210,allocated
ripencc,MK,57374,1,20111012,allocated
ripencc,MK,60613,1,20200211,allocated
ripencc,MK,61057,1,20200527,allocated
ripencc,MK,198159,1,20230609,allocated
ripencc,MK,199128,1,20120820,allocated
ripencc,MK,199969,1,20131120,allocated
ripencc,MK,200412,1,20150709,allocated
ripencc,MK,200899,1,20150317,allocated
ripencc,MK,201683,1,20180628,allocated
ripencc,MK,203274,1,20160224,allocated
ripencc,MK,203522,1,20220802,allocated
ripencc,MK,203571,1,20151208,allocated
ripencc,MK,204031,1,20150910,allocated
ripencc,MK,205119,1,20171107,allocated
ripencc,MK,205347,1,20170918,allocated
ripencc,MK,205623,1,20170710,allocated
ripencc,MK,206311,1,20170214,allocated
ripencc,MK,206666,1,20180207,allocated
ripencc,MK,206769,1,20161109,allocated
ripencc,MK,207766,1,20220309,allocated
ripencc,MK,207938,1,20220303,allocated
ripencc,MK,208730,1,20220209,allocated
ripencc,MK,209152,1,20250507,allocated
ripencc,MK,209613,1,20220214,allocated
ripencc,MK,209972,1,20250506,allocated
ripencc,MK,210179,1,20180924,allocated
ripencc,MK,210565,1,20250411,allocated
ripencc,MK,210865,1,20210823,allocated
ripencc,MK,211172,1,20210614,allocated
ripencc,MK,211450,1,20210420,allocated
ripencc,MK,212645,1,20200916,allocated
ripencc,MK,213562,1,20250117,allocated
ripencc,MK,213946,1,20241029,allocated
ripencc,MK,214632,1,20240625,allocated
ripencc,MK,215863,1,20231211,allocated
ripencc,MK,215968,1,20231121,allocated
ripencc,MK,216337,1,20230907,allocated
