Registry,Country,ASN,Value,Date,Status
apnic,MM,9333,1,20220401,allocated
apnic,MM,9654,1,20171110,allocated
apnic,MM,9988,1,20000426,allocated
apnic,MM,18399,1,20021104,allocated
apnic,MM,45558,1,20081202,allocated
apnic,MM,58952,1,20130702,allocated
apnic,MM,63852,1,20141112,allocated
apnic,MM,63982,1,20150518,allocated
apnic,MM,63998,1,20150622,allocated
apnic,MM,131322,1,20110614,allocated
apnic,MM,131331,1,20240215,allocated
apnic,MM,132026,1,20110916,allocated
apnic,MM,132038,1,20230719,allocated
apnic,MM,132060,1,20231021,allocated
apnic,MM,132100,1,20160801,allocated
apnic,MM,132148,1,20160803,allocated
apnic,MM,132167,1,20130917,allocated
apnic,MM,132344,1,20160817,allocated
apnic,MM,132537,1,20220312,allocated
apnic,MM,132686,1,20160831,allocated
apnic,MM,133384,1,20140219,allocated
apnic,MM,133385,1,20140224,allocated
apnic,MM,133392,1,20140227,allocated
apnic,MM,133433,1,20230618,allocated
apnic,MM,133440,1,20170605,allocated
apnic,MM,133524,1,20140606,allocated
apnic,MM,134105,1,20150316,allocated
apnic,MM,134484,1,20230512,allocated
apnic,MM,134528,1,20200824,allocated
apnic,MM,134714,1,20151008,allocated
apnic,MM,134736,1,20151019,allocated
apnic,MM,134739,1,20151020,allocated
apnic,MM,134840,1,20151127,allocated
apnic,MM,134846,1,20151203,allocated
apnic,MM,134976,1,20151214,allocated
apnic,MM,135111,1,20180307,allocated
apnic,MM,135149,1,20160307,allocated
apnic,MM,135300,1,20160402,allocated
apnic,MM,135307,1,20160405,allocated
apnic,MM,135371,1,20160422,allocated
apnic,MM,135405,1,20160506,allocated
apnic,MM,135427,1,20160517,allocated
apnic,MM,135433,1,20160518,allocated
apnic,MM,135589,1,20180904,allocated
apnic,MM,136168,1,20170104,allocated
apnic,MM,136177,1,20170111,allocated
apnic,MM,136205,1,20200304,allocated
apnic,MM,136210,1,20170118,allocated
apnic,MM,136229,1,20230408,allocated
apnic,MM,136255,1,20170208,allocated
apnic,MM,136442,1,20170316,allocated
apnic,MM,136465,1,20170328,allocated
apnic,MM,136474,1,20170331,allocated
apnic,MM,136480,1,20170404,allocated
apnic,MM,136613,1,20170531,allocated
apnic,MM,136617,1,20170601,allocated
apnic,MM,136752,1,20170615,allocated
apnic,MM,136780,1,20170626,allocated
apnic,MM,136786,1,20170628,allocated
apnic,MM,136789,1,20220418,allocated
apnic,MM,136919,1,20170817,allocated
apnic,MM,136975,1,20170913,allocated
apnic,MM,137069,1,20210319,allocated
apnic,MM,137259,1,20230424,allocated
apnic,MM,137424,1,20220418,allocated
apnic,MM,137431,1,20180124,allocated
apnic,MM,137560,1,20180410,allocated
apnic,MM,137826,1,20180511,allocated
apnic,MM,137861,1,20180522,allocated
apnic,MM,137878,1,20180528,allocated
apnic,MM,137888,1,20180601,allocated
apnic,MM,137891,1,20180605,allocated
apnic,MM,137955,1,20180706,allocated
apnic,MM,138158,1,20180824,allocated
apnic,MM,138166,1,20240825,allocated
apnic,MM,138167,1,20180829,allocated
apnic,MM,138168,1,20180829,allocated
apnic,MM,138617,1,20190215,allocated
apnic,MM,138634,1,20190221,allocated
apnic,MM,138656,1,20190301,allocated
apnic,MM,138684,1,20190308,allocated
apnic,MM,139003,1,20210620,allocated
apnic,MM,139017,1,20190425,allocated
apnic,MM,139051,1,20190509,allocated
apnic,MM,139058,1,20240826,allocated
apnic,MM,139071,1,20190516,allocated
apnic,MM,139206,1,20190604,allocated
apnic,MM,139595,1,20190815,allocated
apnic,MM,139608,1,20190821,allocated
apnic,MM,139620,1,20190829,allocated
apnic,MM,139658,1,20190917,allocated
apnic,MM,139692,1,20230321,allocated
apnic,MM,139704,1,20191004,allocated
apnic,MM,139711,1,20191009,allocated
apnic,MM,139719,1,20191010,allocated
apnic,MM,139766,1,20191104,allocated
apnic,MM,139804,1,20191119,allocated
apnic,MM,139822,1,20191126,allocated
apnic,MM,139849,1,20191204,allocated
apnic,MM,140091,1,20200210,allocated
apnic,MM,140552,1,20200409,allocated
apnic,MM,140617,1,20200430,allocated
apnic,MM,140997,1,20200707,allocated
apnic,MM,141015,1,20200819,allocated
apnic,MM,141199,1,20230202,allocated
apnic,MM,141216,1,20200926,allocated
apnic,MM,141236,1,20201006,allocated
apnic,MM,141704,1,20210201,allocated
apnic,MM,142126,1,20210427,allocated
apnic,MM,142423,1,20210610,allocated
apnic,MM,142546,1,20210622,allocated
apnic,MM,142644,1,20210816,allocated
apnic,MM,147005,1,20210902,allocated
apnic,MM,149029,1,20211124,allocated
apnic,MM,149038,1,20211126,allocated
apnic,MM,149054,1,20211202,allocated
apnic,MM,149487,1,20220202,allocated
apnic,MM,149521,1,20220222,allocated
apnic,MM,149660,1,20220330,allocated
apnic,MM,149810,1,20220502,allocated
apnic,MM,149846,1,20220525,allocated
apnic,MM,149855,1,20220602,allocated
apnic,MM,150153,1,20220804,allocated
apnic,MM,150159,1,20220809,allocated
apnic,MM,150285,1,20220829,allocated
apnic,MM,150297,1,20220902,allocated
apnic,MM,150309,1,20220909,allocated
apnic,MM,150310,1,20220912,allocated
apnic,MM,150456,1,20221129,allocated
apnic,MM,150692,1,20221222,allocated
apnic,MM,150721,1,20230115,allocated
apnic,MM,150736,1,20230125,allocated
apnic,MM,150797,1,20230307,allocated
apnic,MM,150812,1,20230105,allocated
apnic,MM,151210,1,20230503,allocated
apnic,MM,151341,1,20230517,allocated
apnic,MM,151342,1,20230518,allocated
apnic,MM,151482,1,20230628,allocated
apnic,MM,151491,1,20230704,allocated
apnic,MM,151606,1,20230711,allocated
apnic,MM,151658,1,20230808,allocated
apnic,MM,151783,1,20230828,allocated
apnic,MM,151802,1,20230912,allocated
apnic,MM,151826,1,20230926,allocated
apnic,MM,151965,1,20231016,allocated
apnic,MM,152140,1,20231206,allocated
apnic,MM,152329,1,20240112,allocated
apnic,MM,152447,1,20240125,allocated
apnic,MM,152459,1,20240203,allocated
apnic,MM,152466,1,20240207,allocated
apnic,MM,152634,1,20240307,allocated
apnic,MM,152663,1,20240327,allocated
apnic,MM,153044,1,20240627,allocated
apnic,MM,153188,1,20240807,allocated
apnic,MM,153311,1,20240902,allocated
apnic,MM,153319,1,20240906,allocated
apnic,MM,153482,1,20250103,allocated
apnic,MM,153549,1,20250120,allocated
apnic,MM,153777,1,20250412,allocated
apnic,MM,153790,1,20250416,allocated
apnic,MM,153837,1,20250430,allocated
apnic,MM,153998,1,20250624,allocated
apnic,MM,154020,1,20250703,allocated
