Registry,Country,ASN,Value,Date,Status
apnic,MN,4850,1,20060418,allocated
apnic,MN,9484,1,20020930,allocated
apnic,MN,9789,1,19991216,allocated
apnic,MN,9934,1,20100817,allocated
apnic,MN,10076,1,20000620,allocated
apnic,MN,10109,1,20080104,allocated
apnic,MN,10219,1,20030710,allocated
apnic,MN,17882,1,20010724,allocated
apnic,MN,18172,1,20170329,allocated
apnic,MN,24064,1,20181120,allocated
apnic,MN,24320,1,20041220,allocated
apnic,MN,24496,1,20051129,allocated
apnic,MN,24559,1,20060209,allocated
apnic,MN,38051,1,20060607,allocated
apnic,MN,38218,1,20060913,allocated
apnic,MN,38273,1,20061102,allocated
apnic,MN,38454,1,20140424,allocated
apnic,MN,38805,1,20071015,allocated
apnic,MN,38818,1,20091001,allocated
apnic,MN,38869,1,20080109,allocated
apnic,MN,45204,1,20090831,allocated
apnic,MN,45237,1,20080623,allocated
apnic,MN,45509,1,20081031,allocated
apnic,MN,55342,1,20091218,allocated
apnic,MN,55408,1,20100208,allocated
apnic,MN,55546,1,20100611,allocated
apnic,MN,55805,1,20101011,allocated
apnic,MN,56194,1,20110408,allocated
apnic,MN,56293,1,20110520,allocated
apnic,MN,56301,1,20110601,allocated
apnic,MN,58406,1,20110822,allocated
apnic,MN,58439,1,20111019,allocated
apnic,MN,58598,1,20120510,allocated
apnic,MN,58625,1,20120613,allocated
apnic,MN,58726,1,20121023,allocated
apnic,MN,63962,1,20150317,allocated
apnic,MN,64057,1,20151028,allocated
apnic,MN,131240,1,20160701,allocated
apnic,MN,133177,1,20131204,allocated
apnic,MN,133453,1,20140416,allocated
apnic,MN,133531,1,20200817,allocated
apnic,MN,134074,1,20150218,allocated
apnic,MN,134356,1,20190613,allocated
apnic,MN,134813,1,20230213,allocated
apnic,MN,135033,1,20160115,allocated
apnic,MN,136936,1,20170823,allocated
apnic,MN,137511,1,20180313,allocated
apnic,MN,137982,1,20180719,allocated
apnic,MN,138907,1,20190315,allocated
apnic,MN,139089,1,20190527,allocated
apnic,MN,139579,1,20190807,allocated
apnic,MN,139650,1,20190913,allocated
apnic,MN,139837,1,20191202,allocated
apnic,MN,140931,1,20200721,allocated
apnic,MN,141681,1,20210120,allocated
apnic,MN,142023,1,20210326,allocated
apnic,MN,142539,1,20210621,allocated
apnic,MN,150426,1,20221116,allocated
apnic,MN,150430,1,20221117,allocated
apnic,MN,150720,1,20230113,allocated
apnic,MN,151355,1,20230525,allocated
apnic,MN,151367,1,20230531,allocated
apnic,MN,151637,1,20230728,allocated
apnic,MN,152116,1,20231123,allocated
apnic,MN,152299,1,20240102,allocated
apnic,MN,152337,1,20240118,allocated
apnic,MN,152338,1,20240119,allocated
apnic,MN,152692,1,20240410,allocated
apnic,MN,152926,1,20240621,allocated
