Registry,Country,ASN,Value,Date,Status
apnic,MO,4609,1,19950615,allocated
apnic,MO,7582,1,20050411,allocated
apnic,MO,24335,1,20070606,allocated
apnic,MO,45918,1,20091001,allocated
ripencc,MO,47674,1,20190528,allocated
ripencc,MO,61284,1,20181114,allocated
apnic,MO,64061,1,20151103,allocated
apnic,MO,132088,1,20180518,allocated
apnic,MO,133613,1,20140724,allocated
apnic,MO,134550,1,20150831,allocated
apnic,MO,136167,1,20170103,allocated
apnic,MO,136793,1,20170630,allocated
apnic,MO,137538,1,20220915,allocated
apnic,MO,138164,1,20180829,allocated
apnic,MO,138330,1,20181002,allocated
ripencc,MO,214572,1,20240705,allocated
