Registry,Country,ASN,Value,Date,Status
ripencc,MT,5532,1,19960130,allocated
ripencc,MT,8889,1,20050121,allocated
ripencc,MT,12709,1,19991006,allocated
ripencc,MT,15735,1,20001002,allocated
ripencc,MT,15892,1,20001030,allocated
ripencc,MT,20521,1,20010321,allocated
ripencc,MT,28763,1,20030218,allocated
ripencc,MT,28776,1,20030220,allocated
ripencc,MT,29387,1,20030827,allocated
ripencc,MT,29480,1,20030923,allocated
ripencc,MT,33874,1,20040825,allocated
ripencc,MT,34410,1,20050112,allocated
ripencc,MT,34558,1,20050215,allocated
ripencc,MT,35356,1,20050721,allocated
ripencc,MT,38964,1,20181102,allocated
ripencc,MT,42108,1,20061219,allocated
ripencc,MT,43439,1,20190114,allocated
ripencc,MT,43916,1,20071018,allocated
ripencc,MT,47171,1,20080509,allocated
ripencc,MT,51166,1,20100611,allocated
ripencc,MT,51840,1,20101115,allocated
ripencc,MT,56805,1,20110519,allocated
ripencc,MT,57150,1,20110803,allocated
ripencc,MT,57435,1,20111025,allocated
ripencc,MT,59732,1,20190709,allocated
ripencc,MT,60765,1,20130516,allocated
ripencc,MT,61355,1,20210119,allocated
ripencc,MT,62070,1,20140225,allocated
apnic,MT,133409,1,20140312,allocated
ripencc,MT,196640,1,20090824,allocated
ripencc,MT,197103,1,20100604,allocated
ripencc,MT,200127,1,20131002,allocated
ripencc,MT,200295,1,20180813,allocated
ripencc,MT,200805,1,20150410,allocated
ripencc,MT,200932,1,20150310,allocated
ripencc,MT,201821,1,20140710,allocated
ripencc,MT,202998,1,20180425,allocated
ripencc,MT,203221,1,20160304,allocated
ripencc,MT,204090,1,20150827,allocated
ripencc,MT,204732,1,20180118,allocated
ripencc,MT,204780,1,20180109,allocated
ripencc,MT,207406,1,20200207,allocated
ripencc,MT,207892,1,20230811,allocated
ripencc,MT,208136,1,20190926,allocated
ripencc,MT,208285,1,20190903,allocated
ripencc,MT,208346,1,20220218,allocated
ripencc,MT,209045,1,20190417,allocated
ripencc,MT,209485,1,20190131,allocated
ripencc,MT,210830,1,20210830,allocated
ripencc,MT,211213,1,20210604,allocated
ripencc,MT,212668,1,20200911,allocated
ripencc,MT,212769,1,20200819,allocated
ripencc,MT,212962,1,20200709,allocated
ripencc,MT,213246,1,20200511,allocated
ripencc,MT,215609,1,20240131,allocated
