Registry,Country,ASN,Value,Date,Status
afrinic,MU,5536,1,20231122,allocated
apnic,MU,7855,1,20020801,allocated
afrinic,MU,17652,1,20041105,allocated
afrinic,MU,19676,1,20150202,allocated
afrinic,MU,21280,1,20150202,allocated
afrinic,MU,23889,1,20040910,allocated
afrinic,MU,30999,1,20050322,allocated
afrinic,MU,33763,1,20041029,allocated
afrinic,MU,33764,1,20041102,allocated
afrinic,MU,33768,1,20050127,allocated
afrinic,MU,36868,1,20160229,allocated
afrinic,MU,36871,1,20051004,allocated
afrinic,MU,36877,1,20051109,allocated
afrinic,MU,36894,1,20060313,allocated
afrinic,MU,36942,1,20150202,allocated
afrinic,MU,37046,1,20080821,allocated
afrinic,MU,37096,1,20090421,allocated
afrinic,MU,37100,1,20090528,allocated
afrinic,MU,37177,1,20100215,allocated
afrinic,MU,37181,1,20100301,allocated
afrinic,MU,37238,1,20100714,allocated
afrinic,MU,37301,1,20110314,allocated
afrinic,MU,37324,1,20110427,allocated
afrinic,MU,37379,1,20110916,allocated
afrinic,MU,37455,1,20120611,allocated
afrinic,MU,37538,1,20121221,allocated
afrinic,MU,37622,1,20130916,allocated
afrinic,MU,37662,1,20131126,allocated
afrinic,MU,37674,1,20130626,allocated
afrinic,MU,37708,1,20150210,allocated
afrinic,MU,37722,1,20190906,allocated
afrinic,MU,37725,1,20210609,allocated
afrinic,MU,37797,1,20221212,allocated
afrinic,MU,327821,1,20141128,allocated
afrinic,MU,327913,1,20150710,allocated
afrinic,MU,327914,1,20150710,allocated
afrinic,MU,327919,1,20150812,allocated
afrinic,MU,328019,1,20160524,allocated
afrinic,MU,328476,1,20190424,allocated
afrinic,MU,328540,1,20190913,allocated
afrinic,MU,328623,1,20200304,allocated
afrinic,MU,328699,1,20200714,allocated
afrinic,MU,328701,1,20200715,allocated
afrinic,MU,328728,1,20200909,allocated
afrinic,MU,328758,1,20201106,allocated
afrinic,MU,329069,1,20220531,allocated
afrinic,MU,329187,1,20221212,allocated
afrinic,MU,329584,1,20250718,allocated
