Registry,Country,ASN,Value,Date,Status
apnic,MV,7642,1,19971013,allocated
apnic,MV,9446,1,20220928,allocated
apnic,MV,24016,1,20040209,allocated
apnic,MV,24082,1,20160623,allocated
apnic,MV,24184,1,20051027,allocated
apnic,MV,55944,1,20101217,allocated
apnic,MV,132218,1,20160808,allocated
apnic,MV,133742,1,20160926,allocated
apnic,MV,135053,1,20160125,allocated
apnic,MV,136234,1,20170125,allocated
apnic,MV,136238,1,20170125,allocated
apnic,MV,137056,1,20171101,allocated
apnic,MV,137477,1,20180226,allocated
apnic,MV,137981,1,20180718,allocated
apnic,MV,140727,1,20220224,allocated
apnic,MV,147039,1,20210916,allocated
apnic,MV,150125,1,20220713,allocated
ripencc,MV,216469,1,20230814,allocated
