Registry,Country,ASN,Value,Date,Status
afrinic,MW,33773,1,20050504,allocated
afrinic,MW,36913,1,20151029,allocated
afrinic,MW,36944,1,20070420,allocated
afrinic,MW,36969,1,20070810,allocated
afrinic,MW,37098,1,20090506,allocated
afrinic,MW,37187,1,20100319,allocated
afrinic,MW,37215,1,20140822,allocated
afrinic,MW,37294,1,20110301,allocated
afrinic,MW,37440,1,20120416,allocated
afrinic,MW,37651,1,20131106,allocated
afrinic,MW,37712,1,20150430,allocated
afrinic,MW,37713,1,20150513,allocated
afrinic,MW,37800,1,20240529,allocated
afrinic,MW,37802,1,20240923,allocated
afrinic,MW,327941,1,20151008,allocated
afrinic,MW,328117,1,20200117,allocated
afrinic,MW,328300,1,20180330,allocated
afrinic,MW,328403,1,20181126,allocated
afrinic,MW,328489,1,20190522,allocated
afrinic,MW,328565,1,20191030,allocated
afrinic,MW,328600,1,20200110,allocated
afrinic,MW,328738,1,20200918,allocated
afrinic,MW,328811,1,20210304,allocated
afrinic,MW,328844,1,20210429,allocated
afrinic,MW,328919,1,20210819,allocated
afrinic,MW,328949,1,20211005,allocated
afrinic,MW,329220,1,20230221,allocated
afrinic,MW,329260,1,20230512,allocated
afrinic,MW,329333,1,20231003,allocated
afrinic,MW,329335,1,20231003,allocated
afrinic,MW,329427,1,20240429,allocated
afrinic,MW,329434,1,20240517,allocated
afrinic,MW,329483,1,20240822,allocated
afrinic,MW,329493,1,20240923,allocated
