Registry,Country,ASN,Value,Date,Status
lacnic,MX,278,1,19890331,allocated
lacnic,MX,1292,1,19910524,allocated
lacnic,MX,1831,1,19920519,allocated
lacnic,MX,1840,1,19920430,allocated
lacnic,MX,2549,1,19930311,allocated
lacnic,MX,2708,1,19930625,allocated
lacnic,MX,2739,1,19930720,allocated
lacnic,MX,2904,1,19930910,allocated
lacnic,MX,3141,1,19931126,allocated
lacnic,MX,3454,1,19940224,allocated
lacnic,MX,3484,1,19940311,allocated
lacnic,MX,3548,1,19940414,allocated
lacnic,MX,3596,1,19940517,allocated
lacnic,MX,3632,1,19940524,allocated
lacnic,MX,3640,1,19940601,allocated
lacnic,MX,3905,1,19941004,allocated
lacnic,MX,3968,1,19941027,allocated
lacnic,MX,4141,1,19941202,allocated
lacnic,MX,4242,1,19950111,allocated
lacnic,MX,4244,1,19950111,allocated
lacnic,MX,4493,1,19950308,allocated
lacnic,MX,5633,1,19950718,allocated
lacnic,MX,5708,1,19950906,allocated
lacnic,MX,6063,1,19870101,allocated
lacnic,MX,6084,1,19951108,allocated
lacnic,MX,6332,1,19960308,allocated
lacnic,MX,6342,1,19960314,allocated
lacnic,MX,6495,1,19960506,allocated
lacnic,MX,6503,1,19960509,allocated
lacnic,MX,6590,1,19960603,allocated
lacnic,MX,6927,1,19960626,allocated
lacnic,MX,6957,1,19960708,allocated
lacnic,MX,7002,1,19960724,allocated
lacnic,MX,7038,1,19960802,allocated
lacnic,MX,7056,1,19960807,allocated
lacnic,MX,7080,1,19960814,allocated
lacnic,MX,7120,1,19960911,allocated
lacnic,MX,7125,1,19960913,allocated
lacnic,MX,7149,1,19960920,allocated
lacnic,MX,7173,1,19960927,allocated
lacnic,MX,7184,1,19960930,allocated
lacnic,MX,7236,1,19961016,allocated
lacnic,MX,7325,1,19961108,allocated
lacnic,MX,7399,1,19961202,allocated
lacnic,MX,7408,1,19961204,allocated
lacnic,MX,7438,1,19961212,allocated
lacnic,MX,7906,1,19970211,allocated
lacnic,MX,7974,1,19970310,allocated
lacnic,MX,7995,1,19970318,allocated
lacnic,MX,8007,1,20011112,allocated
lacnic,MX,8024,1,19960828,allocated
lacnic,MX,8140,1,19970423,allocated
lacnic,MX,8151,1,19970429,allocated
lacnic,MX,10420,1,19970731,allocated
lacnic,MX,10436,1,19970805,allocated
lacnic,MX,10479,1,19970820,allocated
lacnic,MX,10560,1,19970912,allocated
lacnic,MX,10706,1,19971031,allocated
lacnic,MX,10847,1,19971210,allocated
lacnic,MX,11083,1,19980403,allocated
lacnic,MX,11087,1,19980406,allocated
lacnic,MX,11136,1,19980420,allocated
lacnic,MX,11172,1,19980505,allocated
lacnic,MX,11519,1,19980916,allocated
lacnic,MX,11617,1,19981026,allocated
lacnic,MX,11677,1,19981111,allocated
lacnic,MX,11888,1,19990128,allocated
lacnic,MX,12146,1,19990406,allocated
lacnic,MX,13440,1,19990608,allocated
lacnic,MX,13579,1,19990708,allocated
lacnic,MX,13591,1,20010103,allocated
lacnic,MX,13679,1,19990727,allocated
lacnic,MX,13999,1,19991001,allocated
lacnic,MX,14000,1,19991001,allocated
lacnic,MX,14122,1,19991025,allocated
lacnic,MX,14178,1,19991102,allocated
lacnic,MX,14249,1,19991116,allocated
lacnic,MX,15107,1,20000322,allocated
lacnic,MX,15236,1,20000406,allocated
