Registry,Country,ASN,Value,Date,Status
apnic,MY,4634,1,20250624,allocated
apnic,MY,4769,1,20040517,allocated
apnic,MY,4788,1,19961020,allocated
apnic,MY,4818,1,20011207,allocated
apnic,MY,9534,1,19990517,allocated
apnic,MY,9655,1,20030716,allocated
apnic,MY,9728,1,20040630,allocated
apnic,MY,9739,1,20060103,allocated
apnic,MY,9930,1,20000405,allocated
apnic,MY,9986,1,20000419,allocated
apnic,MY,10030,1,20000615,allocated
apnic,MY,10081,1,20000623,allocated
apnic,MY,10204,1,20000908,allocated
apnic,MY,10211,1,20000921,allocated
apnic,MY,17464,1,20001116,allocated
apnic,MY,17564,1,20060104,allocated
apnic,MY,17650,1,20010305,allocated
apnic,MY,17666,1,20010316,allocated
apnic,MY,17736,1,20010426,allocated
apnic,MY,17784,1,20010607,allocated
apnic,MY,17971,1,20011008,allocated
apnic,MY,17979,1,20170118,allocated
apnic,MY,17992,1,20011102,allocated
apnic,MY,18206,1,20020506,allocated
apnic,MY,18227,1,20060922,allocated
apnic,MY,23659,1,20030228,allocated
apnic,MY,23678,1,20030319,allocated
apnic,MY,23736,1,20030509,allocated
apnic,MY,24020,1,20040212,allocated
apnic,MY,24028,1,20040302,allocated
apnic,MY,24063,1,20040511,allocated
apnic,MY,24068,1,20040527,allocated
apnic,MY,24090,1,20051014,allocated
apnic,MY,24218,1,20040903,allocated
apnic,MY,24314,1,20080603,allocated
apnic,MY,24321,1,20041221,allocated
apnic,MY,24442,1,20050509,allocated
apnic,MY,24461,1,20050526,allocated
apnic,MY,24514,1,20051223,allocated
apnic,MY,37997,1,20060410,allocated
apnic,MY,38005,1,20060503,allocated
apnic,MY,38006,1,20060503,allocated
apnic,MY,38044,1,20060531,allocated
apnic,MY,38175,1,20210226,allocated
apnic,MY,38182,1,20060725,allocated
apnic,MY,38194,1,20210318,allocated
apnic,MY,38199,1,20060814,allocated
apnic,MY,38206,1,20210318,allocated
apnic,MY,38208,1,20210318,allocated
apnic,MY,38278,1,20061108,allocated
apnic,MY,38322,1,20070105,allocated
apnic,MY,38466,1,20070227,allocated
apnic,MY,38792,1,20071004,allocated
apnic,MY,38868,1,20080108,allocated
apnic,MY,38891,1,20080130,allocated
apnic,MY,45121,1,20080227,allocated
apnic,MY,45144,1,20100510,allocated
apnic,MY,45182,1,20080416,allocated
apnic,MY,45220,1,20080522,allocated
apnic,MY,45331,1,20080730,allocated
apnic,MY,45344,1,20080812,allocated
apnic,MY,45352,1,20080815,allocated
apnic,MY,45410,1,20080820,allocated
apnic,MY,45412,1,20080822,allocated
apnic,MY,45419,1,20080827,allocated
apnic,MY,45420,1,20080828,allocated
apnic,MY,45512,1,20081107,allocated
apnic,MY,45630,1,20090216,allocated
apnic,MY,45668,1,20090327,allocated
apnic,MY,45785,1,20090603,allocated
apnic,MY,45808,1,20090622,allocated
apnic,MY,45810,1,20090622,allocated
apnic,MY,45839,1,20090707,allocated
apnic,MY,45842,1,20090708,allocated
apnic,MY,45909,1,20090908,allocated
apnic,MY,45945,1,20091023,allocated
apnic,MY,45960,1,20091104,allocated
apnic,MY,46015,1,20091112,allocated
apnic,MY,55405,1,20100205,allocated
apnic,MY,55420,1,20100215,allocated
apnic,MY,55482,1,20100415,allocated
