Registry,Country,ASN,Value,Date,Status
ripencc,MZ,25139,1,20020802,allocated
afrinic,MZ,30619,1,20241114,allocated
afrinic,MZ,31960,1,20040130,allocated
afrinic,MZ,32017,1,20040210,allocated
afrinic,MZ,36865,1,20050808,allocated
afrinic,MZ,36945,1,20070423,allocated
afrinic,MZ,37042,1,20080812,allocated
afrinic,MZ,37110,1,20090626,allocated
afrinic,MZ,37139,1,20090827,allocated
afrinic,MZ,37223,1,20100616,allocated
afrinic,MZ,37342,1,20110531,allocated
afrinic,MZ,37436,1,20210609,allocated
afrinic,MZ,37477,1,20120713,allocated
afrinic,MZ,37489,1,20120807,allocated
afrinic,MZ,37556,1,20130215,allocated
afrinic,MZ,37635,1,20131004,allocated
afrinic,MZ,37697,1,20140513,allocated
ripencc,MZ,42235,1,20070119,allocated
afrinic,MZ,327700,1,20110126,allocated
afrinic,MZ,327759,1,20140516,allocated
afrinic,MZ,327951,1,20151103,allocated
afrinic,MZ,328187,1,20170629,allocated
afrinic,MZ,328223,1,20170911,allocated
afrinic,MZ,328274,1,20180205,allocated
afrinic,MZ,328460,1,20190403,allocated
afrinic,MZ,328591,1,20191216,allocated
afrinic,MZ,329310,1,20230822,allocated
afrinic,MZ,329394,1,20240208,allocated
afrinic,MZ,329491,1,20240920,allocated
afrinic,MZ,329498,1,20240930,allocated
afrinic,MZ,329516,1,20241107,allocated
afrinic,MZ,329533,1,20250626,allocated
