Registry,Country,ASN,Value,Date,Status
afrinic,NA,20459,1,20010510,allocated
afrinic,NA,22735,1,20130211,allocated
afrinic,NA,36996,1,20071220,allocated
afrinic,NA,36999,1,20080108,allocated
afrinic,NA,37009,1,20080313,allocated
afrinic,NA,37026,1,20080708,allocated
afrinic,NA,37201,1,20100415,allocated
afrinic,NA,37513,1,20121106,allocated
afrinic,NA,37694,1,20140522,allocated
afrinic,NA,327694,1,20100928,allocated
afrinic,NA,327842,1,20150216,allocated
afrinic,NA,327865,1,20150326,allocated
afrinic,NA,328506,1,20201217,allocated
afrinic,NA,329067,1,20220526,allocated
afrinic,NA,329115,1,20220810,allocated
afrinic,NA,329395,1,20240208,allocated
afrinic,NA,329400,1,20240221,allocated
