Registry,Country,ASN,Value,Date,Status
apnic,NC,17480,1,20001121,allocated
apnic,NC,18200,1,20020423,allocated
apnic,NC,24053,1,20051010,allocated
apnic,NC,45345,1,20080812,allocated
apnic,NC,45461,1,20081002,allocated
apnic,NC,56055,1,20110127,allocated
apnic,NC,56089,1,20110217,allocated
apnic,NC,131248,1,20091029,allocated
apnic,NC,131995,1,20110809,allocated
apnic,NC,132079,1,20111116,allocated
apnic,NC,134405,1,20181002,allocated
apnic,NC,136402,1,20170227,allocated
apnic,NC,136417,1,20170301,allocated
apnic,NC,137243,1,20171213,allocated
apnic,NC,140718,1,20200611,allocated
apnic,NC,141197,1,20200921,allocated
apnic,NC,141695,1,20210127,allocated
apnic,NC,147030,1,20210914,allocated
apnic,NC,149003,1,20211109,allocated
apnic,NC,149520,1,20220222,allocated
