Registry,Country,ASN,Value,Date,Status
afrinic,NG,16284,1,20070920,allocated
afrinic,NG,25163,1,20201111,allocated
afrinic,NG,29091,1,20070920,allocated
ripencc,NG,29465,1,20030917,allocated
afrinic,NG,30984,1,20050125,allocated
afrinic,NG,30988,1,20040701,allocated
afrinic,NG,30998,1,20050309,allocated
ripencc,NG,35074,1,20050530,allocated
afrinic,NG,36872,1,20130531,allocated
afrinic,NG,36873,1,20051024,allocated
afrinic,NG,36920,1,20061031,allocated
afrinic,NG,36922,1,20061115,allocated
afrinic,NG,36923,1,20061115,allocated
afrinic,NG,36932,1,20070116,allocated
afrinic,NG,36933,1,20070122,allocated
afrinic,NG,36938,1,20120612,allocated
afrinic,NG,36940,1,20160816,allocated
afrinic,NG,36957,1,20070626,allocated
afrinic,NG,36970,1,20070822,allocated
afrinic,NG,36979,1,20070926,allocated
afrinic,NG,36993,1,20071210,allocated
afrinic,NG,37001,1,20080109,allocated
afrinic,NG,37004,1,20161115,allocated
afrinic,NG,37005,1,20080206,allocated
afrinic,NG,37018,1,20080418,allocated
afrinic,NG,37025,1,20080708,allocated
afrinic,NG,37056,1,20080925,allocated
afrinic,NG,37058,1,20080929,allocated
afrinic,NG,37076,1,20140814,allocated
afrinic,NG,37077,1,20081201,allocated
afrinic,NG,37088,1,20090219,allocated
afrinic,NG,37104,1,20090611,allocated
afrinic,NG,37106,1,20090618,allocated
afrinic,NG,37125,1,20090806,allocated
afrinic,NG,37127,1,20090814,allocated
afrinic,NG,37144,1,20090902,allocated
afrinic,NG,37148,1,20090917,allocated
afrinic,NG,37170,1,20100204,allocated
afrinic,NG,37178,1,20100216,allocated
afrinic,NG,37192,1,20100330,allocated
afrinic,NG,37194,1,20100401,allocated
afrinic,NG,37200,1,20100412,allocated
afrinic,NG,37207,1,20100427,allocated
afrinic,NG,37209,1,20100506,allocated
afrinic,NG,37222,1,20100615,allocated
afrinic,NG,37230,1,20100630,allocated
afrinic,NG,37248,1,20100811,allocated
afrinic,NG,37249,1,20100819,allocated
afrinic,NG,37258,1,20100909,allocated
afrinic,NG,37269,1,20101021,allocated
afrinic,NG,37280,1,20101124,allocated
afrinic,NG,37282,1,20101129,allocated
afrinic,NG,37286,1,20101216,allocated
afrinic,NG,37296,1,20110304,allocated
afrinic,NG,37297,1,20110308,allocated
afrinic,NG,37308,1,20110323,allocated
afrinic,NG,37328,1,20110510,allocated
afrinic,NG,37340,1,20110530,allocated
afrinic,NG,37345,1,20110609,allocated
afrinic,NG,37347,1,20110614,allocated
afrinic,NG,37369,1,20110824,allocated
afrinic,NG,37377,1,20110912,allocated
afrinic,NG,37398,1,20111124,allocated
afrinic,NG,37404,1,20111209,allocated
afrinic,NG,37405,1,20111212,allocated
afrinic,NG,37407,1,20111215,allocated
afrinic,NG,37420,1,20120213,allocated
afrinic,NG,37426,1,20120229,allocated
afrinic,NG,37433,1,20120320,allocated
afrinic,NG,37443,1,20120427,allocated
afrinic,NG,37445,1,20120502,allocated
afrinic,NG,37452,1,20120524,allocated
afrinic,NG,37472,1,20120706,allocated
afrinic,NG,37480,1,20120715,allocated
afrinic,NG,37490,1,20230428,allocated
afrinic,NG,37495,1,20120830,allocated
afrinic,NG,37506,1,20121017,allocated
afrinic,NG,37521,1,20121112,allocated
afrinic,NG,37522,1,20121115,allocated
afrinic,NG,37528,1,20121127,allocated
afrinic,NG,37540,1,20121221,allocated
afrinic,NG,37565,1,20130225,allocated
afrinic,NG,37567,1,20130227,allocated
afrinic,NG,37587,1,20130408,allocated
afrinic,NG,37588,1,20130409,allocated
afrinic,NG,37605,1,20130729,allocated
afrinic,NG,37629,1,20130926,allocated
afrinic,NG,37637,1,20131010,allocated
afrinic,NG,37657,1,20131118,allocated
afrinic,NG,37659,1,20200511,allocated
afrinic,NG,37660,1,20131119,allocated
afrinic,NG,37661,1,20131121,allocated
afrinic,NG,37676,1,20130702,allocated
afrinic,NG,37682,1,20130718,allocated
afrinic,NG,37686,1,20130718,allocated
afrinic,NG,37687,1,20130723,allocated
afrinic,NG,37688,1,20130725,allocated
afrinic,NG,37714,1,20150715,allocated
afrinic,NG,37783,1,20181030,allocated
afrinic,NG,37793,1,20221003,allocated
ripencc,NG,214354,1,20240815,allocated
afrinic,NG,327684,1,20070806,allocated
afrinic,NG,327704,1,20110208,allocated
afrinic,NG,327705,1,20140909,allocated
afrinic,NG,327721,1,20140120,allocated
afrinic,NG,327729,1,20140217,allocated
afrinic,NG,327763,1,20140603,allocated
afrinic,NG,327784,1,20140820,allocated
afrinic,NG,327803,1,20141002,allocated
afrinic,NG,327810,1,20141029,allocated
