Registry,Country,ASN,Value,Date,Status
lacnic,NI,2638,1,19930512,allocated
lacnic,NI,7137,1,19960916,allocated
lacnic,NI,18840,1,20001017,allocated
lacnic,NI,19447,1,20010108,allocated
lacnic,NI,25607,1,20020408,allocated
lacnic,NI,27742,1,20040510,allocated
lacnic,NI,27761,1,20050321,allocated
lacnic,NI,27811,1,20060310,allocated
lacnic,NI,27905,1,20070515,allocated
lacnic,NI,27999,1,20080926,allocated
lacnic,NI,28036,1,20090129,allocated
lacnic,NI,28072,1,20090728,allocated
lacnic,NI,52242,1,20100426,allocated
lacnic,NI,52298,1,20101122,allocated
lacnic,NI,52501,1,20140228,allocated
lacnic,NI,61513,1,20151211,allocated
ripencc,NI,214969,1,20240503,allocated
lacnic,NI,262185,1,20110921,allocated
lacnic,NI,262243,1,20120911,allocated
lacnic,NI,263177,1,20130917,allocated
lacnic,NI,263201,1,20131226,allocated
lacnic,NI,263751,1,20150406,allocated
lacnic,NI,263760,1,20150706,allocated
lacnic,NI,263765,1,20150512,allocated
lacnic,NI,263817,1,20150810,allocated
lacnic,NI,264609,1,20150930,allocated
lacnic,NI,264766,1,20160905,allocated
lacnic,NI,266697,1,20180109,allocated
lacnic,NI,267797,1,20190313,allocated
lacnic,NI,269770,1,20190909,allocated
lacnic,NI,271852,1,20210126,allocated
lacnic,NI,271938,1,20210714,allocated
lacnic,NI,274013,1,20241219,allocated
