Registry,Country,ASN,Value,Date,Status
apnic,NL,23649,1,20030214,allocated
apnic,NL,38230,1,20210406,allocated
apnic,NL,38816,1,20090729,allocated
apnic,NL,50049,1,20091102,allocated
arin,NL,62972,1,20131210,assigned
arin,NL,62981,1,20131212,assigned
apnic,NL,63942,1,20150210,allocated
apnic,NL,133142,1,20131031,allocated
apnic,NL,134390,1,20150715,allocated
apnic,NL,134535,1,20150821,allocated
apnic,NL,134828,1,20201126,allocated
apnic,NL,136175,1,20170109,allocated
apnic,NL,137490,1,20180301,allocated
apnic,NL,137509,1,20210714,allocated
apnic,NL,137520,1,20210613,allocated
apnic,NL,139308,1,20201124,allocated
apnic,NL,141702,2,20210131,allocated
apnic,NL,142039,1,20210330,allocated
apnic,NL,142289,1,20210524,allocated
apnic,NL,142419,1,20210609,allocated
apnic,NL,142592,1,20220831,allocated
apnic,NL,142597,2,20210728,allocated
apnic,NL,142632,1,20210810,allocated
apnic,NL,142635,1,20210811,allocated
apnic,NL,149434,2,20220112,allocated
apnic,NL,149845,1,20220525,allocated
apnic,NL,152460,1,20240206,allocated
arin,NL,400328,1,20250115,assigned
