Registry,Country,ASN,Value,Date,Status
ripencc,NO,224,1,19930901,allocated
ripencc,NO,2116,1,19930203,allocated
ripencc,NO,2119,1,19930225,allocated
ripencc,NO,3307,1,19941028,allocated
ripencc,NO,5377,1,19950601,allocated
ripencc,NO,5381,1,19950615,allocated
ripencc,NO,5485,1,20151030,allocated
ripencc,NO,5619,1,19960501,allocated
ripencc,NO,6709,1,19960710,allocated
ripencc,NO,6829,1,20080312,allocated
ripencc,NO,8210,1,19970213,allocated
ripencc,NO,8264,1,19970409,allocated
ripencc,NO,8394,1,19970725,allocated
ripencc,NO,8478,1,20091120,allocated
ripencc,NO,8542,1,19971112,allocated
ripencc,NO,8786,1,19980513,allocated
ripencc,NO,8841,1,19980616,allocated
ripencc,NO,8896,1,19980723,allocated
ripencc,NO,9173,1,19990129,allocated
ripencc,NO,9207,1,19990218,allocated
ripencc,NO,12929,1,20000110,allocated
ripencc,NO,12996,1,20000215,allocated
ripencc,NO,13052,1,20000302,allocated
ripencc,NO,13069,1,20000309,allocated
ripencc,NO,13212,1,20000509,allocated
ripencc,NO,13243,1,20000519,allocated
ripencc,NO,15659,1,20000905,allocated
ripencc,NO,15688,1,20000912,allocated
ripencc,NO,15765,1,20001006,allocated
ripencc,NO,15932,1,20001106,allocated
ripencc,NO,16065,1,20001212,allocated
ripencc,NO,16175,1,20010905,allocated
ripencc,NO,16185,1,20010117,allocated
ripencc,NO,16186,1,20010117,allocated
ripencc,NO,16234,1,20120227,allocated
ripencc,NO,20741,1,20150803,allocated
ripencc,NO,21067,1,20150724,allocated
ripencc,NO,21119,1,20010831,allocated
ripencc,NO,21171,1,20010914,allocated
ripencc,NO,21293,1,20011018,allocated
ripencc,NO,21297,1,20011024,allocated
ripencc,NO,21331,1,20011101,allocated
apnic,NO,24039,1,20080529,allocated
ripencc,NO,24959,1,20020607,allocated
ripencc,NO,25016,1,20150701,allocated
ripencc,NO,25148,1,20020808,allocated
ripencc,NO,25201,1,20020902,allocated
ripencc,NO,25225,1,20020905,allocated
ripencc,NO,25351,1,20021014,allocated
ripencc,NO,25400,1,20021112,allocated
ripencc,NO,28795,1,20030226,allocated
ripencc,NO,28824,1,20030304,allocated
ripencc,NO,29065,1,20030526,allocated
ripencc,NO,29300,1,20030725,allocated
ripencc,NO,29458,1,20150527,allocated
ripencc,NO,29479,1,20091218,allocated
ripencc,NO,29486,1,20030924,allocated
ripencc,NO,29492,1,20030925,allocated
ripencc,NO,29607,1,20031022,allocated
ripencc,NO,29695,1,20031114,allocated
ripencc,NO,30737,1,20031121,allocated
ripencc,NO,30950,1,20040126,allocated
ripencc,NO,31020,1,20110324,allocated
ripencc,NO,31096,1,20040226,allocated
ripencc,NO,31169,1,20040312,allocated
ripencc,NO,31264,1,20040401,allocated
ripencc,NO,31726,1,20081124,allocated
ripencc,NO,34087,1,20041020,allocated
ripencc,NO,34100,1,20041025,allocated
ripencc,NO,34822,1,20050411,allocated
ripencc,NO,34989,1,20050513,allocated
ripencc,NO,35094,1,20050602,allocated
ripencc,NO,35120,1,20190412,allocated
ripencc,NO,35132,1,20050609,allocated
ripencc,NO,35157,1,20050614,allocated
ripencc,NO,35703,1,20051007,allocated
ripencc,NO,35754,1,20051019,allocated
