Registry,Country,ASN,Value,Date,Status
apnic,NP,4007,1,20041213,allocated
apnic,NP,4613,1,19950611,allocated
apnic,NP,17412,1,20171011,allocated
apnic,NP,17501,1,20001212,allocated
apnic,NP,18222,1,20170412,allocated
apnic,NP,18395,1,20021030,allocated
apnic,NP,23647,1,20030213,allocated
apnic,NP,23672,1,20030317,allocated
apnic,NP,23752,1,20030527,allocated
apnic,NP,23866,1,20030722,allocated
apnic,NP,23928,1,20050913,allocated
apnic,NP,24123,1,20040809,allocated
apnic,NP,24474,1,20051103,allocated
apnic,NP,24503,1,20080728,allocated
apnic,NP,24504,1,20051205,allocated
apnic,NP,24550,1,20060131,allocated
apnic,NP,38217,1,20060912,allocated
apnic,NP,38533,1,20070402,allocated
apnic,NP,38565,1,20070515,allocated
apnic,NP,45157,1,20080319,allocated
apnic,NP,45170,1,20080403,allocated
apnic,NP,45274,1,20080721,allocated
apnic,NP,45353,1,20080815,allocated
apnic,NP,45424,1,20080902,allocated
apnic,NP,45494,1,20081024,allocated
apnic,NP,45650,1,20090311,allocated
apnic,NP,45811,1,20090622,allocated
apnic,NP,45845,1,20090709,allocated
apnic,NP,55427,1,20100224,allocated
apnic,NP,55726,1,20100819,allocated
apnic,NP,55915,1,20101202,allocated
apnic,NP,56196,1,20110411,allocated
apnic,NP,56204,1,20110415,allocated
apnic,NP,56266,1,20110506,allocated
apnic,NP,58413,1,20110830,allocated
apnic,NP,58433,1,20111004,allocated
apnic,NP,58456,1,20111117,allocated
apnic,NP,58459,1,20111124,allocated
apnic,NP,58504,1,20111222,allocated
apnic,NP,59370,1,20140606,allocated
apnic,NP,63968,1,20150331,allocated
apnic,NP,63991,1,20150529,allocated
apnic,NP,131266,1,20240823,allocated
apnic,NP,131341,1,20160715,allocated
apnic,NP,132270,1,20160815,allocated
apnic,NP,132407,1,20161212,allocated
apnic,NP,132710,1,20240316,allocated
apnic,NP,132799,1,20160902,allocated
apnic,NP,132856,1,20130604,allocated
apnic,NP,132877,1,20201012,allocated
apnic,NP,133092,1,20140103,allocated
apnic,NP,133128,1,20210214,allocated
apnic,NP,133149,1,20160916,allocated
apnic,NP,133179,1,20131205,allocated
apnic,NP,133185,1,20131209,allocated
apnic,NP,133190,1,20250227,allocated
apnic,NP,133923,1,20150119,allocated
apnic,NP,133925,1,20250210,allocated
apnic,NP,134467,1,20201218,allocated
apnic,NP,134504,1,20150813,allocated
apnic,NP,134951,1,20210222,allocated
apnic,NP,134995,1,20151224,allocated
apnic,NP,135043,1,20160122,allocated
apnic,NP,135044,1,20250404,allocated
apnic,NP,135303,1,20160404,allocated
apnic,NP,135327,1,20160408,allocated
apnic,NP,135334,1,20220127,allocated
apnic,NP,135335,1,20200806,allocated
apnic,NP,135337,1,20160412,allocated
apnic,NP,135640,1,20210412,allocated
apnic,NP,136047,1,20180220,allocated
apnic,NP,136219,1,20170120,allocated
apnic,NP,136380,1,20170217,allocated
apnic,NP,136461,1,20240729,allocated
apnic,NP,136477,1,20170403,allocated
apnic,NP,136530,1,20170503,allocated
apnic,NP,136740,1,20170612,allocated
apnic,NP,136762,1,20170619,allocated
apnic,NP,136763,1,20180622,allocated
apnic,NP,136776,1,20170626,allocated
apnic,NP,136794,1,20170704,allocated
apnic,NP,136895,1,20231004,allocated
apnic,NP,136905,1,20170804,allocated
apnic,NP,136908,1,20170808,allocated
apnic,NP,136979,1,20170915,allocated
apnic,NP,137011,1,20171006,allocated
apnic,NP,137080,1,20171115,allocated
apnic,NP,137187,1,20171124,allocated
apnic,NP,137201,1,20171129,allocated
apnic,NP,137209,1,20171201,allocated
apnic,NP,137275,1,20171228,allocated
apnic,NP,137521,1,20180319,allocated
apnic,NP,137580,1,20180419,allocated
apnic,NP,137854,1,20180521,allocated
apnic,NP,137880,1,20180529,allocated
apnic,NP,137978,1,20201117,allocated
apnic,NP,138350,1,20181014,allocated
apnic,NP,138388,1,20181030,allocated
apnic,NP,138478,1,20230214,allocated
apnic,NP,138495,1,20181210,allocated
apnic,NP,138500,1,20181212,allocated
apnic,NP,138546,1,20190110,allocated
apnic,NP,138605,1,20190208,allocated
apnic,NP,138620,1,20190217,allocated
apnic,NP,138933,1,20240615,allocated
apnic,NP,138964,1,20190404,allocated
apnic,NP,139022,1,20190426,allocated
apnic,NP,139196,1,20190528,allocated
apnic,NP,139224,1,20190612,allocated
apnic,NP,139237,1,20190618,allocated
apnic,NP,139256,1,20190625,allocated
apnic,NP,139261,1,20190626,allocated
apnic,NP,139701,1,20191003,allocated
apnic,NP,139741,1,20191022,allocated
apnic,NP,139810,1,20250312,allocated
apnic,NP,139902,1,20191219,allocated
apnic,NP,139907,1,20191220,allocated
apnic,NP,139922,1,20200102,allocated
apnic,NP,140050,1,20200120,allocated
apnic,NP,140072,1,20200129,allocated
apnic,NP,140324,1,20200320,allocated
apnic,NP,140604,1,20200427,allocated
apnic,NP,140948,1,20200723,allocated
apnic,NP,140973,1,20200731,allocated
apnic,NP,140989,1,20200811,allocated
apnic,NP,141024,1,20200824,allocated
apnic,NP,141032,1,20200825,allocated
apnic,NP,141047,1,20200901,allocated
apnic,NP,141175,1,20200911,allocated
apnic,NP,141177,1,20200911,allocated
apnic,NP,141189,1,20200918,allocated
apnic,NP,141240,1,20201009,allocated
apnic,NP,141349,1,20201015,allocated
apnic,NP,141410,1,20201109,allocated
apnic,NP,141459,1,20201209,allocated
apnic,NP,141689,1,20210121,allocated
apnic,NP,141691,1,20210125,allocated
apnic,NP,141732,1,20210212,allocated
apnic,NP,141755,1,20210226,allocated
apnic,NP,141767,1,20210302,allocated
apnic,NP,142008,1,20210319,allocated
apnic,NP,142053,1,20210413,allocated
apnic,NP,142065,1,20210420,allocated
apnic,NP,142133,1,20210428,allocated
apnic,NP,142272,1,20210518,allocated
apnic,NP,142297,1,20210529,allocated
apnic,NP,142408,1,20210603,allocated
apnic,NP,142556,1,20210629,allocated
apnic,NP,142606,1,20210730,allocated
apnic,NP,142621,1,20210805,allocated
apnic,NP,142626,1,20240403,allocated
apnic,NP,146947,1,20210817,allocated
apnic,NP,147184,1,20211006,allocated
apnic,NP,148979,1,20211025,allocated
apnic,NP,149034,1,20211125,allocated
apnic,NP,149037,1,20211125,allocated
apnic,NP,149417,1,20211230,allocated
apnic,NP,149631,1,20230324,allocated
apnic,NP,149652,1,20220324,allocated
apnic,NP,149768,1,20220406,allocated
apnic,NP,149801,1,20220427,allocated
apnic,NP,149812,1,20220503,allocated
apnic,NP,149817,1,20220505,allocated
apnic,NP,149866,1,20220613,allocated
apnic,NP,150131,1,20220720,allocated
apnic,NP,150133,1,20220720,allocated
apnic,NP,150138,1,20220722,allocated
apnic,NP,150331,1,20220927,allocated
apnic,NP,150418,1,20221110,allocated
apnic,NP,150424,1,20221115,allocated
apnic,NP,150691,1,20221222,allocated
apnic,NP,150780,1,20230220,allocated
apnic,NP,150789,1,20230301,allocated
apnic,NP,151078,1,20230406,allocated
apnic,NP,151207,1,20230503,allocated
apnic,NP,151328,1,20230515,allocated
apnic,NP,151393,1,20230605,allocated
apnic,NP,151396,1,20230606,allocated
apnic,NP,151480,1,20230628,allocated
apnic,NP,151643,1,20230802,allocated
apnic,NP,151663,1,20240815,allocated
apnic,NP,151798,1,20230912,allocated
apnic,NP,152178,1,20231215,allocated
apnic,NP,152307,1,20240107,allocated
apnic,NP,152340,1,20250120,allocated
apnic,NP,152448,1,20240126,allocated
apnic,NP,152649,1,20240314,allocated
apnic,NP,152677,1,20240403,allocated
apnic,NP,152691,1,20240410,allocated
apnic,NP,152736,1,20240506,allocated
apnic,NP,153159,1,20240705,allocated
apnic,NP,153566,1,20250130,allocated
apnic,NP,153694,1,20250312,allocated
apnic,NP,153765,1,20250408,allocated
apnic,NP,153778,1,20250413,allocated
apnic,NP,153827,1,20250425,allocated
apnic,NP,153861,1,20250506,allocated
apnic,NP,153885,1,20250513,allocated
apnic,NP,154038,1,20250709,allocated
ripencc,NP,212268,1,20201127,allocated
