Registry,Country,ASN,Value,Date,Status
apnic,NZ,681,1,20020801,allocated
apnic,NZ,2537,1,20020801,allocated
apnic,NZ,2569,2,20020801,allocated
apnic,NZ,2756,1,20020801,allocated
apnic,NZ,2925,2,20020801,allocated
apnic,NZ,3711,1,20020801,allocated
apnic,NZ,3747,1,20020801,allocated
apnic,NZ,3773,1,20020801,allocated
apnic,NZ,3787,1,20020801,allocated
apnic,NZ,3929,1,20020801,allocated
apnic,NZ,4049,1,20020801,allocated
apnic,NZ,4610,1,20150904,allocated
apnic,NZ,4648,1,19951110,allocated
apnic,NZ,4667,1,20070808,allocated
apnic,NZ,4763,1,19960726,allocated
apnic,NZ,4768,1,19980709,allocated
apnic,NZ,4770,1,20010330,allocated
apnic,NZ,4771,1,19960104,allocated
apnic,NZ,4830,1,20010612,allocated
apnic,NZ,4831,1,20040812,allocated
apnic,NZ,4834,1,20010614,allocated
apnic,NZ,5709,1,20020801,allocated
apnic,NZ,7584,1,20060922,allocated
apnic,NZ,7599,1,20070903,allocated
apnic,NZ,7657,1,19971111,allocated
apnic,NZ,7696,1,20050902,allocated
apnic,NZ,7714,1,19980106,allocated
apnic,NZ,7901,1,20020801,allocated
apnic,NZ,9233,1,20000519,allocated
apnic,NZ,9236,1,20060119,allocated
apnic,NZ,9245,1,20000530,allocated
apnic,NZ,9281,1,20041109,allocated
apnic,NZ,9303,1,19980506,allocated
apnic,NZ,9325,1,19980609,allocated
apnic,NZ,9327,1,20020911,allocated
apnic,NZ,9338,1,19980724,allocated
apnic,NZ,9343,1,20061107,allocated
apnic,NZ,9344,1,19980805,allocated
apnic,NZ,9345,1,19980806,allocated
apnic,NZ,9427,3,19981019,allocated
apnic,NZ,9431,1,19981022,allocated
apnic,NZ,9432,1,19981022,allocated
apnic,NZ,9433,1,19981022,allocated
apnic,NZ,9436,1,19981102,allocated
apnic,NZ,9439,1,19981106,allocated
apnic,NZ,9445,1,19981119,allocated
apnic,NZ,9469,1,19981215,allocated
apnic,NZ,9470,1,19981216,allocated
apnic,NZ,9483,1,20040702,allocated
apnic,NZ,9495,1,19990323,allocated
apnic,NZ,9500,1,19990315,allocated
apnic,NZ,9503,1,19990323,allocated
apnic,NZ,9511,1,19990413,allocated
apnic,NZ,9537,1,20040427,allocated
apnic,NZ,9559,1,19990709,allocated
apnic,NZ,9560,1,19990712,allocated
apnic,NZ,9561,1,19990713,allocated
apnic,NZ,9662,1,19990910,allocated
apnic,NZ,9718,1,20050805,allocated
apnic,NZ,9727,1,19991103,allocated
apnic,NZ,9733,1,20061205,allocated
apnic,NZ,9750,1,19991203,allocated
apnic,NZ,9788,1,20060119,allocated
apnic,NZ,9790,1,19991216,allocated
apnic,NZ,9834,1,20060901,allocated
apnic,NZ,9872,1,20000207,allocated
apnic,NZ,9876,1,20050404,allocated
apnic,NZ,9887,1,20000225,allocated
apnic,NZ,9889,1,20000229,allocated
apnic,NZ,9896,1,20000306,allocated
apnic,NZ,9897,1,20000306,allocated
apnic,NZ,9898,1,20000308,allocated
apnic,NZ,9901,1,20000309,allocated
apnic,NZ,10022,1,20000428,allocated
apnic,NZ,10110,1,20000720,allocated
apnic,NZ,10200,1,20040312,allocated
apnic,NZ,17410,1,20001013,allocated
apnic,NZ,17435,1,20150901,allocated
apnic,NZ,17472,1,20001120,allocated
apnic,NZ,17474,1,20150904,allocated
apnic,NZ,17484,1,20111124,allocated
apnic,NZ,17491,1,20161115,allocated
apnic,NZ,17492,1,20031112,allocated
apnic,NZ,17542,1,20071106,allocated
apnic,NZ,17646,1,20070615,allocated
apnic,NZ,17649,1,20010305,allocated
apnic,NZ,17656,1,20010309,allocated
apnic,NZ,17663,1,20061101,allocated
apnic,NZ,17664,1,20010314,allocated
apnic,NZ,17705,1,20010326,allocated
apnic,NZ,17746,1,20150904,allocated
apnic,NZ,17752,1,20041012,allocated
apnic,NZ,17792,1,20010618,allocated
apnic,NZ,17808,1,20010704,allocated
apnic,NZ,17902,1,20010810,allocated
apnic,NZ,17994,1,20090302,allocated
apnic,NZ,18006,1,20021203,allocated
apnic,NZ,18015,1,20090818,allocated
apnic,NZ,18017,1,20050729,allocated
apnic,NZ,18021,1,20021204,allocated
apnic,NZ,18119,1,20020320,allocated
apnic,NZ,18159,1,20090414,allocated
apnic,NZ,18198,1,20020419,allocated
apnic,NZ,18199,1,20020422,allocated
apnic,NZ,18202,1,20020424,allocated
apnic,NZ,18203,1,20070801,allocated
apnic,NZ,18348,1,20020717,allocated
apnic,NZ,18352,1,20150904,allocated
apnic,NZ,18353,1,20020723,allocated
apnic,NZ,18378,1,20050803,allocated
apnic,NZ,18400,1,20050803,allocated
apnic,NZ,18406,1,20040323,allocated
apnic,NZ,18407,1,20090909,allocated
apnic,NZ,23603,1,20030114,allocated
apnic,NZ,23655,1,20030224,allocated
apnic,NZ,23684,1,20150904,allocated
apnic,NZ,23710,1,20030407,allocated
apnic,NZ,23735,1,20090909,allocated
apnic,NZ,23737,1,20100729,allocated
apnic,NZ,23746,1,20151008,allocated
apnic,NZ,23754,2,20030527,allocated
apnic,NZ,23838,1,20080410,allocated
apnic,NZ,23869,1,20030729,allocated
apnic,NZ,23878,1,20090720,allocated
apnic,NZ,23904,1,20031001,allocated
apnic,NZ,23905,1,20031001,allocated
apnic,NZ,23916,1,20031022,allocated
apnic,NZ,23934,1,20050916,allocated
apnic,NZ,23958,1,20031121,allocated
apnic,NZ,23960,1,20031121,allocated
apnic,NZ,23973,1,20031211,allocated
apnic,NZ,23977,1,20031216,allocated
apnic,NZ,24005,1,20040128,allocated
apnic,NZ,24006,1,20040128,allocated
apnic,NZ,24011,1,20100219,allocated
apnic,NZ,24025,1,20150904,allocated
apnic,NZ,24054,1,20080530,allocated
apnic,NZ,24074,1,20040604,allocated
