Registry,Country,ASN,Value,Date,Status
ripencc,OM,15679,1,20090731,allocated
ripencc,OM,28885,1,20030326,allocated
ripencc,OM,50010,1,20091026,allocated
ripencc,OM,60680,1,20130530,allocated
ripencc,OM,197508,1,20110104,allocated
ripencc,OM,201413,1,20141103,allocated
ripencc,OM,201684,1,20140814,allocated
ripencc,OM,202655,1,20180426,allocated
ripencc,OM,204170,1,20150806,allocated
ripencc,OM,204974,1,20171128,allocated
ripencc,OM,205171,1,20171025,allocated
ripencc,OM,206350,1,20170207,allocated
ripencc,OM,207865,1,20191113,allocated
ripencc,OM,209576,1,20190115,allocated
ripencc,OM,209726,1,20181217,allocated
ripencc,OM,210962,1,20210803,allocated
ripencc,OM,211302,1,20210518,allocated
ripencc,OM,211521,1,20230517,allocated
ripencc,OM,211889,1,20210203,allocated
ripencc,OM,212661,1,20200914,allocated
ripencc,OM,214375,1,20240812,allocated
ripencc,OM,214982,1,20240502,allocated
