Registry,Country,ASN,Value,Date,Status
lacnic,PA,3551,1,19940414,allocated
lacnic,PA,6193,1,19870101,allocated
lacnic,PA,10391,1,19970723,allocated
lacnic,PA,10476,1,19970819,allocated
lacnic,PA,11556,1,19981002,allocated
lacnic,PA,11673,1,19981110,allocated
lacnic,PA,14377,1,19991205,allocated
lacnic,PA,14709,1,20000128,allocated
lacnic,PA,15075,1,20000315,allocated
lacnic,PA,15241,1,20000406,allocated
lacnic,PA,18809,1,20001013,allocated
lacnic,PA,21599,1,20010530,allocated
lacnic,PA,21883,1,20010705,allocated
lacnic,PA,22010,1,20010724,allocated
lacnic,PA,22227,1,20010822,allocated
lacnic,PA,22382,1,20010919,allocated
lacnic,PA,22628,1,20011026,allocated
lacnic,PA,23360,1,20020305,allocated
lacnic,PA,26105,1,20020708,allocated
lacnic,PA,26426,1,20020917,allocated
lacnic,PA,27649,1,20041011,allocated
lacnic,PA,27679,1,20030611,allocated
lacnic,PA,27687,1,20030611,allocated
lacnic,PA,27716,1,20030821,allocated
lacnic,PA,27723,1,20030930,allocated
lacnic,PA,27726,1,20041129,allocated
lacnic,PA,27749,1,20040615,allocated
lacnic,PA,27755,1,20050128,allocated
lacnic,PA,27760,1,20050311,allocated
lacnic,PA,27764,1,20050401,allocated
lacnic,PA,27778,1,20050721,allocated
lacnic,PA,27783,1,20050830,allocated
lacnic,PA,27786,1,20050921,allocated
lacnic,PA,27788,1,20050927,allocated
lacnic,PA,27796,1,20051108,allocated
lacnic,PA,27802,1,20060109,allocated
lacnic,PA,27812,1,20060316,allocated
lacnic,PA,27819,1,20060403,allocated
lacnic,PA,27832,1,20060607,allocated
lacnic,PA,27842,1,20060720,allocated
lacnic,PA,27850,1,20060915,allocated
lacnic,PA,27854,1,20061002,allocated
lacnic,PA,27860,1,20061010,allocated
lacnic,PA,27867,1,20061023,allocated
lacnic,PA,27873,1,20061226,allocated
lacnic,PA,27914,1,20070719,allocated
lacnic,PA,27915,1,20070720,allocated
lacnic,PA,27922,1,20070820,allocated
lacnic,PA,27928,1,20070911,allocated
lacnic,PA,27930,1,20070913,allocated
lacnic,PA,27936,1,20071011,allocated
lacnic,PA,27938,1,20071025,allocated
lacnic,PA,27939,1,20071025,allocated
lacnic,PA,27944,1,20071128,allocated
lacnic,PA,27945,1,20071206,allocated
lacnic,PA,27956,1,20080130,allocated
lacnic,PA,27959,1,20080214,allocated
lacnic,PA,27972,1,20080603,allocated
lacnic,PA,28018,1,20081114,allocated
lacnic,PA,28030,1,20090115,allocated
lacnic,PA,28031,1,20090122,allocated
lacnic,PA,28043,1,20090311,allocated
lacnic,PA,28061,1,20090624,allocated
lacnic,PA,28062,1,20090624,allocated
lacnic,PA,28063,1,20090626,allocated
lacnic,PA,28064,1,20090703,allocated
lacnic,PA,28071,1,20090724,allocated
lacnic,PA,28079,1,20090826,allocated
lacnic,PA,28112,1,20100120,allocated
lacnic,PA,28113,1,20100201,allocated
lacnic,PA,28316,1,20080916,allocated
arin,PA,36331,1,20230811,assigned
ripencc,PA,48721,1,20090119,allocated
ripencc,PA,51852,1,20101115,allocated
lacnic,PA,52245,1,20100507,allocated
lacnic,PA,52264,1,20100706,allocated
lacnic,PA,52284,1,20101013,allocated
lacnic,PA,52288,1,20101019,allocated
lacnic,PA,52336,1,20110728,allocated
lacnic,PA,52337,1,20110805,allocated
lacnic,PA,52437,1,20130130,allocated
lacnic,PA,52446,1,20130227,allocated
lacnic,PA,52468,1,20130508,allocated
lacnic,PA,52469,1,20130509,allocated
ripencc,PA,60010,1,20180730,allocated
lacnic,PA,61491,1,20140902,allocated
lacnic,PA,61497,1,20150401,allocated
lacnic,PA,61511,1,20151127,allocated
lacnic,PA,64101,1,20160722,allocated
lacnic,PA,64107,1,20171115,allocated
apnic,PA,136787,1,20170628,allocated
apnic,PA,141039,1,20200827,allocated
ripencc,PA,200096,1,20230201,allocated
ripencc,PA,204718,1,20180122,allocated
ripencc,PA,207137,1,20220318,allocated
ripencc,PA,209588,1,20190114,allocated
ripencc,PA,209854,1,20181121,allocated
ripencc,PA,211059,1,20210707,allocated
ripencc,PA,211794,1,20210216,allocated
ripencc,PA,212105,1,20250807,allocated
lacnic,PA,262144,1,20100914,allocated
lacnic,PA,262198,1,20111114,allocated
lacnic,PA,262211,1,20130618,allocated
lacnic,PA,262218,1,20120209,allocated
lacnic,PA,262225,1,20120321,allocated
lacnic,PA,262227,1,20120411,allocated
lacnic,PA,262248,1,20121105,allocated
