Registry,Country,ASN,Value,Date,Status
lacnic,PE,3132,1,19931119,allocated
lacnic,PE,6147,1,19951208,allocated
lacnic,PE,7994,1,19970318,allocated
lacnic,PE,12252,1,20001117,allocated
lacnic,PE,15125,1,20000322,allocated
lacnic,PE,19180,1,20001201,allocated
lacnic,PE,20345,1,20010425,allocated
lacnic,PE,21575,1,20010525,allocated
lacnic,PE,22305,1,20010904,allocated
lacnic,PE,22411,1,20010925,allocated
lacnic,PE,25701,1,20020419,allocated
lacnic,PE,25705,1,20020423,allocated
lacnic,PE,26136,1,20020712,allocated
lacnic,PE,27702,1,20031024,allocated
lacnic,PE,27791,1,20051031,allocated
lacnic,PE,27809,1,20060214,allocated
lacnic,PE,27843,1,20060801,allocated
lacnic,PE,28032,1,20090123,allocated
lacnic,PE,52278,1,20100907,allocated
lacnic,PE,52400,1,20120917,allocated
lacnic,PE,61482,1,20140813,allocated
lacnic,PE,61485,1,20140822,allocated
lacnic,PE,64114,1,20181227,allocated
lacnic,PE,64115,1,20190904,allocated
lacnic,PE,64116,1,20190920,allocated
lacnic,PE,64120,1,20191111,allocated
lacnic,PE,64128,1,20201023,allocated
lacnic,PE,64130,1,20210408,allocated
lacnic,PE,64132,1,20210623,allocated
lacnic,PE,64143,1,20220928,allocated
lacnic,PE,64144,1,20220928,allocated
lacnic,PE,64145,1,20230324,allocated
lacnic,PE,64146,1,20230324,allocated
lacnic,PE,64147,1,20230324,allocated
lacnic,PE,64155,1,20231030,allocated
lacnic,PE,64162,1,20240404,allocated
lacnic,PE,64163,1,20240408,allocated
lacnic,PE,64167,1,20250103,allocated
ripencc,PE,214482,1,20240723,allocated
ripencc,PE,215522,1,20240212,allocated
lacnic,PE,262168,1,20121129,allocated
lacnic,PE,262182,1,20110905,allocated
lacnic,PE,262210,1,20120111,allocated
lacnic,PE,262235,1,20120601,allocated
lacnic,PE,262253,1,20121203,allocated
lacnic,PE,263185,1,20131031,allocated
lacnic,PE,263189,1,20131112,allocated
lacnic,PE,263224,1,20140428,allocated
lacnic,PE,263229,1,20140505,allocated
lacnic,PE,263681,1,20150724,allocated
lacnic,PE,263692,1,20141112,allocated
lacnic,PE,264684,1,20160330,allocated
lacnic,PE,264783,1,20160922,allocated
lacnic,PE,265666,1,20170308,allocated
lacnic,PE,265667,1,20170308,allocated
lacnic,PE,265668,1,20170308,allocated
lacnic,PE,265669,1,20170308,allocated
lacnic,PE,265691,1,20170329,allocated
lacnic,PE,265785,1,20170804,allocated
lacnic,PE,265794,1,20170817,allocated
lacnic,PE,265869,1,20171109,allocated
lacnic,PE,265875,1,20171115,allocated
lacnic,PE,266712,1,20180129,allocated
lacnic,PE,266716,1,20180130,allocated
lacnic,PE,266722,1,20180202,allocated
lacnic,PE,266732,1,20180215,allocated
lacnic,PE,266757,1,20180320,allocated
lacnic,PE,266823,1,20180607,allocated
lacnic,PE,266859,1,20180720,allocated
lacnic,PE,267742,1,20181220,allocated
lacnic,PE,267743,1,20181220,allocated
lacnic,PE,267747,1,20190107,allocated
lacnic,PE,267749,1,20190111,allocated
lacnic,PE,267800,1,20190315,allocated
lacnic,PE,267815,1,20190328,allocated
lacnic,PE,267831,1,20190412,allocated
lacnic,PE,267871,1,20190528,allocated
lacnic,PE,267898,1,20190613,allocated
lacnic,PE,267904,1,20190614,allocated
lacnic,PE,269751,1,20190815,allocated
lacnic,PE,269772,1,20190909,allocated
lacnic,PE,269773,1,20190909,allocated
lacnic,PE,269803,1,20191006,allocated
lacnic,PE,269811,1,20191015,allocated
lacnic,PE,269826,1,20191031,allocated
lacnic,PE,269843,1,20191119,allocated
lacnic,PE,269857,1,20191129,allocated
lacnic,PE,269862,1,20191204,allocated
lacnic,PE,269889,1,20200102,allocated
lacnic,PE,269894,1,20200107,allocated
lacnic,PE,269898,1,20200110,allocated
lacnic,PE,269913,1,20200121,allocated
lacnic,PE,269938,1,20200214,allocated
lacnic,PE,269975,1,20200318,allocated
lacnic,PE,269981,1,20200408,allocated
lacnic,PE,270006,1,20200521,allocated
lacnic,PE,270007,1,20200522,allocated
lacnic,PE,270010,1,20200528,allocated
lacnic,PE,270012,1,20200529,allocated
lacnic,PE,270019,1,20200603,allocated
lacnic,PE,270023,1,20200604,allocated
lacnic,PE,270032,1,20200609,allocated
lacnic,PE,270037,1,20200622,allocated
lacnic,PE,270068,1,20200727,allocated
lacnic,PE,270069,1,20200727,allocated
lacnic,PE,270076,1,20200731,allocated
lacnic,PE,270081,1,20200812,allocated
lacnic,PE,270082,1,20200812,allocated
lacnic,PE,270086,1,20200814,allocated
lacnic,PE,271805,1,20200929,allocated
lacnic,PE,271814,1,20201014,allocated
