Registry,Country,ASN,Value,Date,Status
apnic,PG,17828,1,20070528,allocated
apnic,PG,38009,1,20060505,allocated
apnic,PG,45826,1,20100818,allocated
apnic,PG,45924,1,20091013,allocated
apnic,PG,55792,1,20100929,allocated
apnic,PG,55829,1,20101022,allocated
apnic,PG,58460,1,20111128,allocated
apnic,PG,63945,1,20150213,allocated
apnic,PG,132786,1,20200716,allocated
apnic,PG,133137,1,20131025,allocated
apnic,PG,133428,1,20220406,allocated
apnic,PG,134151,1,20150422,allocated
apnic,PG,134605,1,20180816,allocated
apnic,PG,135571,1,20160615,allocated
apnic,PG,136239,1,20170127,allocated
apnic,PG,136587,1,20170519,allocated
apnic,PG,136802,1,20170706,allocated
apnic,PG,136940,1,20170825,allocated
apnic,PG,137054,1,20241025,allocated
apnic,PG,137064,1,20171106,allocated
apnic,PG,137068,1,20171109,allocated
apnic,PG,138506,1,20181217,allocated
apnic,PG,138902,1,20190313,allocated
apnic,PG,139778,1,20191108,allocated
apnic,PG,139783,1,20191112,allocated
apnic,PG,139898,1,20191219,allocated
apnic,PG,140665,1,20200522,allocated
apnic,PG,140935,1,20200722,allocated
apnic,PG,142269,1,20210514,allocated
apnic,PG,146949,1,20210819,allocated
apnic,PG,147024,1,20210910,allocated
apnic,PG,150392,1,20221029,allocated
apnic,PG,150693,1,20221222,allocated
apnic,PG,151398,1,20230607,allocated
apnic,PG,151647,1,20230803,allocated
apnic,PG,152477,1,20240213,allocated
apnic,PG,152655,1,20240322,allocated
apnic,PG,152883,1,20240524,allocated
apnic,PG,153621,1,20250219,allocated
apnic,PG,153781,1,20250414,allocated
