Registry,Country,ASN,Value,Date,Status
apnic,PH,3550,1,20020801,allocated
apnic,PH,4682,1,19950830,allocated
apnic,PH,4759,1,19960607,allocated
apnic,PH,4775,1,19960809,allocated
apnic,PH,4779,1,20030611,allocated
apnic,PH,4863,1,19950707,allocated
apnic,PH,6163,1,20160718,allocated
apnic,PH,6648,1,20020801,allocated
apnic,PH,7491,1,19970312,allocated
apnic,PH,7495,1,19970324,allocated
apnic,PH,7544,1,20090813,allocated
apnic,PH,7611,1,20031104,allocated
apnic,PH,7629,1,19970924,allocated
apnic,PH,7707,1,19971230,allocated
apnic,PH,9254,1,20080822,allocated
apnic,PH,9299,1,19980416,allocated
apnic,PH,9334,1,19980702,allocated
apnic,PH,9386,1,19980824,allocated
apnic,PH,9410,1,20160512,allocated
apnic,PH,9420,1,20230530,allocated
apnic,PH,9497,1,19990308,allocated
apnic,PH,9658,1,19990903,allocated
apnic,PH,9670,1,19990929,allocated
apnic,PH,9742,1,20030707,allocated
apnic,PH,9821,1,20000111,allocated
apnic,PH,9927,1,20000331,allocated
apnic,PH,10096,1,20000703,allocated
apnic,PH,10107,1,20091201,allocated
apnic,PH,10139,1,20061121,allocated
apnic,PH,10141,1,20070404,allocated
apnic,PH,10224,1,20000929,allocated
apnic,PH,17445,1,20161109,allocated
apnic,PH,17448,1,20110726,allocated
apnic,PH,17452,1,20001108,allocated
apnic,PH,17550,1,20031223,allocated
apnic,PH,17636,1,20010215,allocated
apnic,PH,17639,1,20010216,allocated
apnic,PH,17721,1,20030808,allocated
apnic,PH,17723,1,20080526,allocated
apnic,PH,17749,1,20010510,allocated
apnic,PH,17796,1,20010622,allocated
apnic,PH,17811,1,20220309,allocated
apnic,PH,17894,1,20011107,allocated
apnic,PH,17895,1,20010808,allocated
apnic,PH,17970,1,20011005,allocated
apnic,PH,17973,1,20030624,allocated
apnic,PH,18005,1,20020221,allocated
apnic,PH,18009,1,20050617,allocated
apnic,PH,18016,1,20070410,allocated
apnic,PH,18018,1,20050801,allocated
apnic,PH,18114,1,20020208,allocated
apnic,PH,18115,1,20090904,allocated
apnic,PH,18187,1,20020410,allocated
apnic,PH,18188,1,20020412,allocated
apnic,PH,18190,1,20020415,allocated
apnic,PH,18194,1,20020418,allocated
apnic,PH,18214,1,20050802,allocated
apnic,PH,18226,1,20061121,allocated
apnic,PH,18233,1,20020605,allocated
apnic,PH,18249,1,20020618,allocated
apnic,PH,18360,1,20020802,allocated
apnic,PH,18389,1,20021023,allocated
apnic,PH,18392,1,20021028,allocated
apnic,PH,18396,1,20021030,allocated
apnic,PH,23605,1,20030114,allocated
apnic,PH,23606,1,20030120,allocated
apnic,PH,23660,1,20030301,allocated
apnic,PH,23665,1,20050812,allocated
apnic,PH,23680,1,20030320,allocated
apnic,PH,23689,1,20090925,allocated
apnic,PH,23701,1,20100423,allocated
apnic,PH,23732,1,20030506,allocated
apnic,PH,23862,1,20030707,allocated
apnic,PH,23887,1,20030909,allocated
apnic,PH,23894,1,20030918,allocated
apnic,PH,23930,1,20050915,allocated
apnic,PH,23933,1,20050916,allocated
apnic,PH,23942,1,20180619,allocated
apnic,PH,23944,1,20080528,allocated
apnic,PH,23988,1,20040109,allocated
apnic,PH,23996,1,20040119,allocated
