Registry,Country,ASN,Value,Date,Status
apnic,PK,4615,1,19950629,allocated
apnic,PK,4661,1,20071108,allocated
apnic,PK,7590,1,19970701,allocated
apnic,PK,7605,1,20211213,allocated
apnic,PK,9260,1,20070201,allocated
apnic,PK,9387,1,20090925,allocated
apnic,PK,9541,1,19990601,allocated
apnic,PK,9557,1,19990701,allocated
apnic,PK,9937,1,20091001,allocated
apnic,PK,9940,1,20040205,allocated
apnic,PK,10112,1,20160823,allocated
apnic,PK,17539,1,20010315,allocated
apnic,PK,17557,1,20010105,allocated
apnic,PK,17563,1,20010112,allocated
apnic,PK,17787,1,20010608,allocated
apnic,PK,17911,1,20010817,allocated
apnic,PK,18053,1,20190129,allocated
apnic,PK,18173,1,20021216,allocated
apnic,PK,18212,1,20050802,allocated
apnic,PK,18359,1,20170428,allocated
apnic,PK,23607,1,20181114,allocated
apnic,PK,23674,1,20030318,allocated
apnic,PK,23750,1,20030521,allocated
apnic,PK,23888,1,20030910,allocated
apnic,PK,23966,1,20031202,allocated
apnic,PK,24051,1,20040408,allocated
apnic,PK,24105,1,20210527,allocated
apnic,PK,24435,1,20050426,allocated
apnic,PK,24440,1,20090818,allocated
apnic,PK,24499,1,20051130,allocated
apnic,PK,37973,1,20080606,allocated
apnic,PK,38193,1,20060802,allocated
apnic,PK,38196,1,20060810,allocated
apnic,PK,38264,1,20061017,allocated
apnic,PK,38488,1,20070320,allocated
apnic,PK,38547,1,20070423,allocated
apnic,PK,38584,1,20070608,allocated
apnic,PK,38616,1,20070720,allocated
apnic,PK,38710,1,20070824,allocated
apnic,PK,38713,1,20070827,allocated
apnic,PK,38808,1,20071016,allocated
apnic,PK,45127,1,20080228,allocated
apnic,PK,45195,1,20080428,allocated
apnic,PK,45246,1,20080701,allocated
apnic,PK,45252,1,20080708,allocated
apnic,PK,45446,1,20080922,allocated
apnic,PK,45595,1,20090108,allocated
apnic,PK,45605,1,20090120,allocated
apnic,PK,45669,1,20090331,allocated
apnic,PK,45748,1,20090417,allocated
apnic,PK,45773,1,20090511,allocated
apnic,PK,45779,1,20090515,allocated
apnic,PK,45814,1,20090624,allocated
apnic,PK,45843,1,20090708,allocated
apnic,PK,45939,1,20091020,allocated
apnic,PK,55340,1,20091217,allocated
apnic,PK,55356,1,20100105,allocated
apnic,PK,55399,1,20100128,allocated
apnic,PK,55414,1,20100212,allocated
apnic,PK,55453,1,20100324,allocated
apnic,PK,55483,1,20100415,allocated
apnic,PK,55501,1,20100429,allocated
apnic,PK,55534,1,20100601,allocated
apnic,PK,55541,1,20100608,allocated
apnic,PK,55714,1,20100812,allocated
apnic,PK,55816,1,20101015,allocated
apnic,PK,56052,1,20110126,allocated
apnic,PK,56126,1,20110308,allocated
apnic,PK,56167,1,20110322,allocated
apnic,PK,56192,1,20110407,allocated
apnic,PK,58468,1,20111212,allocated
apnic,PK,58470,1,20111213,allocated
apnic,PK,58506,1,20120103,allocated
apnic,PK,58512,1,20120113,allocated
apnic,PK,58515,1,20120127,allocated
apnic,PK,58602,1,20120514,allocated
apnic,PK,58609,1,20120521,allocated
apnic,PK,58614,1,20120528,allocated
apnic,PK,58617,1,20120529,allocated
apnic,PK,58626,1,20120615,allocated
apnic,PK,58746,1,20121123,allocated
apnic,PK,58876,1,20130319,allocated
apnic,PK,58893,1,20130410,allocated
apnic,PK,58895,1,20130415,allocated
apnic,PK,58974,1,20130724,allocated
apnic,PK,58987,1,20130821,allocated
apnic,PK,59254,1,20131211,allocated
apnic,PK,59257,1,20131217,allocated
apnic,PK,59323,1,20140228,allocated
apnic,PK,63954,1,20150303,allocated
apnic,PK,64093,1,20160311,allocated
apnic,PK,131220,1,20230608,allocated
apnic,PK,131275,1,20180822,allocated
apnic,PK,131471,1,20160718,allocated
apnic,PK,132165,1,20120227,allocated
apnic,PK,132285,1,20160815,allocated
apnic,PK,132386,1,20160818,allocated
apnic,PK,132480,1,20171204,allocated
apnic,PK,132683,1,20160831,allocated
apnic,PK,132741,1,20160901,allocated
apnic,PK,132788,1,20130419,allocated
apnic,PK,132872,1,20190718,allocated
apnic,PK,132891,1,20130702,allocated
apnic,PK,133141,1,20210215,allocated
apnic,PK,133170,1,20220420,allocated
apnic,PK,133495,1,20140523,allocated
apnic,PK,133551,1,20221130,allocated
apnic,PK,133628,1,20210602,allocated
apnic,PK,133932,1,20150123,allocated
apnic,PK,133933,1,20150123,allocated
apnic,PK,134222,1,20230816,allocated
apnic,PK,134231,1,20250719,allocated
apnic,PK,134357,1,20220530,allocated
apnic,PK,134447,1,20150806,allocated
apnic,PK,134489,1,20201229,allocated
apnic,PK,134596,1,20180813,allocated
apnic,PK,134598,1,20180814,allocated
apnic,PK,134663,1,20230120,allocated
apnic,PK,134737,1,20200229,allocated
apnic,PK,134782,1,20181217,allocated
apnic,PK,135003,1,20170224,allocated
apnic,PK,135046,1,20241125,allocated
apnic,PK,135115,1,20250512,allocated
apnic,PK,135123,1,20160224,allocated
apnic,PK,135316,1,20180519,allocated
apnic,PK,135342,1,20160413,allocated
apnic,PK,135384,1,20160429,allocated
apnic,PK,135407,1,20160506,allocated
apnic,PK,135523,1,20160602,allocated
apnic,PK,135567,1,20181002,allocated
apnic,PK,135576,1,20201123,allocated
apnic,PK,135598,1,20220906,allocated
apnic,PK,135632,1,20161014,allocated
apnic,PK,135660,1,20200302,allocated
apnic,PK,135661,1,20161101,allocated
apnic,PK,135891,1,20161110,allocated
apnic,PK,136012,1,20200413,allocated
apnic,PK,136030,1,20161128,allocated
apnic,PK,136046,1,20161130,allocated
apnic,PK,136142,1,20230908,allocated
apnic,PK,136174,1,20180110,allocated
apnic,PK,136184,1,20170112,allocated
apnic,PK,136225,1,20170120,allocated
apnic,PK,136259,1,20170210,allocated
apnic,PK,136263,1,20170213,allocated
apnic,PK,136274,1,20170215,allocated
apnic,PK,136384,1,20170218,allocated
apnic,PK,136427,1,20170308,allocated
apnic,PK,136525,1,20170502,allocated
apnic,PK,136602,1,20170525,allocated
apnic,PK,136610,1,20170530,allocated
apnic,PK,136730,1,20170608,allocated
apnic,PK,136790,1,20200304,allocated
apnic,PK,136969,1,20170912,allocated
apnic,PK,136974,1,20170913,allocated
apnic,PK,136981,1,20221130,allocated
apnic,PK,137014,1,20171009,allocated
apnic,PK,137031,1,20171018,allocated
apnic,PK,137047,1,20171025,allocated
apnic,PK,137224,1,20210311,allocated
apnic,PK,137233,1,20220914,allocated
apnic,PK,137235,1,20171212,allocated
apnic,PK,137237,1,20171212,allocated
apnic,PK,137258,1,20171219,allocated
apnic,PK,137265,1,20171221,allocated
apnic,PK,137461,1,20180214,allocated
apnic,PK,137481,1,20180227,allocated
apnic,PK,137513,1,20180314,allocated
apnic,PK,137517,1,20180316,allocated
apnic,PK,137561,1,20180411,allocated
apnic,PK,137910,1,20250214,allocated
apnic,PK,138019,1,20180730,allocated
apnic,PK,138039,1,20180803,allocated
apnic,PK,138172,1,20180830,allocated
apnic,PK,138241,1,20220815,allocated
apnic,PK,138324,1,20180925,allocated
apnic,PK,138349,1,20181012,allocated
apnic,PK,138368,1,20181024,allocated
apnic,PK,138423,1,20181113,allocated
apnic,PK,138424,1,20181113,allocated
apnic,PK,138426,1,20181114,allocated
apnic,PK,138432,1,20220211,allocated
apnic,PK,138444,1,20181118,allocated
apnic,PK,138453,1,20181123,allocated
apnic,PK,138467,1,20231229,allocated
apnic,PK,138590,1,20190131,allocated
apnic,PK,138625,1,20190219,allocated
apnic,PK,138655,1,20190227,allocated
apnic,PK,138677,1,20240623,allocated
apnic,PK,138910,1,20210606,allocated
apnic,PK,138914,1,20230316,allocated
apnic,PK,138926,1,20210708,allocated
apnic,PK,138955,1,20201123,allocated
apnic,PK,138971,1,20190405,allocated
apnic,PK,138985,1,20190411,allocated
apnic,PK,139024,1,20190427,allocated
apnic,PK,139043,1,20190507,allocated
apnic,PK,139067,1,20190515,allocated
apnic,PK,139087,1,20190524,allocated
apnic,PK,139088,1,20190526,allocated
apnic,PK,139218,1,20220322,allocated
apnic,PK,139219,1,20190530,allocated
apnic,PK,139260,1,20190626,allocated
apnic,PK,139292,1,20190708,allocated
apnic,PK,139302,1,20190710,allocated
apnic,PK,139351,1,20190725,allocated
apnic,PK,139577,1,20190806,allocated
apnic,PK,139598,1,20211220,allocated
apnic,PK,139621,1,20210531,allocated
apnic,PK,139718,1,20191010,allocated
apnic,PK,139820,1,20230214,allocated
apnic,PK,139824,1,20191126,allocated
apnic,PK,139879,1,20191212,allocated
apnic,PK,139925,1,20200103,allocated
apnic,PK,140039,1,20200116,allocated
apnic,PK,140045,1,20200117,allocated
apnic,PK,140100,1,20200212,allocated
apnic,PK,140208,1,20200214,allocated
apnic,PK,140210,1,20200215,allocated
apnic,PK,140307,1,20230717,allocated
apnic,PK,140499,1,20200327,allocated
apnic,PK,140571,1,20200414,allocated
apnic,PK,140579,1,20200416,allocated
apnic,PK,140594,1,20200422,allocated
apnic,PK,140607,1,20200428,allocated
apnic,PK,140608,1,20200429,allocated
apnic,PK,140658,1,20200515,allocated
apnic,PK,140667,1,20250224,allocated
apnic,PK,140692,1,20220920,allocated
apnic,PK,140697,1,20200603,allocated
apnic,PK,140721,1,20200612,allocated
apnic,PK,140732,1,20200616,allocated
apnic,PK,140900,1,20200709,allocated
apnic,PK,140941,1,20200722,allocated
apnic,PK,140998,1,20200707,allocated
apnic,PK,141008,1,20200817,allocated
apnic,PK,141020,1,20200821,allocated
apnic,PK,141023,1,20200824,allocated
apnic,PK,141031,1,20200825,allocated
apnic,PK,141164,1,20200908,allocated
apnic,PK,141212,1,20200925,allocated
apnic,PK,141215,1,20200925,allocated
apnic,PK,141234,1,20201005,allocated
apnic,PK,141342,1,20201010,allocated
apnic,PK,141343,1,20201013,allocated
apnic,PK,141347,1,20201014,allocated
apnic,PK,141361,1,20201020,allocated
apnic,PK,141369,1,20201022,allocated
apnic,PK,141372,1,20201023,allocated
apnic,PK,141377,1,20201027,allocated
apnic,PK,141380,1,20220609,allocated
apnic,PK,141395,1,20221219,allocated
apnic,PK,141421,1,20230208,allocated
apnic,PK,141431,1,20201125,allocated
apnic,PK,141432,1,20201125,allocated
apnic,PK,141450,1,20201204,allocated
apnic,PK,141705,1,20210201,allocated
apnic,PK,141711,1,20210204,allocated
apnic,PK,141717,1,20210205,allocated
apnic,PK,141725,1,20220218,allocated
apnic,PK,141778,1,20210304,allocated
apnic,PK,141990,1,20210309,allocated
apnic,PK,142000,1,20210312,allocated
apnic,PK,142063,1,20210420,allocated
apnic,PK,142120,1,20210423,allocated
apnic,PK,142127,1,20210427,allocated
apnic,PK,142150,1,20210504,allocated
apnic,PK,142268,1,20241120,allocated
apnic,PK,142291,1,20210525,allocated
apnic,PK,142295,1,20210527,allocated
apnic,PK,142300,1,20210531,allocated
apnic,PK,142302,1,20210601,allocated
apnic,PK,142405,1,20220606,allocated
apnic,PK,142421,1,20210609,allocated
apnic,PK,142552,1,20210626,allocated
apnic,PK,142559,1,20210630,allocated
apnic,PK,142618,1,20220805,allocated
apnic,PK,142647,1,20210816,allocated
apnic,PK,146955,1,20210820,allocated
apnic,PK,146998,1,20210831,allocated
apnic,PK,147018,1,20210907,allocated
apnic,PK,147031,1,20210914,allocated
apnic,PK,147055,1,20210924,allocated
apnic,PK,147057,1,20210927,allocated
apnic,PK,147066,1,20211001,allocated
apnic,PK,147068,1,20210825,allocated
apnic,PK,147291,1,20211008,allocated
apnic,PK,147302,1,20240902,allocated
apnic,PK,147315,1,20211018,allocated
apnic,PK,148980,1,20211026,allocated
apnic,PK,149009,1,20211110,allocated
apnic,PK,149012,1,20211112,allocated
apnic,PK,149021,1,20211119,allocated
apnic,PK,149023,1,20211122,allocated
apnic,PK,149280,1,20211209,allocated
apnic,PK,149283,1,20211209,allocated
apnic,PK,149307,1,20211221,allocated
apnic,PK,149308,1,20211222,allocated
apnic,PK,149419,1,20220105,allocated
apnic,PK,149454,1,20220118,allocated
apnic,PK,149456,1,20220119,allocated
apnic,PK,149484,1,20220128,allocated
apnic,PK,149495,1,20220204,allocated
apnic,PK,149775,1,20220407,allocated
apnic,PK,149776,1,20220408,allocated
apnic,PK,149786,1,20220413,allocated
apnic,PK,149788,1,20220413,allocated
apnic,PK,149792,1,20220414,allocated
apnic,PK,149844,1,20220525,allocated
apnic,PK,149850,1,20220526,allocated
apnic,PK,149869,1,20220615,allocated
apnic,PK,149870,1,20220616,allocated
apnic,PK,149984,1,20220624,allocated
apnic,PK,149986,1,20220624,allocated
apnic,PK,150108,1,20240919,allocated
apnic,PK,150116,1,20220708,allocated
apnic,PK,150129,1,20220715,allocated
apnic,PK,150130,1,20220715,allocated
apnic,PK,150147,1,20220726,allocated
apnic,PK,150167,1,20220822,allocated
apnic,PK,150177,1,20220825,allocated
apnic,PK,150308,1,20220907,allocated
apnic,PK,150311,1,20220912,allocated
apnic,PK,150315,1,20220913,allocated
apnic,PK,150324,1,20220921,allocated
apnic,PK,150350,1,20221006,allocated
apnic,PK,150353,1,20221010,allocated
apnic,PK,150371,1,20221013,allocated
apnic,PK,150377,1,20221021,allocated
apnic,PK,150382,1,20221025,allocated
apnic,PK,150387,1,20221026,allocated
apnic,PK,150393,1,20221030,allocated
apnic,PK,150671,1,20221207,allocated
apnic,PK,150683,1,20221212,allocated
apnic,PK,150697,1,20221224,allocated
apnic,PK,150713,1,20230109,allocated
apnic,PK,150724,1,20230118,allocated
apnic,PK,150750,1,20230206,allocated
apnic,PK,150775,1,20250513,allocated
apnic,PK,150784,1,20230226,allocated
apnic,PK,150790,1,20230301,allocated
apnic,PK,150809,1,20230310,allocated
apnic,PK,151048,1,20230323,allocated
apnic,PK,151051,1,20230326,allocated
apnic,PK,151189,1,20230418,allocated
apnic,PK,151201,1,20230427,allocated
apnic,PK,151330,1,20230515,allocated
apnic,PK,151333,1,20230516,allocated
apnic,PK,151340,1,20230517,allocated
apnic,PK,151365,1,20230530,allocated
apnic,PK,151410,1,20230619,allocated
apnic,PK,151467,1,20230624,allocated
apnic,PK,151473,1,20230626,allocated
apnic,PK,151604,1,20230707,allocated
apnic,PK,151636,1,20230728,allocated
apnic,PK,151646,1,20230802,allocated
apnic,PK,151648,1,20230804,allocated
apnic,PK,151659,1,20230808,allocated
apnic,PK,151818,1,20230925,allocated
apnic,PK,151844,1,20231005,allocated
apnic,PK,151848,1,20231006,allocated
apnic,PK,151972,1,20231017,allocated
apnic,PK,151983,1,20231025,allocated
apnic,PK,152146,1,20231129,allocated
apnic,PK,152148,1,20231207,allocated
apnic,PK,152151,1,20231207,allocated
apnic,PK,152155,1,20231210,allocated
apnic,PK,152296,1,20240101,allocated
apnic,PK,152333,1,20240117,allocated
apnic,PK,152444,1,20240125,allocated
apnic,PK,152591,1,20240227,allocated
