Registry,Country,ASN,Value,Date,Status
ripencc,PL,1887,1,19930901,allocated
ripencc,PL,2115,1,20110202,allocated
ripencc,PL,2590,1,20151124,allocated
ripencc,PL,2821,1,20151120,allocated
ripencc,PL,3165,1,20120425,allocated
ripencc,PL,3169,1,20120426,allocated
ripencc,PL,5526,1,20090121,allocated
ripencc,PL,5550,1,19971021,allocated
ripencc,PL,5582,1,20151027,allocated
ripencc,PL,5593,1,19960329,allocated
ripencc,PL,5617,1,19960429,allocated
ripencc,PL,5629,1,20060613,allocated
ripencc,PL,6681,1,20100312,allocated
ripencc,PL,6714,1,19960716,allocated
ripencc,PL,6778,1,19961001,allocated
ripencc,PL,6873,1,20090727,allocated
ripencc,PL,8246,1,19970320,allocated
ripencc,PL,8256,1,19970404,allocated
ripencc,PL,8267,1,19970410,allocated
ripencc,PL,8286,1,19970423,allocated
ripencc,PL,8308,1,19970512,allocated
ripencc,PL,8323,1,19970529,allocated
ripencc,PL,8326,1,19990827,allocated
ripencc,PL,8364,1,19970630,allocated
ripencc,PL,8374,1,19970707,allocated
ripencc,PL,8380,1,20090727,allocated
ripencc,PL,8458,1,20060407,allocated
ripencc,PL,8459,1,19970904,allocated
ripencc,PL,8477,1,20021011,allocated
ripencc,PL,8501,1,19971010,allocated
ripencc,PL,8508,1,19971013,allocated
ripencc,PL,8535,1,19971111,allocated
ripencc,PL,8545,1,20021011,allocated
ripencc,PL,8588,1,20080908,allocated
ripencc,PL,8633,1,19980123,allocated
ripencc,PL,8664,1,19980213,allocated
ripencc,PL,8726,1,19980324,allocated
ripencc,PL,8766,1,19980427,allocated
ripencc,PL,8798,1,19980527,allocated
ripencc,PL,8819,1,20061228,allocated
ripencc,PL,8834,1,20070308,allocated
ripencc,PL,8865,1,19980702,allocated
ripencc,PL,8886,1,19980715,allocated
ripencc,PL,8890,1,19980717,allocated
ripencc,PL,8938,1,19980820,allocated
ripencc,PL,8962,1,20090819,allocated
ripencc,PL,8970,1,19980909,allocated
ripencc,PL,9016,1,20110615,allocated
ripencc,PL,9048,1,20151007,allocated
ripencc,PL,9085,1,19981204,allocated
ripencc,PL,9103,1,19981215,allocated
ripencc,PL,9112,1,19981223,allocated
ripencc,PL,9141,1,19990108,allocated
ripencc,PL,12324,1,19990312,allocated
ripencc,PL,12328,1,20110615,allocated
ripencc,PL,12346,1,19990326,allocated
ripencc,PL,12423,1,19990514,allocated
ripencc,PL,12464,1,19990604,allocated
ripencc,PL,12476,1,19990609,allocated
ripencc,PL,12580,1,19990803,allocated
ripencc,PL,12618,1,19990827,allocated
ripencc,PL,12642,1,20100423,allocated
ripencc,PL,12741,1,19991021,allocated
ripencc,PL,12743,1,19991021,allocated
ripencc,PL,12774,1,20080408,allocated
ripencc,PL,12824,1,19991126,allocated
ripencc,PL,12827,1,19991130,allocated
ripencc,PL,12831,1,19991201,allocated
ripencc,PL,12887,1,19991223,allocated
ripencc,PL,12912,1,19991230,allocated
ripencc,PL,12966,1,20000128,allocated
ripencc,PL,12968,1,20000131,allocated
ripencc,PL,12985,1,20110331,allocated
ripencc,PL,12990,1,20000211,allocated
ripencc,PL,12992,1,20000214,allocated
ripencc,PL,13000,1,20051208,allocated
ripencc,PL,13065,1,20000308,allocated
ripencc,PL,13086,1,20000314,allocated
ripencc,PL,13110,1,20000321,allocated
ripencc,PL,13119,1,20000323,allocated
ripencc,PL,13274,1,20000519,allocated
ripencc,PL,13293,1,20000526,allocated
ripencc,PL,15373,1,20000607,allocated
ripencc,PL,15391,1,20150915,allocated
ripencc,PL,15396,1,20000619,allocated
ripencc,PL,15443,1,20000629,allocated
ripencc,PL,15470,1,20071219,allocated
ripencc,PL,15478,1,20150914,allocated
ripencc,PL,15503,1,20000719,allocated
ripencc,PL,15507,1,20080331,allocated
ripencc,PL,15541,1,20000731,allocated
ripencc,PL,15563,1,20090820,allocated
ripencc,PL,15587,1,20000810,allocated
ripencc,PL,15606,1,20000818,allocated
ripencc,PL,15618,1,20061123,allocated
ripencc,PL,15624,1,20110921,allocated
ripencc,PL,15665,1,20000906,allocated
ripencc,PL,15694,1,20000913,allocated
ripencc,PL,15728,1,20000929,allocated
ripencc,PL,15744,1,20001003,allocated
ripencc,PL,15772,1,20001010,allocated
ripencc,PL,15787,1,20001013,allocated
ripencc,PL,15798,1,20001016,allocated
ripencc,PL,15851,1,20001024,allocated
ripencc,PL,15855,1,20001024,allocated
ripencc,PL,15857,1,20001024,allocated
ripencc,PL,15874,1,20120312,allocated
ripencc,PL,15902,1,20001030,allocated
ripencc,PL,15967,1,20001115,allocated
ripencc,PL,15969,1,20110202,allocated
ripencc,PL,15993,1,20001121,allocated
ripencc,PL,15997,1,20001121,allocated
ripencc,PL,16110,1,20110120,allocated
ripencc,PL,16138,1,20010104,allocated
ripencc,PL,16167,1,20010110,allocated
ripencc,PL,16182,1,20010116,allocated
ripencc,PL,16263,1,20020416,allocated
ripencc,PL,16274,1,20010214,allocated
ripencc,PL,16283,1,20010216,allocated
ripencc,PL,16288,1,20010219,allocated
ripencc,PL,16290,1,20010220,allocated
ripencc,PL,16291,1,20090122,allocated
ripencc,PL,16296,1,20010220,allocated
ripencc,PL,16340,1,20010306,allocated
ripencc,PL,16342,1,20010306,allocated
ripencc,PL,16380,1,20010312,allocated
ripencc,PL,20486,1,20010313,allocated
ripencc,PL,20491,1,20010314,allocated
ripencc,PL,20552,1,20010330,allocated
ripencc,PL,20553,1,20010330,allocated
ripencc,PL,20555,1,20010330,allocated
ripencc,PL,20592,1,20150812,allocated
ripencc,PL,20656,1,20010427,allocated
ripencc,PL,20670,1,20110615,allocated
ripencc,PL,20763,1,20010522,allocated
ripencc,PL,20781,1,20010528,allocated
ripencc,PL,20804,1,20010605,allocated
ripencc,PL,20808,1,20010605,allocated
ripencc,PL,20853,1,20010619,allocated
ripencc,PL,20889,1,20060315,allocated
ripencc,PL,20898,1,20010702,allocated
ripencc,PL,20909,1,20010706,allocated
ripencc,PL,20938,1,20010710,allocated
ripencc,PL,20947,1,20010710,allocated
ripencc,PL,20960,1,20020527,allocated
ripencc,PL,20961,1,20010712,allocated
ripencc,PL,20983,1,20010717,allocated
ripencc,PL,21010,1,20010726,allocated
ripencc,PL,21021,1,20010730,allocated
ripencc,PL,21064,1,20010813,allocated
ripencc,PL,21068,1,20010814,allocated
ripencc,PL,21111,1,20010830,allocated
ripencc,PL,21123,1,20010903,allocated
ripencc,PL,21132,1,20010904,allocated
ripencc,PL,21169,1,20010914,allocated
ripencc,PL,21182,1,20010918,allocated
ripencc,PL,21187,1,20010920,allocated
ripencc,PL,21243,1,20011004,allocated
ripencc,PL,21244,1,20011004,allocated
ripencc,PL,21288,1,20011017,allocated
ripencc,PL,21321,1,20011031,allocated
ripencc,PL,21324,1,20011101,allocated
ripencc,PL,21328,1,20011101,allocated
ripencc,PL,21344,1,20011106,allocated
ripencc,PL,21390,1,20011123,allocated
ripencc,PL,21395,1,20011126,allocated
ripencc,PL,21404,1,20011128,allocated
ripencc,PL,21495,1,20080624,allocated
ripencc,PL,24577,1,20150717,allocated
ripencc,PL,24578,1,20080930,allocated
ripencc,PL,24597,1,20020114,allocated
ripencc,PL,24619,1,20020122,allocated
ripencc,PL,24685,1,20020218,allocated
ripencc,PL,24723,1,20020312,allocated
ripencc,PL,24724,1,20020305,allocated
ripencc,PL,24732,1,20020306,allocated
ripencc,PL,24738,1,20020308,allocated
ripencc,PL,24740,1,20020308,allocated
ripencc,PL,24748,1,20020312,allocated
ripencc,PL,24756,1,20020816,allocated
ripencc,PL,24848,1,20020422,allocated
ripencc,PL,24879,1,20020503,allocated
ripencc,PL,24906,1,20020514,allocated
ripencc,PL,24918,1,20020522,allocated
ripencc,PL,24929,1,20150703,allocated
ripencc,PL,24985,1,20020618,allocated
ripencc,PL,25055,1,20020709,allocated
ripencc,PL,25070,1,20020719,allocated
ripencc,PL,25075,1,20020719,allocated
ripencc,PL,25084,1,20020722,allocated
ripencc,PL,25154,1,20150626,allocated
