Registry,Country,ASN,Value,Date,Status
arin,PR,3682,1,19940617,assigned
arin,PR,3838,1,20180123,assigned
arin,PR,5106,1,20101202,assigned
arin,PR,5786,1,19951024,assigned
arin,PR,6208,1,20231220,assigned
arin,PR,10396,1,19970711,assigned
arin,PR,10524,1,20081204,assigned
arin,PR,10937,1,19980203,assigned
arin,PR,11367,1,19980727,assigned
arin,PR,11653,1,19981104,assigned
arin,PR,11907,1,20170807,assigned
arin,PR,11992,1,19990223,assigned
arin,PR,12043,1,20250421,assigned
arin,PR,12206,1,20100304,assigned
arin,PR,13568,1,19990702,assigned
arin,PR,14534,1,20170816,assigned
arin,PR,14920,1,20000225,assigned
arin,PR,14957,1,20100715,assigned
arin,PR,14974,1,20000301,assigned
arin,PR,14979,1,20080313,assigned
arin,PR,15261,1,20101012,assigned
arin,PR,16649,1,20050628,assigned
arin,PR,18804,1,20200609,assigned
arin,PR,18895,1,20001024,assigned
arin,PR,19163,1,20230111,assigned
arin,PR,20372,1,20010430,assigned
arin,PR,21559,1,20100707,assigned
arin,PR,21944,1,20141119,assigned
arin,PR,22162,1,20080611,assigned
arin,PR,22555,1,20131209,assigned
arin,PR,22888,1,20011210,assigned
arin,PR,23114,1,20020124,assigned
arin,PR,23379,1,20171211,assigned
arin,PR,23534,1,20090203,assigned
arin,PR,26027,1,20180125,assigned
arin,PR,27024,1,20220707,assigned
arin,PR,27213,1,20080509,assigned
arin,PR,29857,1,20210317,assigned
arin,PR,30201,1,20240529,assigned
arin,PR,30294,1,20180813,assigned
arin,PR,30440,1,20031008,assigned
arin,PR,30526,1,20031030,assigned
arin,PR,30684,1,20240401,assigned
arin,PR,33315,1,20110318,assigned
arin,PR,35892,1,20171208,assigned
arin,PR,36064,1,20240305,assigned
arin,PR,36435,1,20171212,assigned
arin,PR,36810,1,20060503,assigned
arin,PR,39963,1,20060525,assigned
arin,PR,40414,1,20070215,assigned
arin,PR,40880,1,20200423,assigned
arin,PR,40906,1,20080515,assigned
arin,PR,46635,1,20120402,assigned
arin,PR,46793,1,20200128,assigned
arin,PR,46839,1,20090330,assigned
arin,PR,46865,1,20240311,assigned
arin,PR,46868,1,20100504,assigned
arin,PR,46869,1,20100514,assigned
arin,PR,46931,1,20190123,assigned
arin,PR,46941,1,20090513,assigned
arin,PR,46962,1,20180119,assigned
arin,PR,53764,1,20110512,assigned
arin,PR,54123,1,20111007,assigned
arin,PR,54835,1,20230414,assigned
arin,PR,54848,1,20120907,assigned
arin,PR,55068,1,20250328,assigned
arin,PR,62627,1,20130725,assigned
arin,PR,62913,1,20131115,assigned
arin,PR,62931,1,20131125,assigned
arin,PR,63058,1,20220801,assigned
arin,PR,63240,1,20180313,assigned
arin,PR,63308,1,20141117,assigned
arin,PR,63393,1,20150206,assigned
arin,PR,393573,1,20140814,assigned
arin,PR,393678,1,20220513,assigned
arin,PR,393937,1,20150430,assigned
arin,PR,394590,1,20221201,assigned
arin,PR,394743,1,20181009,assigned
arin,PR,394963,1,20160304,assigned
arin,PR,395471,1,20160819,assigned
arin,PR,395902,1,20170123,assigned
arin,PR,395968,1,20220816,assigned
arin,PR,396055,1,20170223,assigned
arin,PR,396082,1,20170303,assigned
arin,PR,396899,1,20180607,assigned
arin,PR,397072,1,20180924,assigned
arin,PR,397359,1,20190306,assigned
arin,PR,397399,1,20190318,assigned
arin,PR,397470,1,20190405,assigned
arin,PR,397566,1,20190510,assigned
arin,PR,397598,1,20190520,assigned
arin,PR,397674,1,20190625,assigned
arin,PR,397920,1,20190910,assigned
arin,PR,397939,1,20190913,assigned
arin,PR,398317,1,20200423,assigned
arin,PR,398326,1,20200427,assigned
arin,PR,399126,1,20201221,assigned
arin,PR,399291,1,20210127,assigned
arin,PR,399294,1,20210127,assigned
arin,PR,399412,1,20210304,assigned
arin,PR,399444,1,20210315,assigned
arin,PR,399599,1,20210422,assigned
arin,PR,399826,1,20210629,assigned
arin,PR,399831,1,20210630,assigned
arin,PR,400154,1,20211021,assigned
arin,PR,400266,1,20211130,assigned
arin,PR,400333,1,20211222,assigned
arin,PR,400354,1,20220107,assigned
arin,PR,400443,1,20220211,assigned
arin,PR,400939,1,20240217,assigned
arin,PR,401007,1,20240419,assigned
arin,PR,401013,1,20240422,assigned
arin,PR,401022,1,20240423,assigned
arin,PR,401140,1,20240605,assigned
arin,PR,401421,1,20241021,assigned
arin,PR,401436,1,20241023,assigned
arin,PR,401831,1,20250716,assigned
