Registry,Country,ASN,Value,Date,Status
ripencc,PS,12754,1,20091111,allocated
ripencc,PS,12975,1,20000522,allocated
ripencc,PS,15975,1,20001116,allocated
ripencc,PS,20719,1,20010514,allocated
ripencc,PS,25586,1,20030120,allocated
ripencc,PS,29310,1,20030729,allocated
ripencc,PS,31408,1,20120131,allocated
ripencc,PS,34008,1,20150506,allocated
ripencc,PS,35385,1,20050728,allocated
ripencc,PS,41347,1,20060727,allocated
ripencc,PS,42013,1,20170621,allocated
ripencc,PS,42314,1,20070131,allocated
ripencc,PS,42506,1,20070305,allocated
ripencc,PS,44075,1,20180806,allocated
ripencc,PS,44213,1,20180711,allocated
ripencc,PS,47154,1,20220301,allocated
ripencc,PS,47253,1,20080526,allocated
ripencc,PS,47546,1,20160329,allocated
ripencc,PS,48270,1,20160307,allocated
ripencc,PS,48966,1,20090313,allocated
ripencc,PS,49248,1,20090506,allocated
ripencc,PS,50330,1,20091221,allocated
ripencc,PS,51336,1,20100727,allocated
ripencc,PS,51407,1,20100816,allocated
ripencc,PS,51440,1,20100826,allocated
ripencc,PS,51737,1,20101028,allocated
ripencc,PS,52145,1,20110107,allocated
ripencc,PS,56787,1,20110516,allocated
ripencc,PS,56922,1,20110614,allocated
ripencc,PS,56995,1,20110630,allocated
ripencc,PS,57704,1,20120119,allocated
ripencc,PS,59394,1,20120703,allocated
ripencc,PS,59973,1,20211116,allocated
ripencc,PS,60268,1,20130822,allocated
ripencc,PS,60353,1,20191007,allocated
ripencc,PS,61274,1,20200326,allocated
ripencc,PS,61417,1,20121018,allocated
ripencc,PS,62027,1,20150428,allocated
ripencc,PS,64400,1,20160909,allocated
ripencc,PS,196725,1,20100107,allocated
ripencc,PS,197350,1,20101027,allocated
ripencc,PS,197708,1,20230720,allocated
ripencc,PS,199046,1,20120726,allocated
ripencc,PS,199895,1,20131217,allocated
ripencc,PS,199979,1,20230207,allocated
ripencc,PS,200027,1,20230203,allocated
ripencc,PS,203479,1,20160105,allocated
ripencc,PS,203905,1,20151006,allocated
ripencc,PS,204626,1,20180206,allocated
ripencc,PS,205066,1,20220516,allocated
ripencc,PS,205205,1,20171016,allocated
ripencc,PS,207521,1,20200120,allocated
ripencc,PS,207951,1,20230810,allocated
ripencc,PS,208031,1,20191014,allocated
ripencc,PS,208071,1,20191007,allocated
ripencc,PS,208473,1,20190729,allocated
ripencc,PS,208661,1,20190626,allocated
ripencc,PS,210059,1,20181016,allocated
ripencc,PS,210116,1,20181005,allocated
ripencc,PS,210476,1,20250728,allocated
ripencc,PS,210478,1,20250527,allocated
ripencc,PS,210974,1,20210729,allocated
ripencc,PS,210990,1,20210727,allocated
ripencc,PS,211057,1,20210707,allocated
ripencc,PS,211466,1,20210416,allocated
ripencc,PS,213207,1,20200520,allocated
ripencc,PS,214920,1,20240513,allocated
ripencc,PS,215860,1,20231211,allocated
ripencc,PS,215886,1,20231206,allocated
