Registry,Country,ASN,Value,Date,Status
ripencc,PT,1897,1,19920922,allocated
ripencc,PT,1930,1,19930901,allocated
ripencc,PT,2860,1,19940118,allocated
ripencc,PT,3243,1,19940729,allocated
ripencc,PT,5516,1,19960116,allocated
ripencc,PT,5533,1,19960130,allocated
ripencc,PT,5626,1,19960605,allocated
ripencc,PT,6424,1,19960409,allocated
ripencc,PT,6773,1,19960924,allocated
ripencc,PT,8609,1,19980102,allocated
ripencc,PT,8657,1,19980210,allocated
ripencc,PT,9118,1,19981224,allocated
ripencc,PT,9186,1,19990205,allocated
ripencc,PT,12305,1,19990301,allocated
ripencc,PT,12353,1,19990406,allocated
ripencc,PT,12527,1,19990701,allocated
ripencc,PT,12542,1,19990707,allocated
ripencc,PT,12833,1,19991201,allocated
ripencc,PT,12926,1,20000107,allocated
ripencc,PT,13134,1,20000329,allocated
ripencc,PT,13156,1,20000412,allocated
ripencc,PT,13200,1,20000503,allocated
ripencc,PT,15457,1,20000704,allocated
ripencc,PT,15525,1,20000727,allocated
ripencc,PT,24698,1,20020225,allocated
ripencc,PT,24768,1,20091112,allocated
ripencc,PT,25005,1,20020620,allocated
ripencc,PT,25060,1,20020715,allocated
ripencc,PT,25253,1,20020912,allocated
ripencc,PT,28672,1,20030124,allocated
ripencc,PT,28998,1,20030505,allocated
ripencc,PT,29003,1,20030506,allocated
ripencc,PT,29615,1,20150526,allocated
ripencc,PT,29673,1,20031107,allocated
ripencc,PT,31401,1,20040506,allocated
ripencc,PT,31413,1,20040510,allocated
ripencc,PT,31497,1,20040528,allocated
ripencc,PT,33813,1,20040806,allocated
ripencc,PT,33876,1,20040901,allocated
ripencc,PT,34122,1,20100526,allocated
ripencc,PT,34425,1,20200102,allocated
ripencc,PT,34643,1,20191101,allocated
ripencc,PT,34873,1,20050422,allocated
ripencc,PT,35038,1,20050520,allocated
ripencc,PT,35757,1,20181126,allocated
ripencc,PT,35822,1,20051107,allocated
ripencc,PT,38993,1,20051124,allocated
ripencc,PT,39384,1,20180115,allocated
ripencc,PT,41058,1,20170926,allocated
ripencc,PT,41159,1,20060622,allocated
ripencc,PT,41345,1,20060727,allocated
ripencc,PT,41425,1,20170802,allocated
ripencc,PT,41708,1,20061012,allocated
ripencc,PT,41962,1,20150126,allocated
ripencc,PT,42580,1,20070316,allocated
ripencc,PT,42863,1,20070426,allocated
ripencc,PT,43062,1,20070531,allocated
ripencc,PT,43064,1,20070601,allocated
ripencc,PT,43643,1,20070905,allocated
ripencc,PT,43652,1,20150113,allocated
ripencc,PT,43887,1,20071016,allocated
ripencc,PT,43990,1,20071031,allocated
ripencc,PT,44055,1,20180425,allocated
ripencc,PT,44222,1,20150205,allocated
ripencc,PT,44785,1,20080310,allocated
ripencc,PT,47202,1,20080515,allocated
ripencc,PT,47310,1,20080602,allocated
ripencc,PT,47784,1,20080819,allocated
ripencc,PT,47787,1,20180920,allocated
ripencc,PT,47943,1,20211001,allocated
ripencc,PT,49260,1,20180627,allocated
ripencc,PT,49349,1,20090525,allocated
ripencc,PT,49941,1,20091014,allocated
ripencc,PT,50028,1,20220404,allocated
ripencc,PT,50271,1,20091214,allocated
ripencc,PT,50293,1,20210422,allocated
ripencc,PT,50666,1,20220803,allocated
ripencc,PT,51126,1,20221125,allocated
ripencc,PT,51171,1,20100614,allocated
ripencc,PT,51512,1,20221103,allocated
ripencc,PT,52042,1,20220829,allocated
ripencc,PT,56849,1,20220923,allocated
ripencc,PT,57350,1,20111005,allocated
ripencc,PT,59528,1,20200504,allocated
ripencc,PT,59690,1,20120921,allocated
ripencc,PT,59787,1,20141001,allocated
ripencc,PT,61017,1,20190925,allocated
ripencc,PT,61290,1,20200121,allocated
ripencc,PT,62416,1,20130927,allocated
ripencc,PT,64472,1,20160811,allocated
ripencc,PT,197802,1,20110510,allocated
ripencc,PT,199016,1,20120716,allocated
ripencc,PT,199130,1,20230327,allocated
ripencc,PT,199155,1,20120824,allocated
ripencc,PT,199667,1,20230522,allocated
ripencc,PT,199993,1,20131108,allocated
ripencc,PT,200454,1,20221219,allocated
ripencc,PT,200706,1,20150430,allocated
ripencc,PT,200942,1,20150306,allocated
ripencc,PT,200952,1,20221208,allocated
ripencc,PT,201170,1,20150109,allocated
ripencc,PT,201449,1,20141023,allocated
ripencc,PT,201523,1,20141003,allocated
ripencc,PT,201782,1,20140715,allocated
ripencc,PT,201879,1,20221025,allocated
ripencc,PT,202170,1,20140320,allocated
ripencc,PT,202277,1,20180613,allocated
ripencc,PT,202341,1,20180529,allocated
ripencc,PT,202410,1,20180518,allocated
ripencc,PT,202904,1,20160506,allocated
ripencc,PT,203282,1,20220818,allocated
ripencc,PT,203491,1,20151231,allocated
ripencc,PT,204094,1,20150827,allocated
ripencc,PT,205558,1,20170721,allocated
ripencc,PT,206316,1,20170905,allocated
ripencc,PT,207002,1,20160923,allocated
ripencc,PT,207112,1,20160830,allocated
ripencc,PT,207731,1,20221027,allocated
ripencc,PT,207969,1,20191024,allocated
ripencc,PT,208158,1,20190923,allocated
ripencc,PT,208277,1,20190904,allocated
ripencc,PT,208385,1,20250515,allocated
ripencc,PT,208457,1,20190731,allocated
ripencc,PT,208609,1,20190704,allocated
ripencc,PT,209357,1,20250501,allocated
ripencc,PT,209440,1,20220126,allocated
ripencc,PT,209874,1,20250424,allocated
ripencc,PT,209968,1,20220110,allocated
ripencc,PT,210221,1,20180917,allocated
ripencc,PT,210300,1,20180830,allocated
ripencc,PT,210313,1,20211227,allocated
