Registry,Country,ASN,Value,Date,Status
lacnic,PY,23201,1,20020206,allocated
lacnic,PY,27669,1,20030310,allocated
lacnic,PY,27727,1,20031103,allocated
lacnic,PY,27733,1,20040823,allocated
lacnic,PY,27768,1,20050420,allocated
lacnic,PY,27795,1,20051107,allocated
lacnic,PY,27866,1,20061018,allocated
lacnic,PY,27895,1,20090622,allocated
lacnic,PY,28008,1,20081009,allocated
lacnic,PY,28033,1,20090126,allocated
lacnic,PY,28103,1,20091202,allocated
lacnic,PY,52227,1,20100302,allocated
lacnic,PY,52229,1,20100311,allocated
lacnic,PY,52418,1,20121105,allocated
lacnic,PY,52445,1,20130227,allocated
lacnic,PY,52455,1,20130402,allocated
lacnic,PY,61512,1,20151203,allocated
lacnic,PY,64159,1,20240119,allocated
lacnic,PY,64165,1,20241105,allocated
lacnic,PY,64170,1,20250616,allocated
lacnic,PY,262183,1,20140818,allocated
lacnic,PY,262250,1,20121108,allocated
lacnic,PY,263169,1,20130912,allocated
lacnic,PY,263192,1,20131119,allocated
lacnic,PY,263228,1,20140507,allocated
lacnic,PY,263717,1,20141222,allocated
lacnic,PY,263727,1,20150202,allocated
lacnic,PY,263732,1,20150223,allocated
lacnic,PY,263750,1,20150406,allocated
lacnic,PY,263787,1,20150622,allocated
lacnic,PY,263813,1,20150807,allocated
lacnic,PY,264631,1,20151028,allocated
lacnic,PY,264633,1,20151103,allocated
lacnic,PY,264705,1,20160512,allocated
lacnic,PY,264722,1,20160620,allocated
lacnic,PY,264733,1,20160713,allocated
lacnic,PY,264756,1,20160819,allocated
lacnic,PY,264770,1,20160908,allocated
lacnic,PY,264807,1,20161106,allocated
lacnic,PY,264853,1,20170106,allocated
lacnic,PY,265728,1,20170526,allocated
lacnic,PY,265759,1,20170630,allocated
lacnic,PY,265864,1,20171103,allocated
lacnic,PY,266673,1,20171213,allocated
lacnic,PY,266677,1,20171218,allocated
lacnic,PY,266694,1,20180104,allocated
lacnic,PY,266782,1,20180420,allocated
lacnic,PY,266784,1,20180423,allocated
lacnic,PY,266805,1,20180521,allocated
lacnic,PY,266814,1,20180525,allocated
lacnic,PY,266831,1,20180620,allocated
lacnic,PY,266858,1,20180720,allocated
lacnic,PY,266876,1,20180806,allocated
lacnic,PY,267702,1,20181018,allocated
lacnic,PY,267704,1,20181011,allocated
lacnic,PY,267723,1,20181119,allocated
lacnic,PY,267767,1,20190204,allocated
lacnic,PY,267795,1,20190312,allocated
lacnic,PY,267837,1,20190424,allocated
lacnic,PY,267872,1,20190528,allocated
lacnic,PY,267883,1,20190604,allocated
lacnic,PY,267885,1,20190606,allocated
lacnic,PY,267905,1,20190617,allocated
lacnic,PY,267914,1,20190624,allocated
lacnic,PY,267920,1,20190626,allocated
lacnic,PY,269725,1,20190712,allocated
lacnic,PY,269731,1,20190725,allocated
lacnic,PY,269748,1,20190809,allocated
lacnic,PY,269763,1,20190828,allocated
lacnic,PY,269783,1,20190916,allocated
lacnic,PY,269794,1,20190930,allocated
lacnic,PY,269878,1,20191217,allocated
lacnic,PY,269887,1,20200102,allocated
lacnic,PY,269905,1,20200116,allocated
lacnic,PY,269914,1,20200122,allocated
lacnic,PY,269930,1,20200206,allocated
lacnic,PY,269976,1,20200320,allocated
lacnic,PY,270029,1,20200608,allocated
lacnic,PY,270052,1,20200710,allocated
lacnic,PY,270096,1,20200820,allocated
lacnic,PY,271775,1,20200831,allocated
lacnic,PY,271969,1,20210827,allocated
lacnic,PY,272021,1,20211208,allocated
lacnic,PY,272026,1,20211220,allocated
lacnic,PY,272062,1,20220127,allocated
lacnic,PY,272065,1,20220201,allocated
lacnic,PY,272099,1,20220324,allocated
lacnic,PY,272154,1,20220524,allocated
lacnic,PY,272820,1,20220712,allocated
lacnic,PY,272898,1,20221031,allocated
lacnic,PY,272961,1,20230314,allocated
lacnic,PY,272970,1,20230329,allocated
lacnic,PY,273023,1,20230614,allocated
lacnic,PY,273063,1,20230822,allocated
lacnic,PY,273066,1,20230830,allocated
lacnic,PY,273077,1,20230908,allocated
lacnic,PY,273095,1,20230928,allocated
lacnic,PY,273126,1,20231109,allocated
lacnic,PY,273156,1,20240105,allocated
lacnic,PY,273165,1,20240119,allocated
lacnic,PY,273828,1,20240514,allocated
lacnic,PY,273847,1,20240606,allocated
lacnic,PY,273876,1,20240709,allocated
lacnic,PY,273918,1,20240904,allocated
lacnic,PY,273991,1,20241126,allocated
lacnic,PY,274041,1,20250130,allocated
lacnic,PY,274082,1,20250403,allocated
lacnic,PY,274161,1,20250703,allocated
lacnic,PY,274166,1,20250711,allocated
lacnic,PY,274173,1,20250717,allocated
