Registry,Country,ASN,Value,Date,Status
ripencc,QA,8781,1,19980508,allocated
ripencc,QA,28821,1,20150611,allocated
ripencc,QA,29384,1,20030826,allocated
ripencc,QA,34796,1,20050406,allocated
ripencc,QA,34945,1,20050504,allocated
ripencc,QA,42298,1,20070129,allocated
ripencc,QA,42415,1,20070216,allocated
ripencc,QA,47901,1,20080911,allocated
ripencc,QA,48728,1,20090120,allocated
ripencc,QA,59966,1,20140718,allocated
ripencc,QA,60185,1,20130909,allocated
ripencc,QA,198464,1,20230525,allocated
ripencc,QA,198499,1,20120216,allocated
ripencc,QA,201680,1,20221102,allocated
ripencc,QA,204806,1,20180103,allocated
ripencc,QA,207337,1,20200224,allocated
ripencc,QA,208506,1,20230516,allocated
ripencc,QA,208542,1,20190716,allocated
ripencc,QA,208944,1,20190508,allocated
ripencc,QA,211559,1,20210325,allocated
ripencc,QA,211942,1,20250305,allocated
ripencc,QA,213680,1,20241219,allocated
ripencc,QA,214178,1,20240917,allocated
ripencc,QA,215624,1,20240129,allocated
ripencc,QA,215791,1,20250331,allocated
ripencc,QA,215954,1,20231123,allocated
