Registry,Country,ASN,Value,Date,Status
ripencc,RO,2541,1,20110302,allocated
ripencc,RO,2614,1,19931111,allocated
ripencc,RO,3164,1,20120425,allocated
ripencc,RO,3210,1,20091016,allocated
ripencc,RO,3233,1,19940629,allocated
ripencc,RO,3280,1,20151112,allocated
ripencc,RO,3289,1,20110401,allocated
ripencc,RO,5541,1,20090825,allocated
ripencc,RO,5606,1,19960423,allocated
ripencc,RO,6204,1,19700101,allocated
ripencc,RO,6663,1,19960607,allocated
ripencc,RO,6693,1,20020201,allocated
ripencc,RO,6718,1,20090724,allocated
ripencc,RO,6796,1,20151023,allocated
ripencc,RO,6890,1,20151021,allocated
ripencc,RO,6910,1,20021002,allocated
ripencc,RO,8317,1,20060710,allocated
ripencc,RO,8423,1,20090728,allocated
ripencc,RO,8614,1,19980108,allocated
ripencc,RO,8708,1,19980311,allocated
ripencc,RO,8751,1,19980415,allocated
ripencc,RO,8919,1,19980806,allocated
ripencc,RO,8930,1,19980814,allocated
ripencc,RO,8953,1,19980827,allocated
ripencc,RO,8976,1,20100125,allocated
ripencc,RO,9009,1,20050606,allocated
ripencc,RO,9015,1,19981020,allocated
ripencc,RO,9050,1,19981106,allocated
ripencc,RO,9064,1,19981120,allocated
ripencc,RO,9176,1,19990201,allocated
ripencc,RO,12302,1,19990225,allocated
ripencc,RO,12310,1,19990302,allocated
ripencc,RO,12325,1,20090729,allocated
ripencc,RO,12356,1,20090114,allocated
ripencc,RO,12439,1,19990521,allocated
ripencc,RO,12442,1,19990525,allocated
ripencc,RO,12446,1,19990527,allocated
ripencc,RO,12592,1,20021003,allocated
ripencc,RO,12632,1,19990831,allocated
ripencc,RO,12672,1,19990923,allocated
ripencc,RO,12675,1,19990923,allocated
ripencc,RO,12804,1,19991115,allocated
ripencc,RO,12842,1,19991206,allocated
ripencc,RO,13011,1,20081208,allocated
ripencc,RO,13059,1,20000306,allocated
ripencc,RO,13067,1,20000309,allocated
ripencc,RO,13085,1,20080408,allocated
ripencc,RO,13209,1,20100915,allocated
ripencc,RO,13210,1,20000509,allocated
ripencc,RO,15471,1,20000710,allocated
ripencc,RO,15520,1,20000725,allocated
ripencc,RO,15730,1,20110921,allocated
ripencc,RO,15856,1,20001024,allocated
ripencc,RO,15873,1,20001025,allocated
ripencc,RO,15882,1,20001027,allocated
ripencc,RO,16026,1,20001127,allocated
ripencc,RO,16100,1,20111128,allocated
ripencc,RO,16120,1,20001228,allocated
ripencc,RO,16157,1,20010109,allocated
ripencc,RO,16192,1,20110331,allocated
ripencc,RO,16199,1,20060130,allocated
ripencc,RO,16220,1,20010130,allocated
ripencc,RO,17818,1,20200515,allocated
ripencc,RO,20497,1,20010314,allocated
ripencc,RO,20524,1,20010322,allocated
ripencc,RO,20530,1,20010323,allocated
ripencc,RO,20606,1,20010419,allocated
ripencc,RO,20616,1,20010420,allocated
ripencc,RO,20668,1,20010503,allocated
ripencc,RO,20703,1,20091008,allocated
ripencc,RO,20722,1,20010514,allocated
ripencc,RO,20820,1,20020815,allocated
ripencc,RO,20877,1,20010626,allocated
ripencc,RO,20879,1,20010626,allocated
ripencc,RO,20929,1,20010709,allocated
ripencc,RO,20930,1,20010709,allocated
ripencc,RO,21007,1,20010725,allocated
ripencc,RO,21022,1,20150727,allocated
ripencc,RO,21157,1,20010912,allocated
ripencc,RO,21294,1,20011019,allocated
ripencc,RO,21300,1,20011024,allocated
ripencc,RO,21317,1,20150720,allocated
ripencc,RO,21368,1,20150717,allocated
ripencc,RO,24660,1,20070822,allocated
ripencc,RO,24695,1,20080408,allocated
ripencc,RO,24704,1,20020226,allocated
ripencc,RO,24712,1,20020301,allocated
ripencc,RO,24745,1,20020312,allocated
ripencc,RO,24790,1,20020402,allocated
ripencc,RO,24839,1,20020418,allocated
ripencc,RO,24858,1,20020425,allocated
ripencc,RO,24914,1,20020517,allocated
ripencc,RO,24966,1,20020611,allocated
ripencc,RO,25097,1,20150629,allocated
ripencc,RO,25103,1,20020726,allocated
ripencc,RO,25116,1,20020731,allocated
ripencc,RO,25198,1,20150625,allocated
ripencc,RO,25278,1,20020920,allocated
ripencc,RO,25304,1,20020926,allocated
ripencc,RO,25311,1,20080107,allocated
ripencc,RO,25318,1,20020930,allocated
ripencc,RO,25326,1,20091112,allocated
ripencc,RO,25378,1,20100909,allocated
ripencc,RO,25409,1,20021113,allocated
ripencc,RO,25461,1,20021202,allocated
ripencc,RO,25536,1,20021227,allocated
ripencc,RO,28684,1,20110401,allocated
ripencc,RO,28721,1,20030207,allocated
ripencc,RO,28727,1,20030211,allocated
ripencc,RO,28743,1,20030213,allocated
ripencc,RO,28853,1,20030317,allocated
ripencc,RO,28925,1,20030408,allocated
ripencc,RO,29267,1,20030716,allocated
ripencc,RO,29306,1,20030728,allocated
ripencc,RO,29324,1,20030731,allocated
ripencc,RO,29628,1,20031027,allocated
ripencc,RO,30863,1,20031223,allocated
ripencc,RO,30885,1,20040105,allocated
ripencc,RO,30890,1,20040106,allocated
ripencc,RO,30948,1,20110614,allocated
ripencc,RO,31017,1,20040205,allocated
ripencc,RO,31038,1,20040212,allocated
ripencc,RO,31074,1,20040220,allocated
ripencc,RO,31102,1,20040226,allocated
ripencc,RO,31244,1,20040330,allocated
ripencc,RO,31278,1,20040405,allocated
ripencc,RO,31313,1,20040413,allocated
ripencc,RO,31354,1,20040423,allocated
ripencc,RO,31362,1,20150601,allocated
ripencc,RO,31454,1,20060808,allocated
ripencc,RO,31554,1,20040611,allocated
ripencc,RO,31606,1,20040622,allocated
ripencc,RO,31609,1,20040622,allocated
ripencc,RO,31734,1,20080925,allocated
ripencc,RO,33821,1,20040810,allocated
ripencc,RO,33823,1,20040810,allocated
ripencc,RO,33829,1,20040811,allocated
ripencc,RO,33839,1,20080515,allocated
