Registry,Country,ASN,Value,Date,Status
ripencc,RS,6700,1,19960704,allocated
ripencc,RS,8270,1,20061019,allocated
ripencc,RS,8400,1,19970729,allocated
ripencc,RS,8534,1,19971110,allocated
ripencc,RS,8771,1,19980501,allocated
ripencc,RS,9081,1,19981201,allocated
ripencc,RS,9125,1,19981230,allocated
ripencc,RS,12823,1,20120112,allocated
ripencc,RS,13004,1,20100226,allocated
ripencc,RS,13091,1,20000316,allocated
ripencc,RS,13092,1,20000316,allocated
ripencc,RS,13303,1,20021023,allocated
ripencc,RS,15832,1,20120907,allocated
ripencc,RS,15926,1,20090226,allocated
ripencc,RS,15958,1,20001113,allocated
ripencc,RS,15982,1,20001120,allocated
ripencc,RS,21215,1,20011001,allocated
ripencc,RS,25337,1,20150619,allocated
ripencc,RS,25431,1,20021120,allocated
ripencc,RS,28964,1,20030422,allocated
ripencc,RS,29163,1,20030619,allocated
ripencc,RS,29604,1,20031022,allocated
ripencc,RS,31042,1,20040212,allocated
ripencc,RS,31161,1,20040311,allocated
ripencc,RS,34131,1,20041102,allocated
ripencc,RS,34258,1,20041201,allocated
ripencc,RS,34299,1,20090123,allocated
ripencc,RS,34404,1,20050111,allocated
ripencc,RS,34724,1,20050324,allocated
ripencc,RS,35779,1,20181123,allocated
ripencc,RS,35796,1,20051028,allocated
ripencc,RS,39311,1,20060127,allocated
ripencc,RS,39377,1,20110331,allocated
ripencc,RS,39724,1,20181003,allocated
ripencc,RS,39796,1,20060426,allocated
ripencc,RS,41404,1,20060814,allocated
ripencc,RS,41507,1,20060905,allocated
ripencc,RS,41897,1,20061110,allocated
ripencc,RS,41937,1,20061121,allocated
ripencc,RS,42186,1,20070110,allocated
ripencc,RS,42603,1,20170413,allocated
ripencc,RS,43084,1,20090128,allocated
ripencc,RS,43125,1,20070612,allocated
ripencc,RS,43191,1,20141205,allocated
ripencc,RS,43277,1,20070705,allocated
ripencc,RS,43281,1,20070709,allocated
ripencc,RS,43335,1,20070716,allocated
ripencc,RS,43547,1,20070820,allocated
ripencc,RS,43608,1,20070830,allocated
ripencc,RS,43784,1,20070928,allocated
ripencc,RS,44143,1,20071123,allocated
ripencc,RS,44287,1,20071217,allocated
ripencc,RS,44301,1,20110816,allocated
ripencc,RS,44958,1,20080408,allocated
ripencc,RS,47222,1,20080520,allocated
ripencc,RS,47267,1,20080527,allocated
ripencc,RS,47479,1,20080624,allocated
ripencc,RS,47663,1,20080729,allocated
ripencc,RS,47666,1,20080729,allocated
ripencc,RS,48015,1,20080930,allocated
ripencc,RS,48164,1,20100406,allocated
ripencc,RS,48234,1,20081028,allocated
ripencc,RS,48414,1,20081124,allocated
ripencc,RS,48580,1,20081212,allocated
ripencc,RS,48708,1,20230306,allocated
ripencc,RS,49122,1,20090415,allocated
ripencc,RS,49167,1,20090422,allocated
ripencc,RS,49198,1,20090427,allocated
ripencc,RS,49412,1,20090603,allocated
ripencc,RS,49486,1,20090617,allocated
ripencc,RS,49714,1,20231130,allocated
ripencc,RS,49717,1,20141107,allocated
ripencc,RS,50653,1,20100303,allocated
ripencc,RS,50693,1,20100310,allocated
ripencc,RS,50781,1,20100324,allocated
ripencc,RS,50872,1,20100413,allocated
ripencc,RS,51002,1,20100514,allocated
