Registry,Country,ASN,Value,Date,Status
ripencc,RU,2148,1,19930901,allocated
ripencc,RU,2585,1,20120131,allocated
ripencc,RU,2587,1,19950323,allocated
ripencc,RU,2599,1,19930806,allocated
ripencc,RU,2683,1,19930901,allocated
ripencc,RU,2766,1,19971119,allocated
ripencc,RU,2848,1,19931212,allocated
ripencc,RU,2854,1,19931222,allocated
ripencc,RU,2875,1,19940317,allocated
ripencc,RU,2878,1,19940330,allocated
ripencc,RU,2895,1,19930901,allocated
ripencc,RU,3058,1,19930901,allocated
ripencc,RU,3167,1,20120426,allocated
ripencc,RU,3168,1,20120426,allocated
ripencc,RU,3175,1,20120426,allocated
ripencc,RU,3179,1,20120427,allocated
ripencc,RU,3181,1,20120427,allocated
ripencc,RU,3191,1,20120501,allocated
ripencc,RU,3200,1,20120502,allocated
ripencc,RU,3203,1,20120503,allocated
ripencc,RU,3205,1,20120503,allocated
ripencc,RU,3216,1,19940415,allocated
ripencc,RU,3218,1,19940428,allocated
ripencc,RU,3226,1,19940717,allocated
ripencc,RU,3227,1,20151116,allocated
ripencc,RU,3229,1,20151116,allocated
ripencc,RU,3235,1,19940719,allocated
ripencc,RU,3239,1,19940725,allocated
ripencc,RU,3253,1,19940916,allocated
ripencc,RU,3267,1,19941028,allocated
ripencc,RU,3276,1,20151113,allocated
ripencc,RU,3277,1,19941212,allocated
ripencc,RU,3284,1,20151111,allocated
ripencc,RU,3285,1,20151111,allocated
ripencc,RU,3287,1,19950103,allocated
ripencc,RU,3312,1,19950203,allocated
ripencc,RU,3315,1,19950213,allocated
ripencc,RU,3316,1,19950213,allocated
ripencc,RU,3325,1,19950227,allocated
ripencc,RU,3335,1,19950310,allocated
ripencc,RU,3343,1,19950411,allocated
ripencc,RU,3351,1,19950526,allocated
ripencc,RU,5386,1,19950721,allocated
ripencc,RU,5387,1,19950727,allocated
ripencc,RU,5429,1,20010125,allocated
ripencc,RU,5431,1,19951006,allocated
ripencc,RU,5433,1,19951027,allocated
ripencc,RU,5461,1,19951106,allocated
ripencc,RU,5467,1,19951115,allocated
ripencc,RU,5468,1,19951115,allocated
ripencc,RU,5473,1,20110620,allocated
ripencc,RU,5480,1,19951127,allocated
ripencc,RU,5495,1,19951213,allocated
ripencc,RU,5514,1,20151029,allocated
ripencc,RU,5523,1,19960124,allocated
ripencc,RU,5537,1,19960201,allocated
ripencc,RU,5543,1,20080904,allocated
ripencc,RU,5547,1,19960215,allocated
ripencc,RU,5548,1,20110401,allocated
ripencc,RU,5553,1,19960219,allocated
ripencc,RU,5563,1,19960229,allocated
ripencc,RU,5567,1,19960305,allocated
ripencc,RU,5568,1,19960305,allocated
ripencc,RU,5572,1,20090827,allocated
ripencc,RU,5573,1,19960311,allocated
ripencc,RU,5589,1,20090115,allocated
ripencc,RU,5591,1,19960329,allocated
ripencc,RU,5598,1,19960416,allocated
ripencc,RU,6662,1,19960605,allocated
ripencc,RU,6672,1,19960618,allocated
ripencc,RU,6679,1,20100311,allocated
ripencc,RU,6694,1,19960628,allocated
ripencc,RU,6699,1,19960702,allocated
ripencc,RU,6704,1,20151026,allocated
ripencc,RU,6719,1,20090819,allocated
ripencc,RU,6731,1,19960730,allocated
ripencc,RU,6761,1,20080811,allocated
ripencc,RU,6789,1,19961010,allocated
ripencc,RU,6801,1,19961025,allocated
ripencc,RU,6820,1,19961106,allocated
ripencc,RU,6828,1,19961112,allocated
ripencc,RU,6844,1,20090727,allocated
ripencc,RU,6850,1,19961202,allocated
ripencc,RU,6854,1,19961203,allocated
ripencc,RU,6856,1,19961204,allocated
ripencc,RU,6858,1,19961204,allocated
ripencc,RU,6863,1,19961210,allocated
ripencc,RU,6868,1,19961211,allocated
ripencc,RU,6869,1,19961211,allocated
ripencc,RU,6870,1,20090727,allocated
ripencc,RU,6874,1,19961217,allocated
ripencc,RU,6880,1,19961218,allocated
ripencc,RU,6903,1,19970128,allocated
ripencc,RU,8219,1,19970221,allocated
ripencc,RU,8241,1,19970319,allocated
ripencc,RU,8242,1,20110323,allocated
ripencc,RU,8249,1,19970325,allocated
ripencc,RU,8263,1,19970408,allocated
ripencc,RU,8279,1,20111005,allocated
ripencc,RU,8291,1,19970425,allocated
ripencc,RU,8299,1,19970507,allocated
ripencc,RU,8305,1,20151020,allocated
ripencc,RU,8324,1,19970529,allocated
ripencc,RU,8325,1,19970529,allocated
ripencc,RU,8331,1,19970603,allocated
ripencc,RU,8334,1,19970604,allocated
ripencc,RU,8342,1,19970611,allocated
ripencc,RU,8345,1,19970611,allocated
ripencc,RU,8350,1,19970618,allocated
ripencc,RU,8359,1,19970626,allocated
ripencc,RU,8369,1,19970703,allocated
ripencc,RU,8371,1,19970703,allocated
ripencc,RU,8377,1,19970710,allocated
ripencc,RU,8381,1,20151016,allocated
ripencc,RU,8382,1,19970716,allocated
ripencc,RU,8395,1,19970728,allocated
ripencc,RU,8398,1,19970728,allocated
ripencc,RU,8402,1,19970730,allocated
ripencc,RU,8409,1,19970804,allocated
ripencc,RU,8410,1,20030919,allocated
ripencc,RU,8411,1,19970805,allocated
ripencc,RU,8416,1,19970807,allocated
ripencc,RU,8427,1,19970815,allocated
ripencc,RU,8439,1,19970825,allocated
ripencc,RU,8440,1,19970825,allocated
ripencc,RU,8441,1,20021105,allocated
ripencc,RU,8443,1,19970825,allocated
ripencc,RU,8460,1,20120104,allocated
ripencc,RU,8470,1,19970912,allocated
ripencc,RU,8475,1,19970917,allocated
ripencc,RU,8480,1,19970919,allocated
ripencc,RU,8484,1,20151016,allocated
ripencc,RU,8485,1,19970922,allocated
ripencc,RU,8491,1,19971003,allocated
ripencc,RU,8492,1,20050217,allocated
ripencc,RU,8496,1,20110114,allocated
ripencc,RU,8506,1,19971010,allocated
ripencc,RU,8507,1,19971010,allocated
ripencc,RU,8510,1,19971014,allocated
ripencc,RU,8515,1,19971020,allocated
ripencc,RU,8557,1,19971121,allocated
ripencc,RU,8563,1,19971127,allocated
ripencc,RU,8568,1,19971203,allocated
ripencc,RU,8570,1,19971204,allocated
ripencc,RU,8580,1,19971215,allocated
ripencc,RU,8592,1,19971218,allocated
ripencc,RU,8594,1,19971222,allocated
ripencc,RU,8595,1,19971222,allocated
ripencc,RU,8615,1,19980109,allocated
ripencc,RU,8629,1,19980122,allocated
ripencc,RU,8630,1,19980122,allocated
ripencc,RU,8631,1,19980122,allocated
ripencc,RU,8636,1,19980127,allocated
ripencc,RU,8641,1,20000417,allocated
ripencc,RU,8654,1,20040721,allocated
ripencc,RU,8662,1,19980213,allocated
ripencc,RU,8663,1,19980213,allocated
ripencc,RU,8675,1,19980218,allocated
ripencc,RU,8684,1,19980224,allocated
ripencc,RU,8706,1,20091102,allocated
ripencc,RU,8711,1,19980313,allocated
ripencc,RU,8712,1,20120329,allocated
ripencc,RU,8732,1,19980326,allocated
ripencc,RU,8742,1,20151012,allocated
ripencc,RU,8744,1,19980403,allocated
ripencc,RU,8749,1,19980409,allocated
ripencc,RU,8752,1,19980415,allocated
