Registry,Country,ASN,Value,Date,Status
afrinic,RW,22690,1,20131202,allocated
afrinic,RW,36890,1,20060206,allocated
afrinic,RW,36934,1,20190226,allocated
afrinic,RW,37006,1,20080215,allocated
afrinic,RW,37010,1,20230901,allocated
afrinic,RW,37124,1,20090805,allocated
afrinic,RW,37224,1,20100618,allocated
afrinic,RW,37228,1,20100622,allocated
afrinic,RW,37547,1,20130122,allocated
afrinic,RW,37619,1,20130916,allocated
afrinic,RW,37654,1,20131108,allocated
afrinic,RW,37736,1,20231020,allocated
afrinic,RW,37737,1,20231020,allocated
ripencc,RW,60306,1,20230428,allocated
ripencc,RW,60712,1,20230419,allocated
afrinic,RW,327707,1,20120529,allocated
afrinic,RW,327708,1,20120529,allocated
afrinic,RW,327755,1,20140502,allocated
afrinic,RW,327899,1,20150619,allocated
afrinic,RW,328014,1,20160510,allocated
afrinic,RW,328180,1,20170619,allocated
afrinic,RW,328385,1,20181012,allocated
afrinic,RW,328864,1,20210602,allocated
afrinic,RW,328922,1,20210827,allocated
afrinic,RW,329104,1,20220719,allocated
afrinic,RW,329146,1,20221005,allocated
afrinic,RW,329189,1,20221214,allocated
afrinic,RW,329406,1,20240226,allocated
afrinic,RW,329508,1,20241016,allocated
afrinic,RW,329521,1,20250122,allocated
